,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
25DOPOX,0.0,2.2471829983290423e-11
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2HYOXPLACt2rpp,-1.599689592030864e-11,0.0
2HYOXPLACtex,-1.937776980787096e-11,0.0
2MBCOATA,7.136522685758991,7.136522685792353
2MECOAOX,-1000.0,2.219949295178024e-11
2OMPHH,0.0,6.179480706115225e-13
2S6HCC,0.0,5.906553586374595e-13
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HACPR1,0.0,2.8864330656792327e-12
3HACPR2,0.0,2.4308471482603853e-12
3HAD100,0.0,3.89833220987638e-12
3HAD10M12,7.136522685777856,7.136522685780772
3HAD11M12,7.136522685777856,7.136522685781495
3HAD120,0.0,3.5982898177956033e-12
3HAD12M14,7.136522685777856,7.136522685780887
3HAD13M14,7.136522685777856,7.136522685780953
3HAD140,0.0,979.0342026116549
3HAD14M16,7.136522685777856,7.136522685777882
3HAD15M16,7.136522685777856,7.13652268577789
3HAD180,0.0,1.8663045240359822e-11
3HAD40,0.0,3.408041906410337e-12
3HAD4M6,7.136522685792287,7.13652268578072
3HAD5M6,7.136522685777856,7.136522685781259
3HAD60,0.0,3.783865953503595e-12
3HAD6M8,7.136522685777856,7.13652268578072
3HAD7M8,7.136522685777856,7.136522685781259
3HAD80,0.0,3.925407073958845e-12
3HAD8M10,7.136522685777856,7.136522685780258
3HAD9M10,7.136522685777856,7.13652268577894
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,-9.07248223389407e-12,0.0
3OAACPR1,0.0,3.219560006364943e-12
3OAACPR2,0.0,2.0332494287618774e-12
3OAR100,0.0,3.4049251759884915e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.136522685777856,7.136522685780612
3OAR11M12,7.136522685777856,7.136522685782031
3OAR120,0.0,3.3052472758160338e-12
3OAR12M13,0.0,0.0
3OAR12M14,7.136522685777856,7.136522685780612
3OAR13M14,7.136522685777856,7.136522685782109
3OAR140,16.772637910681237,995.8068405223331
3OAR14M15,0.0,0.0
3OAR14M16,7.136522685777856,7.136522685777879
3OAR15M16,7.136522685777856,7.136522685777894
3OAR160,0.0,0.0
3OAR180,0.0,1.8663045240360243e-11
3OAR40,0.0,1.0586732983306865e-11
3OAR4M5,0.0,0.0
3OAR4M6,7.136522685782666,7.136522685780841
3OAR5M6,7.136522685777856,7.136522685780647
3OAR60,0.0,2.824007466268212e-12
3OAR6M7,0.0,0.0
3OAR6M8,7.136522685777856,7.13652268578103
3OAR7M8,7.136522685777856,7.136522685781383
3OAR80,0.0,4.838609414081188e-12
3OAR8M10,7.136522685777856,7.136522685780612
3OAR8M9,0.0,0.0
3OAR9M10,7.136522685777856,7.1365226857816015
3OAS100,0.0,3.3052472758160346e-12
3OAS10M11,0.0,0.0
3OAS10M12,7.136522685777857,7.136522685779676
3OAS11M12,7.136522685777857,7.136522685781602
3OAS120,0.0,3.032649562346668e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.136522685777857,7.136522685777876
3OAS13M14,7.136522685777857,7.136522685777904
3OAS140,16.77263791068124,995.8068405223348
3OAS160,0.0,0.0
3OAS180,0.0,1.0537180543682388e-11
3OAS2M3,0.0,4.299603061362794e-12
3OAS3M4,7.136522685777857,7.136522685778144
3OAS4M3O6,7.136522685777855,7.136522685780115
3OAS4M5,0.0,0.0
3OAS4M6,7.136522685777857,7.136522685780442
3OAS5M6,7.136522685777857,7.1365226857804265
3OAS60,0.0,4.549914964850218e-12
3OAS6M7,0.0,0.0
3OAS6M8,7.136522685777857,7.136522685779867
3OAS7M8,7.136522685777857,7.136522685780462
3OAS80,0.0,3.857257645591502e-12
3OAS8M10,7.136522685777857,7.136522685783696
3OAS8M9,0.0,0.0
3OAS9M10,7.136522685777857,7.136522685780462
3OXCOAT,0.0,764.8983925026678
4ABUTtex,0.0,0.0
4HPHACtex,-989.6302850275378,-224.7318925248722
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,26.008882000404075,26.00888200040489
4HTHDS,26.008882000404075,26.008882000403883
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-5.804026187755694e-13
5CM2HMUDI,0.0,0.0
5DOAN,0.0,4.510578348557378e-13
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-6.267502551129556e-12,0.0
7A_CZPtex,-999.9999999999997,1000.0000000000003
A5PISO,10.48168391699997,10.481683916999929
AACGLYDH,0.0,6.246406978406117e-11
AACOAT,0.0,-4.934857604298616e-12
AACTOOR,0.0,0.0
ABTA,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,3.547489311844645e-12
ABUTt2rpp,0.0,0.0
ACACCTr,-984.4560044805122,1000.0
ACACT1r,15.543995519518903,1000.0
ACACT2r,0.0,0.0
