,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
25DOPOX,0.0,-8.000522899610349e-12
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2HYOXPLACt2rpp,-2.3239614136962594e-11,0.0
2HYOXPLACtex,5.283265589455819e-12,0.0
2MBCOATA,7.134671825192242,7.1346718251917665
2MECOAOX,-1000.0,-1.1415029251529612e-12
2OMMBOX,0.2593504802163835,0.2593504802158594
2OMPHH,0.2593504802138122,0.25935048021585927
2S6HCC,0.0,-1.0084692730601141e-13
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HACPR1,0.0,-4.1214764426640094e-13
3HACPR2,0.0,-4.770459985713873e-13
3HAD100,0.0,-9.50240901034703e-13
3HAD10M12,7.134671825192241,7.13467182519194
3HAD11M12,7.134671825192241,7.134671825191933
3HAD120,0.0,-4.044454874112473e-14
3HAD12M14,7.134671825192241,7.13467182519194
3HAD13M14,7.134671825192241,7.134671825191933
3HAD140,0.0,979.0396401012682
3HAD14M16,7.134671825192241,7.134671825192218
3HAD15M16,7.134671825192241,7.134671825192255
3HAD180,0.0,6.857591056808951e-12
3HAD40,0.0,-1.63316575538261e-13
3HAD4M6,7.134671825192241,7.1346718251913375
3HAD5M6,7.134671825192241,7.134671825190773
3HAD60,0.0,-2.127310617805146e-12
3HAD6M8,7.134671825192241,7.134671825191564
3HAD7M8,7.134671825192241,7.134671825190898
3HAD80,0.0,-8.314230260815576e-13
3HAD8M10,7.134671825192241,7.134671825193801
3HAD9M10,7.134671825192241,7.134671825190898
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,-7.546271879201612e-12,0.0
3OAACPR1,0.0,-1.0946075879404054e-12
3OAACPR2,0.0,-1.0277436913962866e-12
3OAR100,0.0,-1.571756905974549e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.13467182519224,7.134671825193801
3OAR11M12,7.13467182519224,7.134671825190898
3OAR120,0.0,-8.314230260815574e-13
3OAR12M13,0.0,0.0
3OAR12M14,7.13467182519224,7.134671825193801
3OAR13M14,7.13467182519224,7.134671825190898
3OAR140,16.768287918984647,995.8079280202531
3OAR14M15,0.0,0.0
3OAR14M16,7.13467182519224,7.134671825192259
3OAR15M16,7.13467182519224,7.134671825192244
3OAR160,0.0,0.0
3OAR180,0.0,1.333420483268386e-12
3OAR40,-1.0355625298348782e-29,-4.538777353880216e-12
3OAR4M5,0.0,0.0
3OAR4M6,7.13467182519224,7.134671825191657
3OAR5M6,7.13467182519224,7.134671825191128
3OAR60,0.0,-1.1742670734064914e-12
3OAR6M7,0.0,0.0
3OAR6M8,7.13467182519224,7.134671825191307
3OAR7M8,7.13467182519224,7.134671825190835
3OAR80,0.0,-4.634161128979189e-13
3OAR8M10,7.13467182519224,7.134671825193388
3OAR8M9,0.0,0.0
3OAR9M10,7.13467182519224,7.134671825191128
3OAS100,0.0,-1.04950119685705e-12
3OAS10M11,0.0,0.0
3OAS10M12,7.13467182519224,7.1346718251945
3OAS11M12,7.13467182519224,7.134671825191129
3OAS120,0.0,-1.0495011968570497e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.13467182519224,7.1346718251922665
3OAS13M14,7.13467182519224,7.134671825192245
3OAS140,16.76828791898465,995.8079280202542
3OAS160,0.0,0.0
3OAS180,0.0,1.469084092397222e-11
3OAS2M3,0.0,0.0
3OAS3M4,7.13467182519224,7.134671825190877
3OAS4M3O6,7.13467182519224,7.1346718251914325
3OAS4M5,0.0,0.0
3OAS4M6,7.13467182519224,7.13467182519087
3OAS5M6,7.13467182519224,7.134671825190842
3OAS60,0.0,-2.433504964168223e-12
3OAS6M7,0.0,0.0
3OAS6M8,7.13467182519224,7.134671825190692
3OAS7M8,7.13467182519224,7.134671825190898
3OAS80,0.0,-2.5078989639181515e-12
3OAS8M10,7.13467182519224,7.134671825192695
3OAS8M9,0.0,0.0
3OAS9M10,7.13467182519224,7.134671825191088
3OXCOAT,0.0,763.9219642965704
4ABUTtex,0.0,0.0
4C2HM6SADH,0.0,0.0
4HPHACtex,-989.6329744180749,-225.71101012147398
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,26.00213658436744,26.0021365843708
4HTHDS,26.00213658436744,26.002136584369453
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,2.3592163359066555e-12
5C2O3EDDC,0.0,0.0
5CM2HMUDI,0.0,0.0
5DOAN,0.0,7.378987784951217e-13
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,2.560675810803822e-13,0.0
7A_CZPtex,-999.9999999999999,999.9999999999999
A5PISO,10.478965487242645,10.478965487242665
AACGLYDH,0.0,-2.0096551569259277e-11
AACOAT,0.0,-2.8126423040993647e-12
AACTOOR,0.0,0.0
ABTA,0.0,0.0
ABUTD,0.0,999.9999999999983
