,minimum,maximum
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
25DOPOX,0.0,7.999481576854051e-12
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2HYOXPLACt2rpp,-1.1046903129941326e-11,0.0
2HYOXPLACtex,-9.581741119416095e-12,0.0
2MBCOATA,7.135600572393939,7.1356005723965374
2MECOAOX,-1000.0,1.547516250310713e-11
2OMMBOX,0.2593842408431816,0.25938424084823974
2OMPHH,0.2593842408423897,0.2593842408482406
2S6HCC,0.0,6.162065640433822e-13
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,-1.8178884167424825e-12,0.0
3HACPR1,0.0,2.2373709020856526e-12
3HACPR2,0.0,1.087769722017174e-12
3HAD100,0.0,2.2094558373751686e-12
3HAD10M12,7.135600572393939,7.135600572395126
3HAD11M12,7.135600572393939,7.135600572396087
3HAD120,0.0,4.2090425186935934e-12
3HAD12M14,7.135600572393939,7.135600572395126
3HAD13M14,7.135600572393939,7.135600572396087
3HAD140,0.0,979.0369116119949
3HAD14M16,7.135600572393939,7.135600572393991
3HAD15M16,7.135600572393939,7.13560057239396
3HAD180,0.0,1.0285047741669585e-11
3HAD40,-3.1892200763637297e-12,4.336148405015744e-12
3HAD4M6,7.135600572393939,7.135600572395831
3HAD5M6,7.135600572393939,7.13560057239765
3HAD60,0.0,2.7175895127407444e-12
3HAD6M8,7.135600572393939,7.135600572395979
3HAD7M8,7.135600572393939,7.135600572396256
3HAD80,0.0,2.1136807321316984e-12
3HAD8M10,7.135600572393939,7.135600572395979
3HAD9M10,7.135600572393939,7.135600572396256
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPPPNH,0.0,0.0
3MOBS,-1.6104234149574892e-11,0.0
3OAACPR1,0.0,1.209523392225301e-12
3OAACPR2,0.0,1.4605626717511954e-12
3OAR100,0.0,2.776874212759141e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.135600572393939,7.135600572396922
3OAR11M12,7.135600572393939,7.135600572395961
3OAR120,0.0,2.465960854153631e-12
3OAR12M13,0.0,0.0
3OAR12M14,7.135600572393939,7.135600572396922
3OAR13M14,7.135600572393939,7.135600572395795
3OAR140,16.770470710409896,995.8073823223993
3OAR14M15,0.0,0.0
3OAR14M16,7.135600572393939,7.1356005723939955
3OAR15M16,7.135600572393939,7.135600572393934
3OAR160,0.0,0.0
3OAR180,0.0,-2.285566164815456e-12
3OAR40,-1.0484527441129613e-14,2.17660734288891e-12
3OAR4M5,0.0,0.0
3OAR4M6,7.135600572393939,7.135600572399283
3OAR5M6,7.135600572393939,7.135600572396493
3OAR60,0.0,3.1076139335507556e-12
3OAR6M7,0.0,0.0
3OAR6M8,7.135600572393939,7.135600572399283
3OAR7M8,7.135600572393939,7.135600572396493
3OAR80,0.0,3.107613933550756e-12
3OAR8M10,7.135600572393939,7.135600572399283
3OAR8M9,0.0,0.0
3OAR9M10,7.135600572393939,7.135600572396493
3OAS100,0.0,3.107613933550756e-12
3OAS10M11,0.0,0.0
3OAS10M12,7.135600572393939,7.135600572401361
3OAS11M12,7.135600572393939,7.135600572396494
3OAS120,0.0,3.870887531264982e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.135600572393939,7.135600572394019
3OAS13M14,7.135600572393939,7.135600572393945
3OAS140,16.770470710409896,995.8073823223978
3OAS160,0.0,0.0
3OAS180,0.0,3.805883461129965e-11
3OAS2M3,0.0,0.0
3OAS3M4,7.135600572393939,7.135600572395675
3OAS4M3O6,7.135600572393939,7.135600572399979
3OAS4M5,0.0,0.0
3OAS4M6,7.135600572393939,7.135600572398633
3OAS5M6,7.135600572393939,7.135600572398638
3OAS60,0.0,5.596510828179846e-12
3OAS6M7,0.0,0.0
3OAS6M8,7.135600572393939,7.135600572399751
3OAS7M8,7.135600572393939,7.135600572396329
3OAS80,0.0,3.761848445877238e-12
3OAS8M10,7.135600572393939,7.135600572399751
3OAS8M9,0.0,0.0
3OAS9M10,7.135600572393939,7.135600572396329
3OXCOAT,0.0,763.8910655924667
4ABUTtex,0.0,0.0
4HPHACtex,-989.6316249031738,-225.740559310723
4HPROI,0.0,0.0
4HPROOX,0.0,0.0
4HTHDR,26.00552138077891,26.005521380783676
4HTHDS,26.005521380778912,26.005521380780916
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,6.0368182712905606e-12
5CM2HMUDI,0.0,0.0
5DOAN,0.0,2.2157776338649713e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-1.0129801097765068e-11,0.0
7A_CZPtex,-999.9999999999999,1000.0000000000006
A5PISO,10.480329573792302,10.480329573792313
AACGLYDH,0.0,3.0614874472755686e-11
AACOAT,0.0,1.2172757442604244e-12
AACTOOR,0.0,0.0
ABTA,0.0,0.0
ABUTD,0.0,999.9999999999993
