,minimum,maximum
23DHMPO,0.0,0.0
26DAPLLAT,-868.0841778326756,0.0
2AHBUTI,0.0,0.0
2MBCOATA,2.408056593836154,2.4080565938222365
3HAD10M12,2.4080565938361533,2.408056593822105
3HAD11M12,2.408056593836154,2.408056593819576
3HAD12M14,2.4080565938361533,2.408056593822492
3HAD13M14,2.4080565938361533,2.408056593819508
3HAD14M16,2.408056593836153,2.408056593835845
3HAD15M16,2.408056593836153,2.4080565938358376
3HAD4M6,2.4080565938361542,2.4080565938221286
3HAD5M6,2.4080565938361542,2.4080565938195084
3HAD6M8,2.4080565938361542,2.4080565938224923
3HAD7M8,2.4080565938361542,2.4080565938195084
3HAD8M10,2.408056593836154,2.4080565938224923
3HAD9M10,2.4080565938361542,2.4080565938195084
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.4080565938361533,2.4080565938224914
3OAR11M12,2.4080565938361533,2.408056593819508
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.4080565938361533,2.4080565938224914
3OAR13M14,2.4080565938361533,2.4080565938195075
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,2.4080565938361524,2.4080565938358447
3OAR15M16,2.4080565938361524,2.408056593835837
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.408056593836153,2.408056593822126
3OAR5M6,2.408056593836154,2.4080565938195773
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.408056593836154,2.4080565938224923
3OAR7M8,2.408056593836154,2.4080565938195084
3OAR80,0.0,0.0
3OAR8M10,2.4080565938361533,2.408056593822492
3OAR8M9,0.0,0.0
3OAR9M10,2.408056593836154,2.4080565938195084
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.408056593836154,2.4080565938225136
3OAS11M12,2.408056593836154,2.4080565938194987
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.408056593836153,2.4080565938358407
3OAS13M14,2.408056593836153,2.4080565938358527
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
