,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,0.0,0.0
26DAP_Mtex,1.555288126464543,1.555288126464498
2DDPENTHL,0.0,0.0
2DHPL,0.0,0.0
2DMMQ8abcpp,0.19255326390777883,0.1925532639077733
2DMMQ8tex,0.19255326390777883,0.1925532639077733
2MBCOATA,5.297095828425717,5.297095828425564
3HAD10M12,5.297095828425719,5.297095828425565
3HAD11M12,5.297095828425719,5.297095828425566
3HAD12M14,5.297095828425719,5.297095828425565
3HAD13M14,5.297095828425719,5.297095828425566
3HAD14M16,5.297095828425719,5.297095828425565
3HAD15M16,5.297095828425719,5.297095828425566
3HAD4M6,5.297095828425719,5.297095828425565
3HAD5M6,5.297095828425717,5.297095828425569
3HAD6M8,5.297095828425719,5.297095828425565
3HAD7M8,5.297095828425719,5.297095828425566
3HAD8M10,5.297095828425719,5.297095828425565
3HAD9M10,5.297095828425719,5.297095828425566
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.297095828425718,5.297095828425565
3OAR11M12,5.297095828425718,5.297095828425566
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.297095828425718,5.297095828425565
3OAR13M14,5.297095828425718,5.297095828425566
3OAR140,12.449518374743409,12.449518374716702
3OAR14M15,0.0,0.0
3OAR14M16,5.297095828425718,5.297095828425562
3OAR15M16,5.297095828425718,5.2970958284255625
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.297095828425718,5.297095828425562
3OAR5M6,5.297095828425713,5.297095828425556
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.297095828425718,5.297095828425562
3OAR7M8,5.297095828425718,5.2970958284255625
3OAR80,0.0,0.0
3OAR8M10,5.297095828425718,5.297095828425562
3OAR8M9,0.0,0.0
3OAR9M10,5.297095828425718,5.2970958284255625
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.297095828425718,5.297095828425562
3OAS11M12,5.297095828425718,5.297095828425563
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.297095828425718,5.297095828425562
3OAS13M14,5.297095828425718,5.297095828425563
3OAS140,12.449518374743407,12.449518374716432
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.2970958284257055,5.29709582842555
3OAS4M3O6,5.297095828425718,5.297095828425559
3OAS4M5,0.0,0.0
3OAS4M6,5.297095828425718,5.297095828425559
3OAS5M6,5.297095828425718,5.297095828425558
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.297095828425718,5.297095828425559
3OAS7M8,5.297095828425718,5.297095828425558
3OAS80,0.0,0.0
3OAS8M10,5.297095828425718,5.297095828425559
3OAS8M9,0.0,0.0
3OAS9M10,5.297095828425718,5.297095828425558
4HBZCL,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.0
A5PISO,0.0,0.0
AACOAT,0.0,0.0
ABUTD,0.0,0.0
ACBIPGT,0.19255326390777888,0.19255326390777308
