,minimum,maximum
26DAPLLAT,0.0,0.0
2DHPL,0.0,0.0
2DMMQ8abc,0.30873947864803375,0.30873947864803397
2HBO,0.0,0.0
2MBCOATA,3.233161101285686,3.2331611012856913
34DHOXPEGOX,0.0,0.0
34DHPHEt2,0.0,0.0
3HAD10M12,3.2331611012856865,3.2331611012856856
3HAD11M12,3.2331611012856807,3.2331611012856905
3HAD12M14,3.2331611012856865,3.2331611012856922
3HAD13M14,3.2331611012856865,3.233161101285691
3HAD14M16,3.2331611012856865,3.233161101285691
3HAD15M16,3.2331611012856865,3.233161101285691
3HAD4M6,3.2331611012856865,3.233161101285692
3HAD5M6,3.2331611012856807,3.233161101285694
3HAD6M8,3.2331611012856865,3.233161101285688
3HAD7M8,3.2331611012856807,3.233161101285689
3HAD8M10,3.2331611012856865,3.233161101285688
3HAD9M10,3.2331611012856807,3.233161101285689
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.2331611012856856,3.2331611012856873
3OAR11M12,3.2331611012856802,3.2331611012856887
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.2331611012856856,3.2331611012856873
3OAR13M14,3.2331611012856856,3.2331611012856873
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.2331611012856856,3.2331611012856873
3OAR15M16,3.2331611012856856,3.2331611012856873
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.2331611012856856,3.2331611012856873
3OAR5M6,3.2331611012856807,3.2331611012856887
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.2331611012856856,3.2331611012856873
3OAR7M8,3.2331611012856802,3.2331611012856887
3OAR80,0.0,0.0
3OAR8M10,3.2331611012856856,3.2331611012856873
3OAR8M9,0.0,0.0
3OAR9M10,3.2331611012856802,3.2331611012856887
3OAS10M12,3.2331611012856856,3.2331611012856873
3OAS11M12,3.2331611012856856,3.2331611012856873
3OAS121,0.0,0.0
3OAS12M14,3.2331611012856856,3.2331611012856905
3OAS13M14,3.2331611012856856,3.23316110128569
