,minimum,maximum
12DGR180ti,0.6602482536799481,0.6602482536799475
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,0.0
26DAPt2r,29.7484682585641,29.74846825857721
2AHBUTI,-1000.0,1000.0
2DHPL,-6.910033183289571e-12,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2INSD,0.0,2.4591495207674656e-11
2MBCOATA,7.598795360330467,7.59879536033344
2MEBCOADH,-619.1597148848582,-619.1597148842042
33HPHACt2r,0.0,2.8556286020954554e-11
34DHOXPEGOX,0.0,0.0
34DHPHAt2r,-6.133102041192191e-11,0.0
34DHPHEt2,0.0,0.0
3ABUTCOAL,0.0,0.0
3CARLPDH,-4.904185294730656e-12,0.0
3HACPR1,0.0,-1.8139279407429948e-13
3HACPR2,0.0,1.45449258522017e-12
3HAD10M12,7.598795360330473,7.598795360332528
3HAD11M12,7.598795360330473,7.598795360330476
3HAD12M14,7.598795360330475,7.5987953603304685
3HAD13M14,7.598795360330475,7.598795360330473
3HAD14M16,7.598795360330476,7.598795360330471
3HAD15M16,7.598795360330476,7.598795360330473
3HAD4M6,7.5987953603304685,7.598795360330464
3HAD5M6,7.5987953603304685,7.598795360330471
3HAD6M8,7.59879536033047,7.598795360330466
3HAD7M8,7.59879536033047,7.598795360330473
3HAD8M10,7.598795360330471,7.598795360330467
3HAD9M10,7.598795360330471,7.598795360330473
3HAO,0.0,0.0
3HBCOAOX,0.0,0.0
3HPHACOX,0.0,5.861254658525404e-12
3MEBCOADH,-7.59879536033049,-7.598795360330467
3MOBDC2,0.0,9.465171196083358e-13
3MOBS,7.619631056083655e-12,0.0
3MOPDC2,626.7585102444574,626.7585102450311
3MOPt2r,999.9999999999292,1000.0
3OAACPR1,0.0,2.11922272834611e-12
3OAACPR2,0.0,1.0622455039673542e-12
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.598795360330473,7.598795360330477
3OAR11M12,7.598795360330473,7.59879536033048
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.598795360330474,7.598795360330482
3OAR13M14,7.598795360330474,7.598795360330481
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,7.598795360330476,7.598795360330482
3OAR15M16,7.598795360330476,7.598795360330482
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.5987953603304685,7.598795360330481
3OAR5M6,7.5987953603304685,7.598795360330476
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.598795360330469,7.598795360330482
3OAR7M8,7.598795360330469,7.598795360330477
3OAR80,0.0,0.0
3OAR8M10,7.598795360330471,7.598795360330482
3OAR8M9,0.0,0.0
3OAR9M10,7.598795360330471,7.598795360330478
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.598795360330473,7.59879536033048
3OAS11M12,7.598795360330473,7.598795360330479
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,6.306494258850186e-14
3OAS12M14,7.598795360330475,7.598795360330475
3OAS13M14,7.598795360330475,7.598795360330476
3OAS140,0.0,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.598795360330467,7.598795360330466
3OAS4M3O6,7.598795360330467,7.59879536033046
3OAS4M5,0.0,0.0
3OAS4M6,7.5987953603304685,7.5987953603304685
3OAS5M6,7.5987953603304685,7.598795360330476
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.59879536033047,7.598795360330476
3OAS7M8,7.59879536033047,7.598795360330473
3OAS80,0.0,0.0
3OAS8M10,7.598795360330471,7.598795360330466
3OAS8M9,0.0,0.0
3OAS9M10,7.598795360330471,7.598795360330467
4ABZt2,2.176861632686574,2.1768616326929635
4C2HM6SADH,0.0,0.0
4HBZCL,0.0,0.0
4HBZt2,0.7256205442310342,0.7256205442310332
4HP34DHPD,0.0,0.0
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5ASAt2r,-1000.0,-1000.0000000000168
5DGCLURI,0.0,1.7170964976265893e-11
5FURAt,-2.974164636862033e-11,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,1.6261585066838776e-11
5HLTDL,0.0,1.368971717556872e-11
5HTRPt2,0.0,1.9348441265344662e-11
5HXKYNDCL,0.0,0.0
5MTAte,-0.725620544235992,-0.7256205441849197
5MTHCYST,-8.141586065615396e-12,0.0
6P3HXI,0.0,0.0
6PHBG,0.0,226.6359386409693
6PHBG2,0.0,226.63593864093312
AACGLYDH,0.0,2.2082841249517618e-11
AACOAT,0.0,8.015671757686045e-12
AB6PGH,0.0,226.6359386409099
AB6PGH2,0.0,226.63593864094958
ABTA,95.82841055610135,95.82841055751257
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,2.720904147835567e-11
ABUTt2r,95.82841055623143,95.82841055739532
ABZ_ALA_Bt2r,-1000.0,-999.9999999999578
ACACCTr,999.9999999999346,1000.0000000000283
ACACT1r,999.999999999934,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACACt2,-6.948859775593434e-11,1.8476054670609088e-11
ACALD,999.9999999998355,1000.0
ACALDt,999.9999999996647,1000.0
