,minimum,maximum
1P4H2CBXLAH,0.0,6.114214160750981e-10
23DHMPO,-8.117121167078299,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,6.099306268834296e-10
26DAPt2r,2.465597734934454,2.4655977355441743
2AHBUTI,4.800707705072683e-29,8.117121167076828
2HMCOXT,0.0,0.0
2HYOXPLACt2r,-6.092867607003025e-10,0.0
2MBCOATA,8.397484205056047,8.397484205057179
2MEBCOADH,-8.397484205666869,-8.397484205056037
33HPHACt2r,0.0,1000.0000000000001
34DHPHAt2r,-1000.000000000203,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,8.397484205056044,8.397484205057186
3HAD11M12,8.397484205056033,8.397484205057184
3HAD12M14,8.397484205056044,8.39748420505717
3HAD13M14,8.397484205056035,8.397484205057175
3HAD14M16,8.397484205056044,8.39748420505717
3HAD15M16,8.397484205056037,8.397484205057175
3HAD4M6,8.397484205056044,8.39748420505717
3HAD5M6,8.397484205056033,8.397484205057175
3HAD6M8,8.397484205056044,8.39748420505717
3HAD7M8,8.397484205056033,8.397484205057175
3HAD8M10,8.397484205056044,8.39748420505717
3HAD9M10,8.397484205056033,8.397484205057175
3HAO,0.0,0.0
3HBCOAHL,0.0,3.0716534568783297e-10
3HBCOAOX,-1000.0,1000.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,1000.0
3MEBCOADH,-8.397484205666439,-8.397484205056031
3MOBDC2,0.0,3.0265098543353325e-10
3MOBS,0.0,0.0
3MOPDC2,16.79496841011208,16.794968410717647
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,8.397484205056044,8.397484205057173
3OAR11M12,8.397484205056031,8.39748420505717
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,8.397484205056044,8.397484205057161
3OAR13M14,8.397484205056035,8.39748420505717
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,8.397484205056044,8.397484205057161
3OAR15M16,8.397484205056035,8.397484205057172
3OAR160,0.0,0.0
3OAR180,0.0,0.0
