,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,0.0
26DAPt2r,29.541225665008543,29.541225664981205
2AHBUTI,-1000.0,1000.0
2DHPL,-4.7584476213256246e-12,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2r,2.2740476162675345e-12,0.0
2MBCOATA,7.545858380695594,7.545858380697585
2MEBCOADH,-21.620214362434577,-21.62021436229035
34DHOXPEGOX,0.0,0.0
34HPPOR,0.0,8.65064067792216e-12
3ABUTCOAL,0.0,0.0
3CARLPDH,-3.6159334620689556e-12,0.0
3HACPR1,0.0,2.7674568312999075e-12
3HACPR2,0.0,1.1078185652601933e-12
3HAD10M12,7.5458583806956145,7.54585838069663
3HAD11M12,7.54585838069559,7.545858380698051
3HAD12M14,7.545858380695615,7.545858380699234
3HAD13M14,7.54585838069559,7.545858380698062
3HAD14M16,7.54585838069559,7.5458583806956065
3HAD15M16,7.54585838069559,7.545858380695585
3HAD4M6,7.545858380695612,7.545858380695603
3HAD5M6,7.54585838069559,7.545858380695577
3HAD6M8,7.545858380695613,7.54585838069559
3HAD7M8,7.54585838069559,7.545858380695595
3HAD8M10,7.545858380695613,7.5458583806955914
3HAD9M10,7.54585838069559,7.545858380695595
3HBCOAHL,0.0,-8.078390360329933e-12
3HBCOAOX,-1000.0,1000.0
3HPCOAHYD,0.0,0.0
3MEBCOADH,-7.545858380713746,-7.545858380695589
3MOBDC2,0.0,2.1812210941068325e-11
3MOBS,-2.6705008766054878e-11,0.0
3MOPDC2,29.16607274300542,29.16607274310597
3MOPt2r,999.9999999999573,1000.0
3OAACPR1,0.0,2.6591295935175265e-12
3OAACPR2,0.0,2.8395139014827056e-12
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.545858380695612,7.545858380699148
3OAR11M12,7.545858380695589,7.545858380695604
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.545858380695613,7.545858380695593
3OAR13M14,7.545858380695589,7.545858380695597
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,7.545858380695589,7.545858380695583
3OAR15M16,7.545858380695589,7.545858380695584
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.545858380695607,7.545858380695586
3OAR5M6,7.545858380695589,7.545858380695595
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.54585838069561,7.545858380695589
3OAR7M8,7.545858380695589,7.545858380695595
3OAR80,0.0,0.0
3OAR8M10,7.54585838069561,7.545858380695591
3OAR8M9,0.0,0.0
3OAR9M10,7.545858380695589,7.545858380695595
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.545858380695614,7.545858380695614
3OAS11M12,7.5458583806955914,7.545858380695584
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.5458583806955914,7.545858380695602
3OAS13M14,7.5458583806955914,7.545858380695602
3OAS140,-3.0394045842324298e-12,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
