,minimum,maximum
12DGR180tex,3.2653143439639853,3.265314343963987
12DGR180tipp,3.2653143439639862,3.2653143439639876
23DHMPO,-25.068218103087855,-25.068218103087897
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-517.0527947576848,0.0
26DAP_Mtex,1.9174675304489868,1.917467530415704
26DAPt2rpp,1.917467530448987,1.9174675303669642
2AHBUTI,25.06821810308788,25.06821810308783
2MBCOATA,6.530628687927955,6.530628687927997
3HAD10M12,6.530628687927957,6.530628687928001
3HAD11M12,6.530628687927973,6.530628687927977
3HAD12M14,6.530628687927958,6.530628687927989
3HAD13M14,6.530628687927973,6.53062868792798
3HAD14M16,6.530628687927973,6.5306286879279805
3HAD15M16,6.530628687927973,6.53062868792798
3HAD4M6,6.530628687927956,6.530628687927984
3HAD5M6,6.530628687927973,6.530628687927977
3HAD6M8,6.530628687927957,6.530628687927986
3HAD7M8,6.530628687927973,6.530628687927979
3HAD8M10,6.530628687927957,6.530628687927987
3HAD9M10,6.530628687927973,6.530628687927979
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.530628687927957,6.5306286879279885
3OAR11M12,6.530628687927973,6.530628687927979
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.530628687927958,6.530628687927989
3OAR13M14,6.530628687927973,6.53062868792798
3OAR140,15.348633379953181,15.348633379953197
3OAR14M15,0.0,0.0
3OAR14M16,6.530628687927958,6.530628687927989
3OAR15M16,6.530628687927973,6.53062868792798
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.5306286879279565,6.530628687927985
3OAR5M6,6.530628687927973,6.530628687927977
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.530628687927957,6.530628687927986
3OAR7M8,6.530628687927973,6.530628687927979
3OAR80,0.0,0.0
3OAR8M10,6.530628687927957,6.530628687927988
3OAR8M9,0.0,0.0
3OAR9M10,6.530628687927973,6.530628687927979
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.530628687927957,6.530628687927991
3OAS11M12,6.530628687927974,6.530628687927978
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.530628687927959,6.530628687927996
3OAS13M14,6.530628687927974,6.53062868792798
3OAS140,15.34863337995318,15.348633379953196
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.530628687927974,6.530628687927976
3OAS4M3O6,6.530628687927956,6.530628687928005
3OAS4M5,0.0,0.0
3OAS4M6,6.5306286879279565,6.530628687927998
3OAS5M6,6.530628687927974,6.530628687927989
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.530628687927957,6.530628687927984
3OAS7M8,6.530628687927974,6.5306286879279805
3OAS80,0.0,0.0
3OAS8M10,6.530628687927957,6.530628687927998
3OAS8M9,0.0,0.0
3OAS9M10,6.530628687927974,6.530628687927976
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
56DFURADH,-97.77747970563834,1000.0
5AIZCDC,0.0,-7.078264189333202e-12
5DOAN,0.0,0.0
5FURAtex,-999.9999999999999,97.77747970592628
5FURAtpp,-1000.0000000000001,97.77747970644867
6PHBG,3.1135345233460106e-13,574.3061792093936
A5PISO,9.591784220425577,9.591784220425572
AACOAT,0.0,0.0
