,minimum,maximum
12PPD_Stex,-698.9792433449297,0.0
12PPDtpp,-698.9792433449065,0.0
1HIBUPGLU_Stex,0.0,1000.0
1HIBUP_S_GLCAASEepp,0.0,1000.0000000000001
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASEepp,0.0,1000.0000000000001
1HMDGLUCtex,0.0,1000.0
1OHMDZtex,-1000.0,1.073237146113928e-13
23DHMPO,-1000.0,985.2593740303668
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-1.5175201847832156,-1.5175201847626636
2AHBUTI,-985.2593740303671,1000.0
2HATVACIDGLUC_GLCAASEepp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0
2HATVACIDtex,-1000.0,-2.137178813733823e-13
2HATVLACGLUC_GLCAASEepp,0.0,999.9999999999999
2HATVLACGLUCtex,0.0,1000.0
2HATVLACtex,-1000.0,1.5917179890625561e-12
2HIBUPGLU_Stex,0.0,1000.0
2HIBUP_S_GLCAASEepp,0.0,1000.0000000000001
2HIBUP_Stex,-1000.0,-6.636727252280775e-17
2IMZS,-1.936037353642682e-12,2.7578459477187317e-12
2MBCOATA,0.0,0.0
2OH_CBZ_GLC_GLCAASEepp,0.0,1000.0000000000005
2OH_CBZ_GLCtex,0.0,1000.0
2OH_CBZtex,-1000.0,2.769392323992243e-13
2OH_MTZ_GLC_GLCAASEepp,0.0,1000.0000000000001
2OH_MTZ_GLCtex,0.0,1000.0
2OH_MTZtex,-1000.0,-1.3846961619961219e-13
3HACPR1,0.0,1.0453045998754452e-11
3HACPR2,0.0,2.374042903912005e-11
3HAD100,15.636801771814621,15.636801771817561
3HAD10M11,0.0,1.0523463808446547e-11
3HAD10M12,0.0,2.1699332820371975e-11
3HAD11M12,0.0,2.2702508519449427e-11
3HAD120,15.636801771814621,15.636801771817693
3HAD12M13,0.0,7.717382891257922e-12
3HAD12M14,0.0,2.1917076990541774e-11
3HAD13M14,0.0,2.208917180729032e-11
3HAD140,1.5175201847626643,1.517520184765948
3HAD14M15,0.0,5.876584775596493e-12
3HAD14M16,0.0,1.1032308485386471e-11
3HAD15M16,0.0,2.2691452680169902e-11
3HAD160,0.0,3.5534980399012846e-12
3HAD180,0.0,3.1434713043797267e-12
3HAD40,15.636801771814621,15.636801771817897
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,15.636801771814621,15.636801771817819
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,15.636801771814621,15.636801771817543
3HAD8M10,0.0,0.0
3HAD8M9,0.0,5.244851912219861e-12
3HAD9M10,0.0,0.0
3HIBUPGLU_Stex,0.0,1000.0
3HIBUP_S_GLCAASEepp,0.0,1000.0000000000001
3HIBUP_Stex,-1000.0,0.0
3MEACMPtex,-1000.0,-5.456916608288545
3MOBS,-816.9600451494363,0.0
3OAACPR1,0.0,1.9014195414858097e-12
3OAACPR2,0.0,1.8742824271176665e-12
3OAR100,15.63680177181462,15.636801771817272
3OAR10M11,0.0,5.462715350771457e-12
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,15.63680177181462,15.636801771817293
3OAR12M13,0.0,5.7994778743572025e-12
3OAR12M14,0.0,1.1024473039019008e-11
3OAR13M14,0.0,2.09363126938584e-11
3OAR140,12.81294545440423,12.812945454406472
3OAR14M15,0.0,5.147079340208745e-12
3OAR14M16,0.0,1.1298713661880176e-11
3OAR15M16,0.0,2.0607223946425015e-11
3OAR160,0.0,3.110352537486537e-12
3OAR180,0.0,3.0409099627164885e-12
3OAR40,15.63680177181462,15.63680177181766
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,15.63680177181462,15.63680177181766
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,15.63680177181462,15.636801771817657
3OAR8M10,0.0,0.0
3OAR8M9,0.0,5.30655605236361e-12
3OAR9M10,0.0,0.0
3OAS100,15.636801771814618,15.636801771817515
3OAS10M11,0.0,5.1470793402087434e-12
3OAS10M12,0.0,1.1298713661880174e-11
3OAS11M12,0.0,2.060722394642501e-11
3OAS120,15.636801771814618,15.636801771817424
3OAS12M13,0.0,5.147079340208744e-12
3OAS12M14,0.0,1.1298713661880176e-11
3OAS13M14,0.0,2.060722394642501e-11
3OAS140,12.812945454404232,12.812945454406458
3OAS160,0.0,1.2818229402449512e-12
3OAS180,0.0,1.2105764637728761e-12
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,15.636801771814618,15.636801771817122
3OAS6M7,0.0,5.1470793402087434e-12
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,15.636801771814618,15.636801771817515
3OAS8M10,0.0,0.0
3OAS8M9,0.0,5.1470793402087434e-12
3OAS9M10,0.0,0.0
3OH_CBZ_GLC_GLCAASEepp,0.0,999.9999999999989
3OH_CBZ_GLCtex,0.0,1000.0
3OH_CBZtex,-1000.0000000000001,-1.8890258826343183e-13
3OH_DLOR_GLC_GLCAASEepp,0.0,1000.0000000000001
3OH_DLOR_GLCtex,0.0,1000.0
3OH_DLORtex,-1000.0000000000003,0.0
3OH_MDEA_GLC_GLCAASEepp,0.0,1000.0000000000001
3OH_MDEA_GLCtex,0.0,1000.0
3OH_MDEAtex,-1000.0,0.0
3OH_MXN_GLC_GLCAASEepp,0.0,1000.0000000000001
3OH_MXN_GLCtex,0.0,1000.0
3OH_MXNtex,-1000.0,3.262304507366103e-27
4ABUTtex,-945.4923944856705,0.0
4DH_TPNO_1GLC_GLCAASEepp,0.0,1000.0000000000001
4DH_TPNO_1GLCtex,0.0,1000.0
