,minimum,maximum
12DGR180tex,3.61814221985128,3.61814221984582
12DGR180tipp,3.618142219851278,3.6181422198458204
12PPD_Stex,-1000.0,0.0
12PPDtpp,-1000.0,0.0
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-1000.0000000000002,0.0
26DAP_Mtex,2.1246561575107834,1000.0
26DAPt2rpp,2.124656157510784,1000.0000000000002
2AHBUTI,-5.060188965800185e-27,0.0
2MBCOATA,7.236284439702554,7.236284439691628
3HAD10M12,7.236284439702556,7.236284439691622
3HAD11M12,7.236284439702544,7.236284439691606
3HAD12M14,7.236284439702556,7.236284439691611
3HAD13M14,7.236284439702542,7.236284439691608
3HAD14M16,7.236284439702556,7.236284439691611
3HAD15M16,7.236284439702542,7.236284439691606
3HAD4M6,7.236284439702556,7.236284439691615
3HAD5M6,7.2362844397025485,7.236284439691611
3HAD6M8,7.236284439702556,7.236284439691613
3HAD7M8,7.236284439702547,7.236284439691609
3HAD8M10,7.236284439702556,7.236284439691613
3HAD9M10,7.236284439702546,7.236284439691609
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.236284439702555,7.2362844396916195
3OAR11M12,7.236284439702543,7.236284439691603
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.236284439702555,7.236284439691614
3OAR13M14,7.236284439702543,7.2362844396916
3OAR140,17.007103328867043,17.00710332884133
3OAR14M15,0.0,0.0
3OAR14M16,7.236284439702555,7.236284439691612
3OAR15M16,7.236284439702543,7.236284439691598
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.236284439702555,7.236284439691646
3OAR5M6,7.236284439702549,7.236284439691631
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.236284439702555,7.236284439691625
3OAR7M8,7.236284439702547,7.2362844396916195
3OAR80,0.0,0.0
3OAR8M10,7.236284439702555,7.236284439691631
3OAR8M9,0.0,0.0
3OAR9M10,7.236284439702545,7.236284439691614
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.236284439702554,7.236284439691626
3OAS11M12,7.236284439702541,7.236284439691612
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.236284439702554,7.236284439691625
3OAS13M14,7.236284439702541,7.236284439691611
3OAS140,17.007103328867043,17.007103328841353
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.236284439702548,7.236284439691615
3OAS4M3O6,7.236284439702554,7.23628443969163
3OAS4M5,0.0,0.0
3OAS4M6,7.236284439702554,7.236284439691628
3OAS5M6,7.236284439702546,7.236284439691613
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.236284439702554,7.236284439691628
3OAS7M8,7.236284439702545,7.236284439691613
3OAS80,0.0,0.0
3OAS8M10,7.236284439702554,7.2362844396916275
3OAS8M9,0.0,0.0
3OAS9M10,7.236284439702544,7.236284439691612
4ABZt2pp,1.5056119083147442e-09,0.0
4ABZtex,1.5049598665257792e-09,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-6.0335323027680345e-09
5DOAN,0.0,0.0
6PHBG,0.0,740.9887576094724
