,minimum,maximum
12PPD_Stex,-1000.0000000000001,0.0
12PPDtpp,-1000.0000000000001,0.0
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-999.9999999999999,0.0
26DAP_Mtex,2.0984393187925865,1000.0
26DAPt2rpp,2.0984393187925865,1000.0
2AHBUTI,0.0,0.0
2MBCOATA,7.146993520132046,7.146993520132081
3HAD10M12,7.146993520132065,7.146993520132059
3HAD11M12,7.146993520132052,7.146993520132057
3HAD12M14,7.146993520132065,7.146993520132078
3HAD13M14,7.146993520132052,7.146993520132079
3HAD14M16,7.146993520132065,7.146993520132078
3HAD15M16,7.146993520132052,7.146993520132079
3HAD4M6,7.146993520132065,7.146993520132078
3HAD5M6,7.146993520132052,7.146993520132079
3HAD6M8,7.146993520132065,7.146993520132078
3HAD7M8,7.146993520132052,7.146993520132079
3HAD8M10,7.146993520132065,7.146993520132078
3HAD9M10,7.146993520132052,7.146993520132079
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.146993520132065,7.146993520132078
3OAR11M12,7.146993520132053,7.146993520132079
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.146993520132065,7.146993520132078
3OAR13M14,7.146993520132053,7.146993520132079
3OAR140,16.797247026489913,16.797247026489973
3OAR14M15,0.0,0.0
3OAR14M16,7.146993520132065,7.146993520132078
3OAR15M16,7.146993520132053,7.146993520132079
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.146993520132065,7.146993520132078
3OAR5M6,7.146993520132053,7.146993520132079
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.146993520132065,7.146993520132078
3OAR7M8,7.146993520132053,7.146993520132079
3OAR80,0.0,0.0
3OAR8M10,7.146993520132065,7.146993520132078
3OAR8M9,0.0,0.0
3OAR9M10,7.146993520132053,7.146993520132079
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.146993520132065,7.146993520132077
3OAS11M12,7.146993520132054,7.14699352013208
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.146993520132065,7.146993520132077
3OAS13M14,7.146993520132054,7.146993520132078
3OAS140,16.797247026489917,16.797247026489973
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.146993520132054,7.146993520132063
3OAS4M3O6,7.146993520132064,7.146993520132057
3OAS4M5,0.0,0.0
3OAS4M6,7.146993520132065,7.146993520132064
3OAS5M6,7.146993520132054,7.146993520132064
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.146993520132065,7.146993520132064
3OAS7M8,7.146993520132054,7.14699352013207
3OAS80,0.0,0.0
3OAS8M10,7.146993520132065,7.146993520132064
3OAS8M9,0.0,0.0
3OAS9M10,7.146993520132054,7.146993520132064
4ABZt2pp,0.0,0.0
4ABZtex,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.6390345633444767e-11
5DOAN,0.0,0.0
A5PISO,10.497062832037486,10.497062832037516
AACOAT,0.0,0.0
ACBIPGT,0.2597983827372382,0.2597983827372387
ACCOAC,0.0,81.56461048496236
ACCOACL,0.0,81.56461048496236
ACGAM2E,0.0,0.0
ACGAMT,0.0,0.0
ACGK,0.0,0.0
ACHBPL,0.0,0.0
ACKr,-991.6013764867703,-991.601376486741
ACLS_a,0.0,1000.0
ACLS_b,-1000.0,-1.1368683772161603e-13
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.573496760066035
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.5734967600660266,3.573496760066049
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
