,minimum,maximum
12DGR180tex,2.1702664149838675,2.170266414983857
12DGR180tipp,2.170266414983867,2.170266414983857
23DHMPO,-21.42735919172214,-21.427359191722225
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-999.9999999999998,0.0
26DAP_Mtex,0.11411647040645956,0.11411647037321146
26DAPt2rpp,0.11411647040645956,0.11411647036625126
2AHBUTI,21.4273591917222,21.427359191718494
2MBCOATA,4.340532829967729,4.340532829964651
2OBUTt2rpp,21.427359191750394,21.42735919171913
2OBUTtex,21.427359191743786,21.427359191719244
2S6HCC,0.0,-4.929986377905042e-12
3HAD100,17.402998676638983,17.4029986766389
3HAD10M12,4.3405328299677155,4.340532829967727
3HAD11M12,4.340532829967735,4.340532829967721
3HAD120,17.402998676638983,17.402998676638948
3HAD12M14,4.3405328299677155,4.340532829967761
3HAD13M14,4.340532829967735,4.340532829967724
3HAD140,1.5820620688236149,1.5820620688236116
3HAD14M16,4.340532829967735,4.340532829967724
3HAD15M16,4.340532829967735,4.340532829967725
3HAD40,17.402998676638983,17.402998676638948
3HAD4M6,4.3405328299677155,4.34053282996776
3HAD5M6,4.340532829967735,4.340532829967724
3HAD60,17.402998676638983,17.402998676638948
3HAD6M8,4.3405328299677155,4.34053282996776
3HAD7M8,4.340532829967735,4.340532829967724
3HAD80,17.402998676638983,17.402998676638948
3HAD8M10,4.3405328299677155,4.34053282996776
3HAD9M10,4.340532829967735,4.340532829967724
3MOBS,0.0,0.0
3OAR100,17.40299867663898,17.402998676638944
3OAR10M11,0.0,0.0
3OAR10M12,4.340532829967715,4.340532829967759
3OAR11M12,4.340532829967734,4.340532829967724
3OAR120,17.40299867663898,17.402998676638944
3OAR12M13,0.0,0.0
3OAR12M14,4.340532829967715,4.34053282996776
3OAR13M14,4.340532829967734,4.340532829967724
3OAR140,14.238811355075912,14.23881135507588
3OAR14M15,0.0,0.0
3OAR14M16,4.3405328299677155,4.340532829967761
3OAR15M16,4.340532829967734,4.340532829967724
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,17.40299867663898,17.402998676638944
3OAR4M5,0.0,0.0
3OAR4M6,4.340532829967715,4.340532829967759
3OAR5M6,4.340532829967734,4.340532829967724
3OAR60,17.40299867663898,17.402998676638944
3OAR6M7,0.0,0.0
3OAR6M8,4.340532829967715,4.340532829967759
3OAR7M8,4.340532829967734,4.340532829967724
3OAR80,17.40299867663898,17.402998676638944
3OAR8M10,4.340532829967715,4.340532829967759
3OAR8M9,0.0,0.0
3OAR9M10,4.340532829967734,4.340532829967724
3OAS100,17.40299867663898,17.402998676638944
3OAS10M11,0.0,0.0
3OAS10M12,4.340532829967714,4.34053282996776
3OAS11M12,4.340532829967734,4.340532829967724
3OAS120,17.40299867663898,17.402998676638944
3OAS12M13,0.0,0.0
