,minimum,maximum
23DHMPO,-1000.0000000000001,979.4329268529972
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-1000.0,-2.117342147230663
2AHBUTI,-979.4329268529971,1000.0
2HYOXPLACt2rpp,7.378127209636203e-13,0.0
2HYOXPLACtex,1.827902898275195e-12,0.0
2INSD,0.0,0.0
2MBCOATA,0.0,0.0
3HACPR1,0.0,-3.604992471230538e-13
3HACPR2,0.0,-1.5095668406799715e-13
3HAD100,21.817475491788784,21.81747549178839
3HAD10M11,0.0,-2.098071939413026e-12
3HAD10M12,0.0,-2.99324930022925e-12
3HAD11M12,0.0,2.2085888585205764e-12
3HAD120,21.817475491788784,21.817475491787544
3HAD12M13,0.0,-3.365657069475065e-12
3HAD12M14,0.0,4.196143878826053e-13
3HAD13M14,0.0,2.2085888585205764e-12
3HAD140,2.117342147230663,2.1173421472302367
3HAD14M15,0.0,-1.8343235749306443e-12
3HAD14M16,0.0,-1.4266889188008585e-12
3HAD15M16,0.0,-2.3074395580442392e-11
3HAD160,0.0,-3.086433402580475e-12
3HAD180,0.0,-8.230561378989e-13
3HAD40,21.817475491788784,21.817475491788382
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,21.817475491788784,21.817475491787665
3HAD6M7,0.0,-3.496786565688377e-12
3HAD6M8,0.0,-1.762380429106943e-12
3HAD7M8,0.0,-5.331076555049667e-13
3HAD80,21.817475491788784,21.81747549178829
3HAD8M10,0.0,-1.3987146262753518e-12
3HAD8M9,0.0,8.112544832397038e-13
3HAD9M10,0.0,4.979424069540251e-12
3MOBS,6.478190866734678e-12,0.0
3OAACPR1,0.0,-9.447044168177894e-13
3OAACPR2,0.0,-1.2929397347292862e-12
3OAR100,21.81747549178878,21.817475491787786
3OAR10M11,0.0,-1.8795227790575047e-12
3OAR10M12,0.0,-2.7274935212369353e-13
3OAR11M12,0.0,1.635210785351163e-12
3OAR120,21.81747549178878,21.817475491788457
3OAR12M13,0.0,-1.7483932828441898e-12
3OAR12M14,0.0,-3.08416575093715e-12
3OAR13M14,0.0,-6.525229684269296e-12
3OAR140,17.877448822877156,17.87744882287637
3OAR14M15,0.0,-4.615758266708671e-13
3OAR14M16,0.0,-3.713587332761058e-12
3OAR15M16,0.0,-5.359950208966025e-12
3OAR160,0.0,-6.476750494285724e-13
3OAR180,0.0,-7.528638500867742e-13
3OAR40,21.81747549178878,21.817475491788922
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,21.81747549178878,21.817475491787903
3OAR6M7,0.0,-2.6225899242662847e-12
3OAR6M8,0.0,-1.9836983297702633e-12
3OAR7M8,0.0,-7.539665413570243e-12
3OAR80,21.81747549178878,21.817475491787956
3OAR8M10,0.0,-6.5564748106657066e-12
3OAR8M9,0.0,7.639919243034124e-13
3OAR9M10,0.0,-1.9836983297702633e-12
3OAS100,21.81747549178878,21.817475491787686
3OAS10M11,0.0,-4.3709832071104694e-12
3OAS10M12,0.0,-3.0841657509371497e-12
3OAS11M12,0.0,-6.5414458824906005e-12
3OAS120,21.81747549178878,21.817475491788183
3OAS12M13,0.0,-4.3709832071104694e-12
3OAS12M14,0.0,-3.0841657509371497e-12
3OAS13M14,0.0,-2.527919779405962e-12
3OAS140,17.877448822877156,17.87744882287718
3OAS160,0.0,-1.0490359697065136e-13
3OAS180,0.0,-7.528638500867741e-13
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,-1.8770391276059567e-12
3OAS4M6,0.0,-1.9836983297702633e-12
3OAS5M6,0.0,-7.539665413570242e-12
3OAS60,21.81747549178878,21.817475491787956
3OAS6M7,0.0,-6.556474810665707e-12
3OAS6M8,0.0,-9.918491648851315e-13
3OAS7M8,0.0,1.5279838486068244e-12
3OAS80,21.81747549178878,21.817475491787686
3OAS8M10,0.0,-6.556474810665707e-12
3OAS8M9,0.0,4.808081527821518e-13
3OAS9M10,0.0,-3.7345680521551876e-12
4HTHDR,-997.8826578527693,2.1173421472306577
4HTHDS,-997.8826578527693,2.11734214723064
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
56DFURADH,-999.9999999999999,999.9999999999999
5AIZCDC,0.0,-6.829949807485471e-12
5FURAtex,-1000.0000000000008,999.9999999999997
5FURAtpp,-1000.0000000000001,1000.0000000000001
7A_CZPtex,-1000.0,1000.0000000000003
A5PISO,9.997395485053909,9.997395485052976
ACBIPGT,0.0,0.0
ACCOAC,0.0,126.96482628181629
ACCOACL,0.0,126.96482628181607
ACGAM2E,0.0,0.0
ACGAMT,0.0,0.0
ACGK,20.983437183105863,20.983437183100058
ACGS,0.0,4.733390944879109e-12
ACHBPL,20.567073147002912,20.56707314700299
ACKr,-999.9999999999999,-984.5061042601609
ACLS_a,188.27470384384566,258.1220934902332
ACLS_b,-237.5550203432499,-167.7076306968872
ACNAMS,0.0,-8.23746798420624e-12
ACNML,0.0,-3.806930126780856e-12
ACOAAGPAT140,0.0,-3.749802671269984e-12
ACOAAGPAT160,0.0,1.6814974907977488e-12
ACOAAGPAT180,0.0,-1.1273719709521975e-11
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,-4.361304172479595e-30,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOATA,21.817475491788723,21.817475491788183
ACOCT,0.0,0.0
ACODAr,0.0,-6.013556840457563e-12
ACONTa,0.0,69.84738964637408
ACONTb,0.0,69.84738964638143
ACOTA,-20.983437183105636,-20.98343718310586
ACPS1,0.5684533747450199,0.5684533747450197
ACS,0.0,15.493895739820422
ACTNDH,0.0,0.0
ACtex,-1000.0,-1000.0000000000086
ACtrpp,-1000.0,-1000.0000000000086
ADCL,0.0,-1.1132441801579332e-12
ADCPS2,0.0,0.0
ADCS,0.0,-1.3166110594669963e-12
ADD,0.0,-1.8694819812222297e-11
ADK1,-1000.0,1000.0
ADK10,-1000.0,995.2048984478539
ADK11,-1000.0,1000.0
ADK2,0.0,-4.917350522265015e-13
ADK3,-1000.0,959.9662485323195
ADK5,-1000.0,956.4026819196789
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADNCNT3tcpp,17.21256204338722,999.9999999999998
ADNCYC,0.0,0.0
ADNUC,0.0,518.2782496012281
ADNtex,17.2125620433956,1000.0
ADOCBIK,0.0,-1.3477626721596965e-11
ADOCBIK2,0.0,-1.483394031577161e-11
ADOCBLS,8.316704787359119e-28,0.0
ADOCBLabcpp,0.0,0.0
ADOCBLtex,0.0,0.0
ADSELK,0.0,-1.4502984890022458e-11
ADSK,0.0,-3.404510892144308e-12
ADSL1r,22.821189424270585,22.821189424267537
ADSL2r,0.0,-6.4364122118409896e-12
ADSS,22.821189424273083,22.82118942426741
AEPPT,0.0,0.0
AGDC,0.0,0.0
AGMD,0.0,0.0
AGMHE,8.46936858892265,8.469368588922636
AGPAT120,0.0,0.0
AGPAT140,0.0,-1.6166877801708104e-11
AGPAT141,0.0,0.0
AGPAT160,0.0,-2.0240703608436107e-11
AGPAT161,0.0,0.0
AGPAT180,0.0,-1.9547528827325228e-11
AGPAT181,0.0,0.0
AGPR,-20.983437183107522,-20.98343718310586
AHC,0.0,-4.812476417700403e-12
AHEXASE3,0.0,0.0
AHMMPS,0.0,-3.0687892384544847e-12
AHSERL2,0.0,7.613842402012349
AHSERL3,-7.613842402012894,0.0
AICART,6.742112957334488,6.742112957344603
AIHPDCOATA,0.0,0.0
AIPDCOATA,0.0,0.0
AIRC4,0.0,-1.7155238436413715e-11
AKP1,0.0,-1.6270047426788435e-11
ALAALA,2.1173421472306626,2.1173421472306515
ALAASP1c,0.0,0.0
ALACI,-832.292369303161,1000.0
ALAD_L,0.0,735.3447258768631
ALAGLN1c,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLY1c,0.0,0.0
ALAHIS1c,0.0,0.0
ALALEU1c,0.0,0.0
ALAR,4.234684294461326,4.234684294461323
ALATHR1c,0.0,0.0
ALCD4,0.0,0.0
ALKP,0.0,-1.6732718524767877e-11
ALKP_R788epp,0.0,2.1580244277234444e-12
AMAA,0.0,0.0
AMALT1,0.0,0.0
AMALT2,0.0,0.0
AMALT3,0.0,0.0
AMALT4,0.0,0.0
AMANAPEr,0.0,0.0
AMAOTr,0.0,1.5825919549284435e-13
AMMQT8r,0.0,-1.5540418400527716e-12
AMPMS2,0.0,-3.304777043023551e-12
AMPMS3,0.0,-1.4557714299305538e-12
AMPN,0.0,-1.0871407018904516e-12
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.0
ANPRT,4.014928520860893,4.0149285208608925
ANS,0.0,4.0149285208609164
ANS2,0.0,4.0149285208609164
ANZPtex,-1000.0,999.9999999999991
AOBUTDs,0.0,-1.4917195427996785e-12
AOXSr,0.0,-2.3124735476229703e-12
AOXSr2,-1.3565713833809735e-11,2.4257868017543443e-13
APPLDH,0.0,0.0
APRAUR,1.1369067494900402,1.136906749490038
ARABASE3epp,0.0,333.3333333333333
ARABTTRtex,0.0,333.3333333333333
ARAB_Ltex,-1000.0,-5.130917851359604e-13
ARGN,0.0,0.0
ARGSL,20.98343718310586,20.983437183105877
ARGSS,20.983437183105863,20.983437183105885
ARSENBabcpp,0.0,0.0
ARSENBtex,0.0,0.0
ASAD,-76.12810226833562,-40.63829457828356
ASNS1,0.0,17.08257202668124
ASNS2,0.0,17.082572026685373
ASP1DC,1.1369067494897678,1.1369067494896756
ASP4DC,42.751851597913294,778.096577474738
ASPCT,0.0,-6.434447873085688e-13
ASPKi,40.63829457828356,76.12810226832259
ASPO1,0.0,243.06175892022213
ASPO6,0.0,-1.2048963863496577e-12
ASPO7,0.0,0.0
ASPT,0.0,1000.0
ASPTA,-1000.0,827.7309960207721
ATPPRT,6.74211295733449,6.742112957334758
ATPS4pp,1000.0000000000259,1000.0
BACCLi,0.0,0.0
BDH,0.0,0.0
BGLA,0.0,0.0
BPNT,0.5684533747450201,0.5684533747450196
BRVt2pp,0.0,162.04117261346252
BRVtex,0.0,162.04117261348432
BTNCLi,0.0,126.96482628181754
BTS4,0.0,-1.3681012495493214e-12
BVUtepp,0.0,486.1235178404169
BVUtex,-486.123517840446,-1.1829891791648436e-13
C02528tex,2.602576194515271e-11,0.0
CA2abcpp,0.56845337474502,0.5684533747450194
CA2tex,0.56845337474502,0.5684533747450221
CAP_NR,-999.9999999999999,999.9999999999999
CBIAT,0.0,0.0
CBL1abcpp,0.0,-1.501486266066504e-12
CBL1tex,0.0,-1.6723143881571813e-12
CBL2abcpp,0.0,0.0
CBL2tex,0.0,0.0
CBLAT,0.0,-2.5283800868566912e-12
CBPS,20.983437183105863,20.983437183102517
CD2abc1pp,0.0,-5.435770289060583e-12
CD2tex,0.0,3.269797645008343e-13
CDOSKT,3.940026668911623,3.940026668911675
CDPGHL,0.0,0.0
CDPMEK,23.29076361953729,23.29076361953656
CHCOAL,0.0,-3.709059977189489e-13
CHLPHNCLtex,-1000.0000000000001,1000.0000000000001
CHOLATEtex,2.0449013923938843e-11,0.0
CHOLSH,0.0,0.0
CHORM,22.915308077890714,22.91530807788796
CHORS,26.930236598751605,26.930236598750056
CITRAMALS,0.0,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.0,0.0
CLPNSAI15,0.0,0.0
CLPNSAI17,0.0,0.0
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.0,0.0
CLtex,0.5684533747450199,0.568453374745019
CMLDC,0.0,0.0
CMPSAS,0.0,0.0
CO2tex,-1000.0,-1000.000000000042
CO2tpp,-1000.0,-1000.000000000015
COBALT2tex,0.5684533747450198,0.5684533747450189
COBALTt5pp,-0.5684533747450182,-0.5684533747450199
CPC3MT,0.0,0.0
CPC5MT,0.0,0.0
CPC5MT2,0.0,0.0
CPC6MT,0.0,0.0
CPC6R,0.0,0.0
CPC8MM,0.0,0.0
CRO4t3pp,0.0,0.0
CRO4tex,0.0,0.0
CTBTabcpp,0.0,0.0
CTBTtex,0.0,0.0
CTPS1,0.0,-6.2098927568485e-12
CTPS2,0.0,-5.646223671593588e-12
CU2tex,0.5684533747450202,0.56845337474502
CYRDAAT,0.0,0.0
CYRDAR,0.0,0.0
CYRDAS,0.0,0.0
CYSS,0.0,7.613842402012204
CYSS3r,0.0,7.613842402012172
CYSTL,0.0,6.466751120683295e-13
CYSTS,0.0,-8.973478155983449e-12
CYTBD2pp,756.6540143924265,1000.0
CYTBDpp,756.6540143924129,1000.0
CYTD,0.0,-1.2071268758608713e-11
CYTDK1,0.0,10.309158975716953
CYTDK2,0.0,10.309158975717493
CYTDK3,0.0,10.309158975717715
CYTDK4,0.0,10.309158975715702
CYTDt2rpp,10.309158975732984,10.309158975685488
CYTDtex,10.309158975727874,10.30915897569719
CYTK1,43.59731808031909,44.734224829798855
CYTK2,4.445385055835538e-12,0.0
CZP_NR,-1000.0,1000.0
CZPtex,-1000.0,1000.0
Cuabcpp,0.56845337474502,0.5684533747446568
Cut1pp,0.0,-9.20664831777637e-13
DADNt2rpp,-1000.0,-17.212562043409132
DAD_2tex,-1000.0,-17.212562043414504
DAGK120,0.0,-2.3220641456908017e-12
DAGK140,0.0,0.0
DAGK141,0.0,9.36753659649553e-13
DAGK160,0.0,-3.1244408660330985e-12
DAGK161,0.0,-8.794722437722795e-13
DAGK180,0.0,-1.5156431201062411e-12
