,minimum,maximum
12PPDt,-9.578341792959659e-12,0.0
23DHMPO,-999.9999999999831,999.9999999999999
2AHBUTI,-1000.0,1000.0000000000089
3CARLPDH,0.0,0.0
3MOBS,7.57603746128102e-11,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
4ABZt2,0.0,-2.484059653338109e-12
4HTHDR,-998.8419232935191,1.1580767064806512
4HTHDS,-998.841923293519,1.1580767064806794
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-1.1024702080991287e-11
5MTHCYST,3.0246123959387263e-12,0.0
6PHBG,0.0,-2.2977406694896652e-10
ACALD,49.327964801312696,49.32796480029326
ACALDt,876.6493678575384,876.6493678549496
ACCOACL,0.0,-1.1640872613603357e-12
ACEDIPIT,0.0,0.0
ACGAMT,0.0,0.0
ACGK,15.880721207716704,15.880721207716638
ACGS,15.880721207716704,15.88072120771675
ACHBPL,3.507941445621056e-11,1.1828555145567742e-11
ACKr,-984.1192787922834,-984.1192787922978
ACLS_a,3.5438745077032347e-11,-2.148792575385757e-11
ACLS_b,2.3421218992381306e-11,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOCT,0.0,0.0
ACODAr,15.880721207716702,15.880721207716638
ACONTa,0.0,-9.319467690447351e-12
ACONTb,0.0,-9.986938755854782e-11
ACOTA,-15.880721207716638,-15.880721207716705
ACPS1,1.4147598054158441,1.4147598054158388
ACtr,-1000.0,-1000.0000000000013
ADEt2,11.521573808468302,11.521573808464115
ADK1,-823.2704857929556,1000.0
ADK10,-2.1108493257373984,-0.6960895203215131
ADK11,5.824667306529577e-13,0.6960895203215116
ADK2,1.5099567272653355e-11,0.0
ADK3,-5.324722379507658,-4.628632859189112
ADK5,0.0,0.6960895203194923
ADK7,-828.595208172471,994.6752776204895
ADK8,-0.6960895203180422,0.0
ADK9,-0.6960895203215113,0.0
ADNCYC,0.0,0.0
ADNUC,0.0,0.0
ADPRDP,0.0,0.0
ADPT,11.52157380846306,11.521573808463506
ADSL1r,0.0,1.1268637403482054e-12
ADSL2r,0.0,-2.2594775229497474e-12
ADSS,0.0,-2.2594775229497474e-12
AGDC,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,-15.880721207716698,-15.880721207716704
AHCYSNS_r,0.0,-3.1410546803512213e-12
AHEXASE3,0.0,0.0
AHMMPS,0.0,-2.3136188825247164e-12
AHSERL2,0.0,-1.0541422201011913e-11
AHSERL3,-5.7470050757758245e-12,-5.814531787832182e-14
AICART,-6.23090693880597e-28,-1.129488905509405e-12
AIRC4,0.0,-1.4123839621718191e-11
AKGS,0.0,-1.5843581363068386e-11
AKP1,6.074441176763473e-12,-2.8161590673028484e-12
ALAALA,1.158076706480778,1.1580767064807738
ALAASP1c,0.0,1.2231801343712092e-11
ALAASPabc,0.0,-2.7905249109523448e-11
ALACI,-1000.0000000000001,999.9999999999999
ALAGLN1c,0.0,-2.9008870462204915e-11
ALAGLNabc,0.0,-2.4518085279817416e-11
ALAGLU1c,0.0,-2.4506072499180557e-11
ALAGLUabc,0.0,-2.8682419559678107e-11
ALAGLY1c,0.0,-1.9076726624199047e-11
ALAGLYabc,0.0,-1.9462381545507504e-11
ALAHIS1c,0.0,-2.9146283380106614e-11
ALAHISabc,0.0,-2.7726267385369667e-11
ALALEU1c,0.0,-2.7716815745163893e-11
ALALEUabc,0.0,-2.8611148259370826e-11
ALAR,2.3161534129615555,2.316153412961546
ALATA_L,-893.8667316008082,-227.3925075685596
ALATHR1c,0.0,-2.6437148824822527e-11
ALATHRabc,0.0,-2.7574046193115916e-11
ALAt2r,-879.15680467672,-212.6825806452188
ALCD19,0.0,0.0
ALCD2x,-827.3214030545512,-827.3214030562985
ALKP,0.0,-2.1377011241990546e-11
ALKP_R788e,83.64982135287808,83.64982135268302
ALLTNt2r,0.0,0.0
AMALT1,0.0,-1.1989869190247459e-11
AMALT2,0.0,-1.2175115440434095e-11
AMALT3,0.0,-1.1310619692522888e-11
AMALT4,0.0,-1.1713195634500093e-11
AMPMS2,0.0,-2.181425345664197e-12
AMPMS3,0.0,-1.2763061662742089e-12
AMPTASECG,0.0,-1.8167630474758395e-11
AMPTASEGC,0.0,-1.7195058406089077e-11
ANPRT,0.0,-6.294746463685666e-12
ANS,0.0,-4.6421840476141876e-12
ANS2,0.0,-4.697094425706384e-12
AOBUTDs,0.0,0.0
APRAUR,0.0,0.0
ARABASE3e,0.0,333.2371120157827
ARAI,0.0,-7.788361685287353e-12
ARBTpts,0.0,0.0
ARBabc,0.0,-6.559978228744092e-12
ARGSL,15.880721207716704,15.880721207716654
ARGSS,15.880721207716702,15.880721207716682
ASAD,-1.1580767064753623,-1.1580767064807775
ASNS1,0.0,-5.664131231444208e-12
ASNt2r,12.179906255289568,678.6541302868163
ASPCT,0.0,-6.450603935331171e-12
ASPKi,1.158076706480778,1.158076706475752
ASPO1,0.0,-2.1847073730357094e-11
ASPO6,0.0,-8.547367861055094e-12
ASPO7,0.0,0.0
ASPT,0.0,666.4742240315925
ASPTA,-681.196868533037,-14.722644501470512
ASPt2r,-651.9781643634689,14.49605966798905
ATPPRT,0.0,0.0
ATPS4,371.5296218615023,371.52962186102275
BACCLi,0.0,0.0
BGLA,0.0,-1.8880671338512353e-11
BPNT,1.414759805415844,1.4147598054158388
BTNCLi,0.0,0.0
BTNabc,0.0,0.0
CA2abc,1.414759805415844,1.4147598054158417
CBPS,15.880721207716702,15.880721207716352
CD2abc1,0.0,-1.8449924704170813e-11
CD2t6r,1.0105976907575306e-11,6.118115998261078e-14
CDPMEK,12.738843771288561,12.738843771287751
CELLBabc,0.0,-6.8852911113531596e-12
CGLYabc,0.0,-1.3437976361638765e-11
CHORM,4.987288381207528e-12,-1.5103816394730547e-11
CHORS,0.0,-1.606614825014205e-11
CMLDC,0.0,0.0
CMPN,12.738843771288561,12.738843771285234
CO2t,-916.3501786471152,-916.3501786473317
COBALTt5,-1.4147598054158388,-1.414759805415844
CPPPGO,0.0,0.0
CSNt6,-12.738843771288058,-12.73884377128856
CTPS1,0.0,16.286638009246587
CTPS2,0.0,16.286638009245817
CYSDS,0.0,-3.922960632169773e-11
CYSS,0.0,-1.0613166548286547e-11
CYSS3r,0.0,-1.1429307420436472e-11
CYSTGL,0.0,-1.6689152917481355e-11
CYSTL,0.0,-4.3962237894108715e-11
CYSTS,0.0,-4.3176291185075624e-11
CYSt2r,7.5062673035902625,7.506267303590942
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK4,0.0,0.0
Cuabc,1.414759805415844,1.4147598054097508
Cut1,0.0,-6.714805004481411e-12
DAPDA,0.0,0.0
DAPE,1.1580767064807775,1.158076706480773
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,0.0,0.0
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DCTPD,0.0,3.883111537686399e-12
DCTPD2,0.0,-1.1574777073563405e-11
DDPA,0.0,-6.631671544858427e-12
DEXTRINASE,0.0,-1.1951719542989268e-11
DEXTRINabc,0.0,-9.91581251892637e-12
DGK1,0.0,0.0
DHAD1,0.0,-1.7636585108300993e-11
DHAD2,0.0,-2.1516380939626774e-11
DHDPRy,0.0,1000.0
DHDPS,0.0,1000.0
DHFOR2,0.0,-1.8353438652821235e-11
DHFR,0.6960895203215128,0.6960895203131491
DHFS,0.0,-1.8861725408971802e-11
DHNAOPT,0.0,0.0
DHNAOT,0.0,0.0
DHNAOT4,0.0,0.0
DHNPA,0.0,2.31334304372806e-13
DHORD2,0.0,-6.548478241616878e-12
DHORD5,0.0,-6.950959302744913e-12
DHORDi,0.0,-6.95266066941258e-12
DHORDnad,0.0,-7.650716724597754e-12
DHORTS,6.718970514368862e-12,0.0
DHPPDA,0.0,0.0
DHPPDA2,0.0,0.0
DHPS,6.81517626827534e-12,2.313343043728061e-13
DHQS,0.0,-1.905011852106727e-11
DHQTi,0.0,-1.904136088905724e-11
DMATT,1.1580767064807784,1.158076706480774
DMPPS,0.0,1000.0
DMPPS2r,-998.8419232935194,1.1580767064808148
DM_2HYMEPH,0.0,-2.9511647686415886e-11
DM_4HBA,0.0,-4.605691452154676e-12
DM_GCALD,0.0,-7.53651046860113e-12
DM_NA1,999.9999999999712,1000.0
DM_atp_c_,0.0,7.1837563447198105e-12
DM_dhptd(c),0.0,-2.8106537080512042e-12
DM_teich_45_BS(c),0.0,0.0
DM_this[c],0.0,0.0
DPCOAK,2.829519610831691,2.8295196108306295
DPR,0.0,0.0
DRBK,0.0,0.0
DTMPK,0.6960895203215131,0.6960895203215103
DUTPDP,0.0,-2.912333653264792e-13
DXPRIr,12.738843771288561,12.738843771287424
DXPS,12.738843771288561,12.738843771287588
DXYTST,0.0,0.0
E4PD,0.0,0.0
EHGLAT,0.0,0.0
ENO,1000.0000000001936,1000.0
ETOHt2r,-827.3214030546874,-827.3214030558978
EX_12ppd_S(e),0.0,-1.5489526200103608e-11
EX_4abz(e),5.301085680748007e-11,0.0
EX_4ahmmp(e),1.1987370589984455e-11,0.0
EX_5mthf(e),0.0,-7.291860278742542e-12
EX_C02528(e),0.0,-1.8952662154260034e-10
EX_ac(e),1000.0000000000128,1000.0
EX_acald(e),-876.6493678552168,-876.6493678574217
EX_ade(e),-11.521573808464078,-11.52157380848166
EX_ala_L(e),212.68258064522436,879.1568046767296
EX_alaasp(e),2.3488840499455196e-11,0.0
EX_alagln(e),2.523856307411917e-11,0.0
EX_alaglu(e),2.3125816598032726e-11,0.0
EX_alagly(e),1.7142089927737165e-11,0.0
EX_alahis(e),2.5148781005985087e-11,0.0
EX_alaleu(e),2.4149744853987116e-11,0.0
EX_alathr(e),2.581698665353016e-11,0.0
EX_alltn(e),0.0,0.0
EX_arab_L(e),1.2689897411980914e-11,999.7113360472014
EX_arabttr(e),-333.2371120157619,0.0
EX_arbt(e),1.1490358374869262e-11,0.0
EX_asn_L(e),-678.6541302867006,-12.179906255294393
EX_asp_L(e),-14.496059668024822,651.9781643634728
EX_biomass(e),70.6532064230845,70.6532064230842
EX_btn(e),1.4389537867970364e-11,0.0
EX_ca2(e),-1.4147598054158381,-1.4147598054158443
EX_cd2(e),0.0,0.0
EX_cellb(e),1.9125808642647662e-13,0.0
EX_cgly(e),1.626343392664805e-11,0.0
EX_cholate(e),0.0,-2.3095814690187254e-10
EX_cl(e),-1.4147598054158386,-1.4147598054158437
EX_co2(e),1000.0000000000034,1000.0
EX_cobalt2(e),-1.414759805415838,-1.4147598054158437
EX_csn(e),12.73884377128855,12.738843771262689
EX_cu2(e),-1.4147598054158386,-1.4147598054158441
EX_cys_L(e),-7.50626730359492,-7.506267303640781
EX_dextrin(e),-1.359089038190216e-12,0.0
EX_dgchol(e),1.6924225882777176e-10,0.0
EX_dhna(e),0.0,0.0
EX_etoh(e),827.3214030561915,827.3214030547225
EX_fe2(e),-1.414759805415839,-1.4147598054158441
EX_fe3(e),-1.414759805415845,-1.4147598054158441
EX_fol(e),0.0,-1.7511137465558122e-11
EX_for(e),0.0,-4.820538083760625e-11
EX_fru(e),1000.0000000000505,1000.0
EX_fuc_L(e),1.58052794579019e-11,0.0
EX_fum(e),-666.4742240316269,0.0
EX_gal(e),1.5305216522254326e-11,-4.591550991456908e-11
EX_galam(e),1.62541249378107e-11,0.0
EX_gchola(e),1.8806862081646685e-10,0.0
EX_glc_D(e),1.1927456780807261e-11,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-59.90409825107258,-59.904098251180194
EX_gly(e),0.0,-2.0249865099669865e-10
EX_glyasn(e),1.5572680575335808e-11,0.0
EX_glyasp(e),1.5887246807766774e-11,0.0
EX_glyc(e),0.0,0.0
EX_glycys(e),1.6023078791545856e-11,0.0
EX_glygln(e),1.5752490326462096e-11,0.0
EX_glyglu(e),1.5315782045188344e-11,0.0
EX_glyleu(e),-32.91576037131496,-32.91576037138361
EX_glymet(e),5.218843619468247e-11,0.0
EX_glyphe(e),1.6078378011627657e-11,0.0
EX_glypro(e),1.5839831982716847e-11,0.0
EX_glytyr(e),-9.578341792959743e-12,0.0
EX_gua(e),-5.324722379508239,-5.324722379511145
EX_h(e),1000.0000000002008,1000.0
EX_h2o(e),-1000.0,-333.52577596849886
EX_h2s(e),0.0,0.0
EX_hg2(e),0.0,-1.5035443503337018e-11
EX_his_L(e),-6.729152686147389,-6.72915268617566
EX_ile_L(e),-22.206302778775402,-22.20630277880206
EX_k(e),-1.414759805415846,-1.414759805415844
EX_lac_L(e),92.2363479211726,758.710571952685
EX_lactl(e),1.1482370609883214e-10,0.0
EX_lcts(e),1.5024043682079883e-11,0.0
EX_leu_L(e),4.383876021550216,4.383876021385064
EX_lys_L(e),-26.580442788428506,-26.58044278842862
EX_malt(e),-8.606613889191448e-13,0.0
EX_malthx(e),1.151238882997608e-11,0.0
EX_malttr(e),2.4021545811076642e-11,0.0
EX_mantr(e),1.5844646234594015e-11,0.0
EX_melib(e),1.6059411919638842e-11,0.0
EX_met_D(e),1.3826365831247371e-11,0.0
EX_met_L(e),5.308228436524926e-11,0.0
EX_metala(e),-10.734624264684717,-10.734624264739846
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-1.4147598054158428,-1.414759805415844
EX_mn2(e),-1.4147598054158426,-1.414759805415844
EX_na1(e),-1000.0,-1000.0000000000555
EX_nac(e),-2.8295196108316794,-2.8295196108430587
EX_nh4(e),-31.45256072754328,635.0216633041069
EX_o2(e),-83.64982135266011,-83.64982135290998
EX_orot(e),3.885712793546941e-11,-1.0057299773662877e-11
EX_pb(e),0.0,-1.3975222648794153e-11
EX_phe_L(e),-14.467657079254963,-14.467657079317561
EX_pi(e),1.8638935380895303e-11,0.0
EX_pnto_R(e),-2.8295196108306806,-2.829519610831558
EX_pro_L(e),-13.222747582080205,-13.222747582097881
EX_pydam(e),0.0,0.0
EX_pydx(e),-1.4147598054158435,-1.4147598054610642
EX_pydxn(e),0.0,0.0
EX_r406(e),83.64982135249969,83.64982135268721
EX_r788(e),-83.64982135268593,-83.64982135265839
EX_raffin(e),-3.4948003839177464e-12,0.0
EX_rib_D(e),9.438095585032294e-12,0.0
EX_ribflv(e),-2.8295196108316776,-2.8295196108316882
EX_salcn(e),-8.853494305925358e-11,0.0
EX_ser_L(e),-18.494338750308454,-18.494338750577892
EX_so4(e),-1.4147598054158386,-1.4147598054158441
EX_stys(e),6.471852562810661e-12,0.0
EX_succ(e),1.4643007515417782e-11,-5.28562170087626e-11
EX_sucr(e),-1000.0,-1000.0000000000723
EX_taur(e),0.0,-1.8378144578781717e-10
EX_tchola(e),1.9885073626556967e-10,-1.1401515326872632e-13
EX_tdchola(e),2.0792879894107665e-10,0.0
EX_thf(e),0.0,-1.4633413837635203e-12
EX_thm(e),2.0907328031734478e-10,0.0
EX_thr_L(e),-15.342343774720334,-15.342343774799655
EX_trp_L(e),-4.474891482012463,-4.474891482018193
EX_tyr_L(e),-9.117796288902163,-9.117796288916503
EX_ura(e),-20.06370190206761,-20.063701902112125
EX_urea(e),-493.8317984461411,-493.83179844634503
