,minimum,maximum
12DGR180ti,1.88858122312717,1.88858122312717
23DHMPO,-3.8073256066976766e-12,0.0
2AHBUTI,1.0389437204497847e-13,2.3884430900494445e-11
3MOBS,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.7371868459636255e-11
5DOAN,0.0,-6.176890916007065e-13
5MTHCYST,6.065780363314705e-12,0.0
6P3HXI,0.0,0.0
6PHBG,0.0,2.5126172555898322e-11
AACGLYDH,0.0,0.0
AACOAT,0.0,-3.688769064552109e-13
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0000000000001,0.0
ACALD,18.468372518901496,18.46837251905937
ACALDt,1000.0000000000387,1000.0
ACBIPGT,0.36068699575835106,0.36068699575835134
ACCOACL,45.325949355052046,45.32594935505216
ACGAM2E,0.0,0.0
ACGAMK,0.0,0.0
ACGAMT,0.24614410482983914,0.24614410482983887
ACGS,0.0,0.0
ACHBPL,0.0,-1.3045121147241268e-12
ACKr,-1000.0,-999.9999999999671
ACLS_a,0.0,2.939729327403616e-12
ACLS_b,-9.121317074557658e-13,0.0
ACOAAGPAT140,0.0,1.982972152502221e-12
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.534392283937327e-12
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.8885812231271686,1.8885812231271708
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.8885812231271686,1.8885812231271728
ACONTa,425.72814776492464,425.7281477650053
ACONTb,425.72814776501383,425.7281477649775
ACOTA,0.0,0.0
ACPS1,0.3606869957583511,0.360686995758351
ACtr,-1000.0,-999.9999999999925
ADCS,0.0,2.3235141396476016e-12
ADK1,38.91935204331777,38.919352043316415
ADK2,0.3606869957583512,0.3606869957583516
ADNCNT3tc,4.163843509670679,4.163843509669846
ADNCYC,0.0,0.0
ADNUC,5.888173629033171e-12,1.3670600220290535e-10
ADOCBIK,0.36068699575835106,0.36068699575835195
ADOCBLS,0.3606869957583511,0.36068699575835295
ADPRDP,0.0,0.0
ADPT,4.8852175011875465,4.885217501188386
ADSS,0.0,0.0
AEPPT,0.0,0.0
AGDC,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,0.0,0.0
AHC,-4.1638435096771325,-4.1638435096539945
AHCYSNS_r,4.8852175012191035,4.88521750118945
AHEXASE3,0.0,0.0
AHSERL2,1.3194184611642443e-13,0.0
AHSERL3,-8.249526568103349e-15,0.0
AIHDUDPMG,0.3281921397731184,0.3281921397731196
AIHDUPDG,0.32819213977311895,0.3281921397731192
AIRC4,0.0,3.5667382852171597e-12
AKGS,0.0,1.6167208806556228e-12
AKP1,0.0,0.0
ALAALA,0.0820480349432797,0.0820480349432799
ALAASP1c,0.0,9.162827663747664e-12
ALAASPabc,0.0,4.365069289813168e-11
ALACI,-1000.0,1000.0
ALAGLN1c,598.4281547538767,598.4281547539038
ALAGLNabc,598.4281547538892,598.428154753891
ALAGLU1c,0.0,1.7211381166701808e-12
ALAGLUabc,0.0,2.1368322274365903e-11
ALAGLY1c,0.0,1.3050451858840842e-11
ALAGLYabc,0.0,-1.2408399633056038e-11
ALAHIS1c,0.0,-3.199100436850203e-11
ALAHISabc,0.0,-2.1322957767822288e-11
ALALEU1c,0.0,-2.1518980872940166e-11
ALALEUabc,0.0,-1.5747189444469372e-11
ALAPGPL,0.08204803494327972,0.08204803494327967
ALAR,9.763716158250284,9.763716158250366
ALATHR1c,8.487821742318102,8.487821742303561
