,minimum,maximum
23DHMPO,-18.862941076586043,-18.86294107909367
26DAPLLAT,-863.6559997258292,0.0
26DAPt2r,1.4428260075932953,1000.0
2AHBUTI,18.8629410790951,18.86294107658609
2MBCOATA,4.9140654364410485,4.914065436436987
3HAD10M12,4.914065436441052,4.914065436436994
3HAD11M12,4.914065436441052,4.914065436436994
3HAD12M14,4.914065436441055,4.914065436436982
3HAD13M14,4.914065436441055,4.914065436436983
3HAD14M16,4.9140654364410565,4.914065436436983
3HAD15M16,4.9140654364410565,4.914065436436983
3HAD4M6,4.914065436441049,4.914065436436974
3HAD5M6,4.914065436441049,4.91406543643698
3HAD6M8,4.91406543644105,4.914065436436976
3HAD7M8,4.91406543644105,4.914065436436981
3HAD8M10,4.914065436441051,4.914065436436978
3HAD9M10,4.914065436441051,4.914065436436982
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.914065436441052,4.914065436437014
3OAR11M12,4.914065436441052,4.914065436437014
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.914065436441055,4.914065436437015
3OAR13M14,4.914065436441055,4.914065436437015
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.9140654364410565,4.914065436437015
3OAR15M16,4.9140654364410565,4.914065436437016
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.914065436441049,4.91406543643701
3OAR5M6,4.914065436441069,4.914065436437028
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.91406543644105,4.914065436436973
3OAR7M8,4.91406543644105,4.914065436436973
3OAR80,0.0,0.0
3OAR8M10,4.914065436441051,4.914065436436974
3OAR8M9,0.0,0.0
3OAR9M10,4.914065436441051,4.914065436436974
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.914065436441054,4.914065436436976
3OAS11M12,4.914065436441054,4.914065436436976
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.914065436441056,4.914065436436976
3OAS13M14,4.914065436441056,4.914065436436976
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.914065436441052,4.914065436436986
3OAS4M3O6,4.9140654364410485,4.914065436437006
3OAS4M5,0.0,0.0
3OAS4M6,4.914065436441049,4.914065436437008
3OAS5M6,4.914065436441049,4.914065436437012
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.91406543644105,4.91406543643701
3OAS7M8,4.91406543644105,4.914065436437013
3OAS80,0.0,0.0
3OAS8M10,4.914065436441052,4.914065436437012
3OAS8M9,0.0,0.0
3OAS9M10,4.914065436441052,4.914065436437015
4HTHRS,0.0,0.0
5AIZCDC,0.0,-2.465007874558629e-09
5DOAN,0.0,-4.134285783888991e-10
6PGALSZ2i,0.0,0.0
AACGLYDH,0.0,0.0
