,minimum,maximum
23DHMPO,-2.7229394903351336,-2.7229394903351243
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,9.923686228799218,9.923686228799138
2AHBUTI,2.722939490335125,2.722939490335176
2INSD,0.0,0.0
2MBCOATA,2.722939490335126,2.72293949033511
3HAD10M12,2.722939490335126,2.72293949033511
3HAD11M12,2.7229394903351274,2.722939490335108
3HAD12M14,2.722939490335126,2.72293949033511
3HAD13M14,2.7229394903351274,2.722939490335113
3HAD14M16,2.722939490335126,2.72293949033511
3HAD15M16,2.722939490335126,2.7229394903351163
3HAD4M6,2.722939490335126,2.7229394903351163
3HAD5M6,2.7229394903351274,2.722939490335113
3HAD6M8,2.722939490335126,2.7229394903351163
3HAD7M8,2.7229394903351274,2.722939490335113
3HAD8M10,2.722939490335126,2.7229394903351163
3HAD9M10,2.7229394903351274,2.722939490335113
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.7229394903351265,2.7229394903351163
3OAR11M12,2.7229394903351274,2.7229394903351136
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.7229394903351265,2.7229394903351163
3OAR13M14,2.7229394903351274,2.7229394903351136
3OAR140,6.399598254637651,6.3995982546376275
3OAR14M15,0.0,0.0
3OAR14M16,2.7229394903351265,2.7229394903351163
3OAR15M16,2.7229394903351265,2.7229394903351163
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.7229394903351265,2.7229394903351163
3OAR5M6,2.7229394903351274,2.7229394903351136
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.7229394903351265,2.7229394903351163
3OAR7M8,2.7229394903351274,2.7229394903351136
3OAR80,0.0,0.0
3OAR8M10,2.7229394903351265,2.7229394903351163
3OAR8M9,0.0,0.0
3OAR9M10,2.7229394903351274,2.7229394903351136
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.722939490335126,2.7229394903351163
3OAS11M12,2.722939490335127,2.7229394903351127
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.722939490335126,2.7229394903351163
3OAS13M14,2.722939490335126,2.7229394903351163
3OAS140,6.39959825463765,6.399598254637626
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,2.722939490335128,2.722939490335113
3OAS4M3O6,2.722939490335126,2.7229394903351163
3OAS4M5,0.0,0.0
3OAS4M6,2.722939490335126,2.7229394903351163
3OAS5M6,2.722939490335128,2.7229394903351127
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,2.722939490335126,2.7229394903351163
3OAS7M8,2.722939490335128,2.7229394903351127
3OAS80,0.0,0.0
3OAS8M10,2.722939490335126,2.7229394903351163
3OAS8M9,0.0,0.0
3OAS9M10,2.722939490335128,2.7229394903351127
4HTHRS,0.0,0.0
5AIZCDC,0.0,-7.9606205439797e-12
5DGCLURI,0.0,0.0
5DOAN,0.0,-4.897725924411458e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,2.774281408935085e-12,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,3.9992854110431377,3.999285411043087
AACOAT,0.0,1.1075645974232755e-11
AB6PGH,0.0,509.3899532432092
AB6PGH2,0.0,509.3899532432648
ABTOXy,0.0,0.0
ACACT1r,2.8014203747720003,972.7807988584369
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACACt2pp,-1000.0000000000001,-1000.0000000000804
ACACtex,-1000.0,-1000.0000000000933
ACALD,1000.000000000032,1000.0
ACALDtex,1000.0000000000465,1000.0
ACALDtpp,1000.0000000000203,1000.0
ACBIPGT,0.09898081954149501,0.09898081954149537
ACCOAC,0.0,31.075374320362176
ACCOACL,0.0,31.075374320362712
ACEDIPIT,0.0,0.0
ACGAM2E,0.0,0.0
ACGAMtex,4.66959769161724e-14,509.38995324324384
ACGAptspp,0.0,509.3899532431991
ACGK,7.885860869009155,7.88586086900902
ACGS,0.0,0.0
ACHBPL,2.722939490335125,2.722939490335207
