,minimum,maximum
23DHMPO,-4.88857634637712,-4.888576346377501
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,17.816296667323012,17.816296667321634
2AHBUTI,4.888576346377503,4.888576346377112
2MBCOATA,4.888576346377503,4.888576346377113
2OMMBOX,0.17770328537124572,0.17770328531833138
2OMPHH,0.17770328537139432,0.1777032853183314
3HAD10M12,4.888576346377506,4.888576346377117
3HAD11M12,4.888576346377508,4.888576346377114
3HAD12M14,4.888576346377505,4.888576346377116
3HAD13M14,4.888576346377505,4.888576346377117
3HAD14M16,4.888576346377505,4.888576346377117
3HAD15M16,4.888576346377506,4.888576346377117
3HAD4M6,4.888576346377503,4.888576346377114
3HAD5M6,4.888576346377506,4.8885763463771195
3HAD6M8,4.888576346377505,4.888576346377113
3HAD7M8,4.888576346377506,4.888576346377112
3HAD8M10,4.888576346377504,4.888576346377115
3HAD9M10,4.888576346377505,4.8885763463771115
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.888576346377505,4.888576346377108
3OAR11M12,4.888576346377508,4.88857634637711
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.888576346377505,4.888576346377114
3OAR13M14,4.888576346377504,4.888576346377115
3OAR140,11.489394004157615,11.4893940041567
3OAR14M15,0.0,0.0
3OAR14M16,4.888576346377505,4.888576346377115
3OAR15M16,4.888576346377505,4.888576346377115
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.888576346377503,4.888576346377114
3OAR5M6,4.888576346377506,4.888576346377104
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.888576346377504,4.888576346377116
3OAR7M8,4.888576346377505,4.888576346377126
3OAR80,0.0,0.0
3OAR8M10,4.888576346377504,4.888576346377113
3OAR8M9,0.0,0.0
3OAR9M10,4.888576346377506,4.888576346377119
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.888576346377505,4.88857634637712
3OAS11M12,4.888576346377504,4.888576346377119
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.888576346377505,4.888576346377118
3OAS13M14,4.888576346377505,4.888576346377117
3OAS140,11.489394004157615,11.489394004156704
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.888576346377506,4.888576346377119
3OAS4M3O6,4.888576346377503,4.888576346377116
3OAS4M5,0.0,0.0
3OAS4M6,4.888576346377504,4.888576346377118
3OAS5M6,4.888576346377506,4.888576346377121
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.888576346377504,4.888576346377117
3OAS7M8,4.888576346377506,4.888576346377131
3OAS80,0.0,0.0
3OAS8M10,4.888576346377505,4.888576346377119
3OAS8M9,0.0,0.0
3OAS9M10,4.888576346377507,4.888576346377127
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,0.0
5GLUP5T1,2.918850086505055e-10,0.0
5GLUP5T2,1.1550317228530552e-13,0.0
5MTHCYST,7.709280422222464e-11,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,7.180039120308142,7.180039120307571
AACOAT,0.0,220.81378878700102
AB6PGH,0.0,109.44381595712989
AB6PGH2,0.0,109.44381595712751
ABTOXy,0.0,0.0
ACACCTr,-1000.0,995.0761709819234
ACACT1r,-225.73761780465685,-225.73761780507837
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACACt2pp,-774.2623821949069,-670.2746676760712
ACACtex,-774.2623821949086,-670.2746676761026
ACALD,1000.000000000421,1000.0
ACALDtex,896.0122854809346,1000.0
ACALDtpp,896.0122854809724,1000.0
ACBIPGT,0.1777032853183455,0.17770328531833166
ACCOAC,0.0,0.0
ACCOACL,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAM2E,0.0,0.0
ACGAMtex,0.0,-4.30849301016142e-10
ACGAptspp,0.0,-4.2068639840439746e-10
ACGK,0.0,-2.105179198830641e-10
ACGS,0.0,-2.096844470444447e-10
ACHBPL,4.888576346377501,4.888576346377124
ACKr,-989.331473979843,-768.5176851932703
ACLS_a,4.888576346377502,4.8885763463771275
ACLS_b,0.0,0.0
ACNAMS,0.0,-2.1862308873767896e-10
ACNML,0.0,-2.0747498972438984e-10
ACOAAGPAT140,0.0,-6.911059620067083e-11
ACOAAGPAT160,0.0,-1.0442315363622874e-10
ACOAAGPAT180,0.0,2.444288173158487
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.4442881731887525,2.444288173188566
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.4442881731887525,2.4442881731885566
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,-2.200875217311907e-10
ACONTa,448.6045513737061,448.60455137285425
ACONTb,448.60455137370616,448.6045513728633
ACOTA,2.1354468562982954e-10,0.0
ACPS1,0.17770328531834553,0.1777032852141869
ACPpds,0.0,-1.045846414542534e-10
ACtex,-1000.0,-1000.000000000418
ACtrpp,-1000.0,-1000.000000000428
ADCS,0.0,0.0
ADK1,-344.2533486869697,-123.4395599001791
ADK2,0.1777032853183455,0.1777032851103443
ADNUC,0.0,-2.0808793352196533e-10
ADOCBIK,0.1777032853183455,0.17770328531833188
ADOCBLS,0.17770328531834553,0.17770328531833113
ADOCBLabcpp,2.1443748400895258e-17,0.0
ADOCBLtex,2.1443748400895258e-17,0.0
ADPT,0.3554065706366912,0.3554065704166034
ADSL1r,8.534320075768008,8.534320075648441
ADSL2r,0.0,0.0
ADSS,8.534320075767486,8.534320075648616
AGDC,0.0,-4.117674473158601e-10
AGMHE,5.741368472917346,5.741368472916899
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.4442881731578447
AGPAT181,0.0,0.0
AGPR,2.0887373670032183e-10,0.0
AHCYSNS_r,0.3554065706366911,0.3554065705684638
AHSERL2,0.0,0.0
AHSERL3,8.488540654086643e-10,0.0
AICART,1.394613014229141e-10,-1.18722456907172e-10
AIHPDCOATA,4.888576346377505,4.888576346377136
AIPDCOATA,0.0,0.0
AIRC4,1.3799105496790984e-10,0.0
ALAALA,1.4353421182293367,1.4353421182292236
ALAASP1c,0.0,-6.660732201023782e-11
ALAASPabcpp,0.0,-6.63918958944048e-11
ALAASPtex,0.0,-6.63918958944048e-11
ALACI,-1000.0,1000.0
ALAD_R,-24.315422020258822,-24.31542202059268
ALAGLN1c,0.0,-1.067670401369426e-10
ALAGLNabcpp,0.0,-1.0550381016422408e-10
ALAGLNtex,0.0,-1.0550381016422408e-10
ALAGLU1c,0.0,-1.0537845146464131e-10
ALAGLUabcpp,0.0,-1.0307860147614235e-10
ALAGLUtex,0.0,-1.0307860147614233e-10
ALAGLY1c,0.0,-1.0290984938055017e-10
ALAGLYabcpp,0.0,-1.048866596432013e-10
ALAGLYtex,0.0,-1.048866596432013e-10
ALAHIS1c,4.548836818292541,4.548836818172862
ALAHISabcpp,4.54883681829254,4.548836818172844
ALAHIStex,4.548836818292541,4.548836818172844
ALALEU1c,0.0,-1.1004376086559493e-10
ALALEUabcpp,0.0,-1.0290984938055017e-10
ALALEUtex,0.0,-1.0290984938055016e-10
ALAR,2.870684236458673,2.8706842364584584
