,minimum,maximum
12DGR180tex,4.8465008471192155,4.846500847119208
12DGR180tipp,4.846500847119216,4.846500847119207
23DHMPO,0.0,0.0
26DAPLLAT,-0.14932941853374046,-0.14932941854463364
2DDGLCNtex,0.0,683.0864893788473
2IMZS,0.0,0.0
2S6HCC,0.6941917335923257,0.6941917335916143
33HPHACt2rpp,0.0,523.1561649344399
34DHPHAt2rpp,-523.156164934438,-3.934919320434739e-13
34DHPHAtex,-523.1561649344685,0.0
3BTCOAI,0.0,0.0
3HAD120,0.0,-5.074978023273967e-31
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,1.2078625503744282,1.2078625503744225
3HAD141,0.0,0.0
3HAD180,0.0,0.0
3HAD181,0.0,0.0
3HAD40,0.0,-3.286896501258109e-15
3HAD60,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD9M10,0.0,0.0
3HPHACOX,-3.577199382213355e-14,523.1561649348138
3HPHACtex,0.0,523.1561649345552
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,10.870955910365005,10.870955910346026
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,-2.0842919713635443e-15,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS120,0.0,0.0
3OAS140,10.870955910365005,10.870955910343849
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS60,0.0,0.0
3OAS80,0.0,0.0
4HP34DHPD,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
A5PISO,6.039409230369714,6.039409230359136
AACPS2,0.0,0.0
AACPS4,0.0,0.0
AACPS7,13.286729250362649,13.286729250334794
AACPS8,0.0,0.0
ABTOXy,0.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,229.61716419244217,1000.0
ACALDtex,267.5813690916964,1000.0
ACALDtpp,267.5813690917319,1000.0000000000001
ACBIPGT,0.34709586679616294,0.3470958667961607
ACCOAC,0.0,10.870955910361127
ACCOACL,0.0,10.87095591033386
ACGAMT,0.0,0.0
ACGAMtex,0.0,-2.1203789358524297e-11
ACGAptspp,0.0,-2.591349690240267e-11
ACGK,0.0,-2.5912275734218742e-11
ACGS,0.0,-2.381582184936888e-11
ACHBPL,0.0,0.0
ACHBS,0.0,0.0
ACKr,-995.1684533200048,-702.7250880262513
ACLS_a,0.0,0.0
ACM6PH,0.0,0.0
ACNML,0.0,0.0
ACOAD1f,0.0,0.0
ACOAD2f,0.0,0.0
ACOAD3f,0.0,0.0
ACOAD4f,0.0,0.0
ACOAD5f,0.0,0.0
ACOAD7f,0.0,0.0
ACOATA,0.0,999.9999999999999
ACODAr,0.0,-1.3294784136398819e-11
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACOTA,4.226745845498059e-12,0.0
ACPS1,0.34709586679616283,0.34709586679616217
ACTNDH,0.0,0.0
ACtex,-1000.0,-1000.0000000000066
ACtrpp,-1000.0000000000001,-1000.0000000000216
ADA,0.0,98.83010823729292
ADCPS1,0.0,-8.717752936842822e-12
ADCPS2,0.0,-6.614973101884997e-12
ADCYRS,0.0,-8.920242723016888e-12
ADD,0.0,98.8301082372796
ADK1,-956.1497188652627,686.2251539914637
ADK2,0.34709586679616794,1000.0
ADMDC,0.0,0.0
ADOCBIK,0.0,0.34709586679225707
ADOCBIK2,0.0,0.34709586679004306
ADOCBLS,0.3470958667961629,0.34709586679616145
ADOCBLabcpp,7.769289967331568e-12,0.0
ADOCBLtex,6.535059908234156e-12,0.0
ADPRDP,0.0,0.0
ADPT,0.0,296.49032471198944
ADSL1r,-4.071679933556494e-15,98.83010823733201
ADSL2r,0.0,0.0
ADSS,0.0,98.830108237327
AGDC,0.0,97.48112176462772
AGDC2,0.0,-1.2204853688901229e-11
AGM3PA,0.0,0.0
AGM4PA,0.0,0.0
AGM4PH,0.0,0.0
AGMHE,4.831450201497713,4.831450201497694
AGMT,0.0,0.0
AGPAT140,0.0,0.0
AGPAT181,0.0,0.0
AGPR,1.9347406165092883e-11,0.0
AHC,4.046959418104113,4.046959418096421
AHEXASE3,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICAMPRT,0.0,0.0
AICART,0.0,0.0
AIRC3,0.0,0.0
AKP1,0.0,0.0
ALAALA,0.0,0.14932941854463302
ALAALAabcpp,0.0,0.1493294185446334
ALAALAtex,0.0,0.14932941854463336
ALAASP1c,0.0,704.0313588852624
ALAASPabcpp,0.0,704.0313588852166
ALAASPtex,0.0,704.0313588852166
ALAD_R,-659.8410566519234,42.15767262165401
ALAGLN1c,1.1057568358851027e-13,735.7183144352309
ALAGLNabcpp,0.0,735.7183144352255
ALAGLNtex,0.0,735.7183144352254
ALAGLU1c,-1.491354098354346e-13,704.0313588852064
ALAGLUE,0.0,0.0
ALAGLUabcpp,0.0,704.0313588852281
ALAGLUtex,0.0,704.031358885228
ALAGLY1c,0.0,319.9427863186753
ALAGLYabcpp,0.0,319.9427863186798
ALAGLYtex,0.0,319.9427863186798
ALAHIS1c,5.96643896073443e-16,704.0313588852235
ALAHISabcpp,0.0,704.031358885221
ALAHIStex,0.0,704.0313588852212
ALALEU1c,1.1718404425460887e-13,424.9360808825446
ALALEUabcpp,0.0,424.9360808825625
ALALEUtex,0.0,424.9360808825626
ALAR,430.76125885093956,1000.0
ALATHR1c,0.0,548.4733479749087
ALATHRabcpp,0.0,548.4733479749483
ALATHRtex,0.0,548.4733479749483
ALA_Dtex,-1000.0,-430.6119294324559
ALCD19,2.4232504235596077,129.57253968171625
ALCD2x,-699.1503443773456,53.20020517092819
ALCD4,0.0,0.0
ALCDPPAL,0.0,0.0
ALDD2y,0.0,292.4433652937422
ALKP,0.0,146.22168264688653
ALR2,0.0,0.0
ALTRH,0.0,0.0
AM3PA,0.0,0.0
AM4PA,0.0,0.0
AMALT1,0.0,400.6931194956777
AMALT2,0.0,400.69311949567157
AMALT3,0.0,400.693119495673
AMALT4,0.0,0.0
AMANAPEr,0.0,97.48112176458707
AMANK,0.0,97.48112176459055
AMETt2pp,4.394055284900014,4.394055284892881
AMETtex,4.3940552849000145,4.394055284892951
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQT8,0.34709586679616283,0.3470958667961611
AMPMS2,0.0,0.0
AMPMS3,0.0,0.0
AMPTASECG,0.0,3.441609908999691
AMPTASEGC,0.0,3.4416099089996846
ANPRT,0.0,25.082829825635184
ANS,0.0,25.08282982563499
ANS2,0.0,25.082829825625844
APRAUR,1.79773369251448,1.7977336925139127
ARBTptspp,0.0,0.0
ARBTtex,0.0,0.0
ARGDC,0.0,0.0
ARGSL,9.329470715380582,9.329470715380543
