,minimum,maximum
12PPD_Stex,-93.11165903641822,908.034335102263
12PPDtpp,-93.11165903642812,908.034335102262
1P4H2CBXLAH,0.0,0.0
22IDPOR,0.0,0.0
23DAPAL,0.0,0.0
23DHMPO,-1.2269337416100017,0.0
26DAP_Mtex,11.137460128406422,11.137460128438475
2AHBUTI,0.0,1.226933741604967
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.0559843697745883,3.055984369775566
2S6HCC,0.0,1.2136113488876528e-12
34DHOXPEGOX,0.0,0.0
3HACOAOR,0.0,0.0
3HAD100,0.0,4.336367033980227e-12
3HAD10M12,3.05598436977455,3.0559843697761107
3HAD11M12,3.05598436977455,3.055984369775124
3HAD120,0.0,2.780554200550091e-13
3HAD12M14,3.05598436977455,3.0559843697761107
3HAD13M14,3.05598436977455,3.055984369775124
3HAD140,0.0,1.1122216802200602e-12
3HAD14M16,3.0559843697745506,3.0559843697745577
3HAD15M16,3.0559843697745506,3.055984369774551
3HAD40,0.0,0.0
3HAD4M6,3.05598436977455,3.0559843697761107
3HAD5M6,3.05598436977455,3.055984369775124
3HAD60,0.0,2.7805542005500915e-13
3HAD6M8,3.05598436977455,3.0559843697761107
3HAD7M8,3.05598436977455,3.055984369775124
3HAD80,0.0,2.7805542005500915e-13
3HAD8M10,3.05598436977455,3.0559843697761107
3HAD9M10,3.05598436977455,3.055984369775124
3MOBS,-2.0577227803141827e-11,0.0
3OAR100,0.0,2.780554200550091e-13
3OAR10M11,0.0,0.0
3OAR10M12,3.0559843697745497,3.05598436977611
3OAR11M12,3.0559843697745497,3.0559843697751234
3OAR120,0.0,2.780554200550091e-13
3OAR12M13,0.0,0.0
3OAR12M14,3.05598436977455,3.0559843697761107
3OAR13M14,3.05598436977455,3.0559843697751234
3OAR140,7.182338171092512,7.182338171093623
3OAR14M15,0.0,0.0
3OAR14M16,3.0559843697745506,3.0559843697745577
3OAR15M16,3.0559843697745506,3.055984369774551
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.055984369774588,3.0559843697761484
3OAR5M6,3.05598436977455,3.055984369777506
3OAR60,0.0,2.780554200550091e-13
3OAR6M7,0.0,0.0
3OAR6M8,3.05598436977455,3.0559843697761107
3OAR7M8,3.05598436977455,3.0559843697751234
3OAR80,0.0,2.7805542005500905e-13
3OAR8M10,3.05598436977455,3.0559843697761107
3OAR8M9,0.0,0.0
