,minimum,maximum
12DGR180ti,3.179629653429181,3.1796296534292705
12PPDSDH,0.0,0.0
2DMMQ8abc,0.20273201730183488,0.20273201730184062
2OBUTFDXOR,-987.8268373597806,0.0
36DAHXI,0.0,0.0
3HAD120,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD141,0.0,0.0
3HAD180,0.0,0.0
3HAD181,0.0,0.0
3HAD40,0.0,0.0
3HAD60,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD9M10,0.0,0.0
3OAR100,0.0,0.0
3OAR120,0.0,0.0
3OAR140,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,-2.5045561628384903e-11,0.0
3OAR60,0.0,0.0
3OAR80,0.0,0.0
3OAS100,0.0,0.0
3OAS120,0.0,0.0
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS60,0.0,0.0
3OAS80,0.0,0.0
5APTLPO,0.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
6P3HXI,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACPS2,0.0,4.1791236715652944e-11
AACPS4,0.0,0.0
AACPS7,0.0,3.517909608828227e-11
AACPS8,0.0,0.0
AB6PGH,0.0,141.73702593937102
AB6PGH2,0.0,141.73702593936798
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,-1.1368683772161603e-13
ACACCTr,-1000.0,1000.0
ACACT1r,0.0,1.285555311283984e-13
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-982.5134315994388,-982.5134315991329
ACALDt,-648.4924687022177,-525.6821698359515
ACBIPGT,0.2027320173018349,0.20273201730184023
ACCOAC,0.0,0.0
ACCOACL,-5.742984492010318e-11,0.0
ACCOAL2,0.0,6.858561815056918e-11
ACGAMT,0.26166132034504197,0.2616613203450488
ACGApts,0.0,4.545014776545841e-11
ACGS,0.0,0.0
ACKr,0.0,0.0
ACM6PH,0.0,0.0
ACOATA,0.0,1000.00000000002
ACODAr,0.0,0.0
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACPS1,0.2027320173018349,0.20273201730184048
ADA,0.0,1.1017257951388166
ADCPS1,0.0,0.0
ADCPS2,0.0,0.0
ADCYRS,0.0,0.0
ADD,0.0,1.101725795138573
ADK1,9.870324378671116,10.275788413339868
ADK2,0.2027320173018349,0.20273201731895388
ADMDC,0.0,0.0
ADNCYC,0.0,0.0
ADOCBIK,0.0,0.20273201730184048
ADOCBIK2,0.0,0.20273201730183985
ADOCBLS,0.2027320173018349,0.2027320173018406
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
AGDC,0.0,4.9589601461635964e-11
AGDC2,0.0,4.759206093330656e-11
AGM3PA,0.0,0.0
AGM4PA,0.0,0.0
AGPAT140,0.0,2.41467632472118e-11
AGPAT181,0.0,0.0
AGTi,0.0,0.0
AHC,0.4054640346036696,0.4054640346036805
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,0.0,0.0
AIHDUDPMG,0.0,0.0
AIHDUPDG,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC3,0.0,0.0
ALAALA,0.0,6.046732049193085e-11
ALAALAabc,0.0872204400578516,0.08722044011501634
ALAASP1c,0.0,459.6819153046567
ALAASPabc,0.0,459.6819153046467
ALAGLN1c,4.132527899193711e-14,459.6819153046452
ALAGLNabc,0.0,459.6819153046491
ALAGLU1c,-1.395520891399785e-13,2.830204403515363e-10
ALAGLUE,0.0,0.0
ALAGLUabc,0.0,2.8224796385446566e-10
