,minimum,maximum
12DGR180ti,2.9130812929116945,2.9130812929116923
23DHMPO,-1000.0,1000.0
26DAPLLATi,22.808801202647526,22.808801202676854
2AHBUTI,-1000.0,1000.0
2IMZS,0.0,4.6675920130085915e-12
2MBCOATA,5.826162585823389,5.8261625858248935
3HAD10M12,5.826162585823389,5.826162585823813
3HAD11M12,5.8261625858233925,5.826162585823633
3HAD12M14,5.826162585823389,5.826162585823092
3HAD13M14,5.8261625858233925,5.826162585823633
3HAD14M16,5.826162585823389,5.826162585823389
3HAD15M16,5.8261625858233925,5.8261625858234
3HAD4M6,5.826162585823389,5.826162585823394
3HAD5M6,5.8261625858233925,5.826162585823394
3HAD6M8,5.826162585823389,5.826162585823385
3HAD7M8,5.8261625858233925,5.826162585823406
3HAD8M10,5.826162585823389,5.826162585823388
3HAD9M10,5.8261625858233925,5.826162585823407
3HBCOAE,-1000.0,1000.0
3HPCOAHL,0.0,0.0
3MOBS,-1.461010912227132e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.826162585823389,5.826162585823393
3OAR11M12,5.8261625858233925,5.826162585823407
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.826162585823389,5.826162585823386
3OAR13M14,5.8261625858233925,5.826162585823407
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.826162585823389,5.826162585823386
3OAR15M16,5.8261625858233925,5.826162585823407
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.826162585823389,5.826162585823386
3OAR5M6,5.8261625858233925,5.826162585823407
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.826162585823389,5.826162585823386
3OAR7M8,5.8261625858233925,5.826162585823407
3OAR80,0.0,0.0
3OAR8M10,5.826162585823389,5.826162585823386
3OAR8M9,0.0,0.0
3OAR9M10,5.8261625858233925,5.826162585823407
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.826162585823389,5.826162585823383
3OAS11M12,5.826162585823392,5.826162585823403
3OAS120,0.0,0.0
3OAS12M13,-1.1618418979022642e-12,0.0
3OAS12M14,5.826162585823389,5.826162585823385
3OAS13M14,5.826162585823319,5.826162585823393
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.8261625858234,5.826162585823398
3OAS4M3O6,5.826162585823389,5.826162585823383
3OAS4M5,0.0,0.0
3OAS4M6,5.826162585823389,5.826162585823385
3OAS5M6,5.8261625858234,5.826162585823393
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.826162585823389,5.826162585823387
3OAS7M8,5.8261625858234,5.826162585823392
3OAS80,0.0,0.0
3OAS8M10,5.826162585823389,5.82616258582339
3OAS8M9,0.0,0.0
3OAS9M10,5.826162585823399,5.826162585823394
4ABZt2,1.6690474210058734,1.6690474210055568
4HBNOX,0.0,0.0
4HTHDR,22.808801202676836,22.808801202676854
4HTHDS,22.808801202676833,22.80880120267679
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,0.0
6P3HXI,0.0,0.0
6PGALSZ2i,0.0,8.794790709100818e-12
6PHBG,0.0,1.1514568831044593e-10
6PHBG2,0.0,1.037247338601393e-10
AB6P3HXLL,0.0,0.0
AB6PGH,0.0,1.0382937879805648e-10
AB6PGH2,0.0,2.8084314222059378e-12
ABTA,914.4881218382602,914.488121838362
ABTOXy,0.0,0.0
ABUTt2r,914.4881218382329,914.4881218383391
ACACT1r,-9.850202710185084e-12,5.7882763793303e-11
ACACT2r,0.0,0.0
ACALD,592.7204842612388,1000.0
ACALDt,999.9999999999806,1000.0
ACBIPGT,0.5563491403352908,0.5563491403352913
ACCOAC,0.0,69.91395102988074
ACCOACL,0.0,69.91395102988092
ACEDIPIT,-1.9524222142231113e-11,0.0
ACETONEt2,-1.9313800028076263e-11,0.0
ACGAMT,0.3796700816250875,0.37967008162508686
ACGApts,0.0,1.6965912365513076e-11
ACGK,13.551887822064472,13.551887822064474
ACGS,13.551887822064472,13.551887822064497
ACHBPL,0.0,1.0223944199329708e-11
ACKr,-986.4481121779484,-986.4481121779061
ACLDC,0.0,1.1050238411539699e-12
ACLS_a,0.0,3.048837771452405e-11
ACLS_b,-1.590836124472115e-11,0.0
ACNAMS,0.0,0.0
ACOAAGPAT140,0.0,5.058957775174406e-12
ACOAAGPAT160,0.0,1.8762457107082547e-12
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.9130812929116945,2.9130812929117
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
