,minimum,maximum
12DGR180ti,2.104110783401444,2.104110783401446
13PPDHr,0.0,0.0
13PPDt,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-5.750304263773533e-12,0.0
26DAPLLAT,-999.9999999999999,0.0
26DAPt2r,16.474735766481743,16.474735766485523
2AHBUTI,0.0,2.7490283271575115e-12
2DDPENTHL,0.0,-5.7097711065037435e-27
2DHPL,0.0,0.0
2HBO,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,4.208221566802892,4.2082215668029
34DHOXPEGOX,0.0,0.0
3HAD10M12,4.208221566802889,4.208221566802892
3HAD11M12,4.208221566802889,4.208221566802886
3HAD12M14,4.208221566802889,4.208221566802894
3HAD13M14,4.208221566802888,4.208221566802892
3HAD14M16,4.208221566802889,4.208221566802894
3HAD15M16,4.208221566802889,4.2082215668028935
3HAD4M6,4.208221566802892,4.208221566802894
3HAD5M6,4.208221566802889,4.2082215668028935
3HAD6M8,4.208221566802892,4.208221566802894
3HAD7M8,4.208221566802889,4.2082215668028935
3HAD8M10,4.208221566802891,4.208221566802894
3HAD9M10,4.208221566802889,4.2082215668028935
3MOBS,-1.3843325079454899e-12,0.0
3MOPt2r,-573.3362608176324,684.4822898973198
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.20822156680289,4.208221566802896
3OAR11M12,4.20822156680289,4.2082215668028855
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.20822156680289,4.208221566802899
3OAR13M14,4.208221566802889,4.2082215668028855
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.208221566802889,4.208221566802898
3OAR15M16,4.208221566802889,4.20822156680289
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.208221566802892,4.208221566802892
3OAR5M6,4.20822156680289,4.2082215668028855
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.208221566802891,4.2082215668029
3OAR7M8,4.20822156680289,4.2082215668028855
3OAR80,0.0,0.0
3OAR8M10,4.208221566802891,4.208221566802899
3OAR8M9,0.0,0.0
3OAR9M10,4.20822156680289,4.2082215668028855
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.20822156680289,4.208221566802894
3OAS11M12,4.208221566802888,4.20822156680289
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.208221566802889,4.208221566802894
3OAS13M14,4.208221566802889,4.2082215668028935
3OAS140,0.0,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.208221566802887,4.208221566802893
3OAS4M3O6,4.208221566802893,4.208221566802887
3OAS4M5,0.0,0.0
3OAS4M6,4.208221566802892,4.208221566802899
3OAS5M6,4.20822156680289,4.208221566802895
3OAS60,0.0,0.0
