,minimum,maximum
23DHMPO,4.349105288860373e-11,0.0
2AHBUTI,3.4775456798138015e-15,-3.648098186379648e-11
2MBCOATA,4.952658680425725,4.952658680426931
3DGUR,0.0,1000.0
3HAD10M12,4.9526586804257295,4.9526586804273265
3HAD11M12,4.952658680425767,4.952658680425503
3HAD12M14,4.95265868042573,4.952658680424885
3HAD13M14,4.952658680425769,4.952658680425021
3HAD14M16,4.952658680425731,4.952658680425733
3HAD15M16,4.952658680425769,4.952658680425752
3HAD4M6,4.952658680425727,4.952658680425679
3HAD5M6,4.952658680425764,4.952658680425728
3HAD6M8,4.952658680425728,4.952658680425655
3HAD7M8,4.952658680425765,4.9526586804256745
3HAD8M10,4.952658680425729,4.952658680425657
3HAD9M10,4.952658680425766,4.952658680425675
3HBCOAE,-433.48206535785255,1000.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.952658680425729,4.952658680425733
3OAR11M12,4.952658680425769,4.952658680425685
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.95265868042573,4.9526586804257136
3OAR13M14,4.9526586804257695,4.952658680425686
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.952658680425731,4.9526586804257136
3OAR15M16,4.9526586804257695,4.952658680425686
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.952658680425726,4.95265868042571
3OAR5M6,4.952658680425766,4.9526586804256825
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.952658680425727,4.952658680425711
3OAR7M8,4.952658680425767,4.952658680425683
3OAR80,0.0,0.0
3OAR8M10,4.952658680425728,4.952658680425712
3OAR8M9,0.0,0.0
3OAR9M10,4.952658680425768,4.952658680425684
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.9526586804257295,4.95265868042572
3OAS11M12,4.95265868042577,4.952658680425748
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.952658680425731,4.952658680425737
3OAS13M14,4.95265868042577,4.952658680425684
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.952658680425766,4.952658680425679
3OAS4M3O6,4.952658680425726,4.952658680425732
3OAS4M5,0.0,0.0
3OAS4M6,4.952658680425727,4.952658680425665
3OAS5M6,4.952658680425768,4.952658680425681
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.952658680425728,4.952658680425684
3OAS7M8,4.952658680425769,4.952658680425617
3OAS80,0.0,0.0
3OAS8M10,4.952658680425729,4.952658680425625
3OAS8M9,0.0,0.0
3OAS9M10,4.9526586804257695,4.952658680425731
4HBNOX,0.0,0.0
4HPRO_LTt,10.718240840236035,10.718240840257454
4HTHRS,0.0,0.0
5AIZCDC,0.0,2.753956474031714e-12
5DGCLURI,0.0,2.294933772532593e-12
5DOAN,0.0,-8.172205269928582e-13
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
6P3HXI,0.0,0.0
6PHBG,0.0,177.85176452959024
6PHBG2,0.0,177.85176452954806
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,177.85176452954764
AB6PGH2,0.0,177.85176452954877
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACACCTr,0.0,0.0
ACACT1r,566.5179346421501,914.9901008165074
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,651.5278338256009,1000.0
ACALDt,999.9999999999694,1000.0
ACBIPGT,0.18003272450153004,0.1800327245015269
ACCOACL,99.05317360851481,99.05317360851627
ACGAMT,0.31500639475190906,0.31500639475190934
ACGApts,0.0,-1.5107418371830526e-10
ACGK,14.343314430656317,14.34331443065634
ACGS,0.0,0.0
ACHBPL,0.0,-1.2732577983834779e-11
ACKr,-1000.0,-566.5179346421415
ACLS_a,0.0,142.28141162365108
ACLS_b,-142.2814116236766,9.884963742790486e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.4763293402128723
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.4763293402128657,2.4763293402128568
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.4763293402128657,2.4763293402128546
ACOAD1i,534.9534615068026,914.9901008164181
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,4.95265868042573,4.952658680426682
ACONTa,-638.5763126894191,-529.294446432742
ACONTb,-638.5763126894574,-529.2944464327737
ACOTA,-14.343314430656399,-14.343314430656319
ACPS1,0.1800327245015293,0.18003272450153024
ACS,0.0,1.566536280033622e-11
ACtr,-1000.0,-651.5278338255748
ADCS,0.0,1.9078221605832616e-12
ADD,0.0,5.360264673996873e-12
ADK1,58.059376302253085,58.41944175127658
ADK2,0.18003272450152938,0.1800327245126619
ADNCYC,0.0,0.0
ADNUC,0.0,8.714612822098342e-12
ADOCBIK,0.1800327245015294,0.18003272450153
ADOCBLS,0.18003272450152943,0.18003272450152555
ADOCBLabc,-2.878612988311726e-17,0.0
ADPRDP,0.0,0.0
ADPT,0.36006544899926,0.36006544895749226
ADSL1r,8.547615380366254,8.54761538037865
ADSL2r,0.0,1.083602987584651e-11
ADSS,8.547615380367196,8.547615380372699
AEPPT,0.0,0.0
AGDC,0.0,1.2964745217153316e-10
AGPAT120,0.0,3.115270594839487e-12
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.4763293402128896
AGPAT181,0.0,0.0
AGPR,-14.343314430656378,-14.343314430656271
AHC,0.36006544903466986,0.3600654490032883
AHCYSNS_r,-1.431861773076989e-13,-8.349048239049056e-12
AHMMPS,0.0,2.4277387936371155e-12
AHSERL2,0.0,1.2429725902932503e-11
AHSERL3,-7.992822365882629e-12,0.0
AICART,-4.264081604483149e-12,1.246089531379712e-12
AIHPDCOATA,4.95265868042573,4.952658680425764
AIPDCOATA,0.0,0.0
AIRC4,-6.3782240797331596e-12,-1.373625205594549e-11
ALAALA,1.4541574269361377,1.454157426936596
ALAASP1c,0.0,7.78805957112322e-12
ALAASPabc,0.0,1.947681070934862e-11
ALACI,-1000.0,1000.0
ALAD_R,-540.7375532688997,1000.0
ALAGLN1c,0.0,-4.6142649241718136e-11
ALAGLNabc,0.0,-7.9907838364505e-12
ALAGLU1c,480.77999378949346,666.9370487704949
ALAGLUabc,480.779993789612,666.937048770491
ALAGLY1c,0.0,-1.1329603016819386e-11
ALAGLYabc,0.0,-1.3155666695239862e-13
ALAHIS1c,4.608465646662298,4.60846564666211
ALAHISabc,4.608465646661832,4.608465646662081
ALALEU1c,0.0,-2.663946208322017e-11
ALALEUabc,0.0,-1.564370430298343e-13
ALAPGPL,0.10500213158396969,0.10500213158396969
ALAR,-540.7375532689824,1000.0
ALATA_D,-548.3709640440026,992.3665892248491
ALATHR1c,12.271760749425306,12.271760749462013
ALATHRabc,12.271760749452472,12.271760749424343
ALAt4r,-176.80664156891928,-0.3600654490027578
ALCD19,-1.8572470051596504,177.85176452957447
ALCD2x,-346.60916323840945,1.8630029360055247
ALCD4,0.0,0.0
ALDD2x,0.0,1.0067010803095418e-11
AMALT1,0.0,0.0
AMALT2,0.0,4.3900837516906007e-13
AMALT3,0.0,3.987486695050364e-12
AMALT4,0.0,3.987486695050364e-12
AMANAPEr,0.0,0.0
AMANK,0.0,0.0
AMMQLT8,0.0,0.18003272450153007
AMMQT7rev,0.36006544900305876,0.3600654490030558
AMMQT8,0.0,0.1800327245015279
AMPMS2,0.0,0.0
AMPTASECG,0.0,4.787306486502757
AMPTASEGC,0.0,4.787306486502768
ANPRT,2.744358037113263,2.7443580371132925
ANS,0.0,2.7443580371131913
ANS2,0.0,2.7443580371131913
APAT,0.0,0.0
APRAUR,0.0,0.0
ARBTpts,0.0,177.8517645292777
ARBabc,0.0,9.80054324191839e-12
ARGSL,14.34331443065632,14.343314430656367
ARGSS,14.34331443065632,14.343314430656196
ASAD,-1.2052668646966871e-11,0.0
ASCBPL,0.0,0.0
ASNS1,0.0,-1.695292686611746e-11
ASNS2,0.0,7.827466900369121e-12
ASPCT,0.0,3.0441340098682766e-12
ASPKi,0.0,9.657396579935716e-11
ASPO1,0.0,88.92588226478347
ASPO5,0.0,3.315692420400693e-12
ASPO6,0.0,6.204199671634223e-12
ASPT,0.0,965.4326703628524
ASPTA,-1000.0,-34.56732963714876
ATPPRT,0.0,2.5124163864340896e-12
ATPS4,945.8797734314375,945.8797734314659
BAMPPALDOX,0.0,0.0
BGLA,0.0,0.0
BGLA1,0.0,88.92588226474736
BPNT,0.1800327245015294,0.1800327245015293
BTCOADH,-7.835267201155937e-11,380.0366393096551
BTNCLi,99.05317360851481,99.05317360852649
BTNabc,0.0,0.0
BUTCTr,-433.4820653578386,348.47216617436436
BUTKr,-1000.0000000000001,-566.5179346421799
BUTt2r,-914.9901008165435,-566.5179346421431
C180SN,4.952658680425731,4.952658680427585
CAt4i,0.1800327245015294,0.18003272450153068
CBIAT,0.18003272450152938,0.1800327245015271
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBPS,14.343314430656319,14.343314430629826
CD2abc1,0.0,1.0032969168779308e-11
CDPGLYCGPT,0.31500639475190906,0.3150063947519115
CDPMEK,17.796058941314097,17.796058941302324
CELBpts,0.0,88.9258822647438
CGLYabc,0.18003272450153,4.967339211004589
CHOLSH,0.0,0.0
CHORS,2.9243907616149447,2.9243907616147817
CHRPL,0.1800327245016904,0.180032724501531
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6190823350532165,0.619082335053222
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6190823350532165,0.619082335053222
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6190823350532165,0.619082335053222
CMLDC,0.0,0.0
CO2t,-1000.0,-999.9999999999653
COBALTt5,-0.1800327245015307,-0.18003272450152938
CPPPGO,0.0,0.0
CPPPGO2,0.0,2.741004231539022e-13
CRO4t3,0.0,0.0
CTPS1,0.0,4.889866708051107
CTPS2,0.0,4.889866708056508
CYRDAAT,0.0,1.8897199705200626e-12
CYSDS,0.0,7.73853234564595e-12
CYSS,0.0,7.08695462967943e-13
CYSS3r,0.0,0.0
CYSTL,0.0,0.0
CYTBD,999.9999999999799,1000.0
CYTD,0.0,5.596607105884141e-13
CYTDK1,0.0,4.675992930607119e-12
CYTDK2,0.0,-3.546905794840819e-12
CYTDK3,0.0,3.98748669505037e-12
CYTDK4,0.0,-5.860105226258755e-12
CYTK1,39.40033472577911,39.76040017478993
CYTK2,0.8026907135229172,0.8026907135372565
Cuabc,0.18003272450152938,0.18003272448836766
Cut1,0.0,4.449299379254137e-12
D5KGK,0.0,0.0
DAGK120,-2.706256299440993e-12,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DAPDA,0.0,0.0
DAPDC,16.595685736062187,16.595685736062233
DAPE,0.0,0.0
DAPabc,18.04984316299833,18.04984316299791
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.476329340212875,2.47632934021282
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.4763293402128657,2.4763293402128648
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.4763293402128657,2.47632934021279
DB4PS,0.0,0.0
DCMPDA,-0.802690713556842,-0.802690713628281
DCYTD,0.0,4.048176309367099e-12
DDPA,2.9243907616149456,2.9243907616163
DDPGA,0.0,0.0
DGK1,5.890401970321661e-12,0.0
DHAD1,0.0,142.28141162363522
DHAD2,5.101205974525712e-13,1.584513965618047e-11
DHAK,0.0,179.7090115347303
DHAPT,0.0,179.70901153471294
DHFOR2,-0.5400981735045888,-0.5400981735045881
DHFR,1.6004103959280955,1.6004103959304634
DHFS,0.0,0.0
DHNAOT4,0.36006544900305876,0.3600654490029641
DHNAOT7,0.36006544900305876,0.36006544900293963
DHORD2,0.0,-4.63523063681185e-12
DHORD5,0.0,4.3221914763345584e-12
DHORTS,-4.345304222721936e-12,0.0
DHPPDA,0.0,0.0
DHQS,2.9243907616148723,2.9243907616148785
DHQTi,2.9243907616148723,2.9243907616149594
DKDID,0.0,0.0
DKDID2,0.0,0.0
DMATT,1.6341901514377548,1.6341901514377657
DMPPS,0.0,1000.0
DMPPS2r,-998.3658098485622,1.6341901514381485
DMQMT,0.1800327245016904,0.1800327245016544
DM_2HYMEPH,0.0,177.85176452928368
DM_4HBA,0.0,3.978106762530413e-12
DM_5DRIB,0.0,6.022311927258103e-12
DM_HQN,0.0,177.8517645295815
DM_atp_c_,0.0,1.112138499342763e-11
DM_dhptd(c),0.0,1.3308425884870968e-11
DOGULNR,0.0,1000.0
DPCOAK,0.3600654490029698,0.36006544900425885
DPRr,0.0,0.0
DRBK,0.0,4.194314571081894e-12
DRIBabc,0.0,-1.438015437101251e-12
DRPAr,-1.8630029360098186,-1.863002935962202
DTMPK,1.0603122224235078,1.0603122224233164
