,minimum,maximum
23DHMPO,-2.296714207107782,-2.2967142070567825
26DAPLLAT,-1000.0,0.0
2AHBUTI,2.296714207019797,2.296714207110236
2MBCOATA,2.376042057539896,2.376042057539912
3HAD10M12,2.3760420575398964,2.3760420575398977
3HAD11M12,2.376042057539896,2.3760420575398986
3HAD12M14,2.3760420575398964,2.3760420575399106
3HAD13M14,2.376042057539896,2.376042057539893
3HAD14M16,2.376042057539896,2.3760420575398915
3HAD15M16,2.376042057539896,2.3760420575398915
3HAD4M6,2.3760420575398964,2.3760420575398906
3HAD5M6,2.376042057539896,2.3760420575398915
3HAD6M8,2.3760420575398964,2.3760420575398906
3HAD7M8,2.376042057539896,2.3760420575398915
3HAD8M10,2.3760420575398964,2.3760420575398906
3HAD9M10,2.376042057539896,2.3760420575398915
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.376042057539896,2.37604205753989
3OAR11M12,2.3760420575398955,2.376042057539891
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.376042057539896,2.37604205753989
3OAR13M14,2.3760420575398955,2.376042057539891
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,2.376042057539896,2.37604205753989
3OAR15M16,2.3760420575398955,2.376042057539891
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.376042057539896,2.37604205753989
3OAR5M6,2.3760420575398955,2.376042057539891
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.376042057539896,2.37604205753989
3OAR7M8,2.3760420575398955,2.376042057539891
3OAR80,0.0,0.0
3OAR8M10,2.376042057539896,2.37604205753989
3OAR8M9,0.0,0.0
3OAR9M10,2.3760420575398955,2.376042057539891
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.376042057539896,2.3760420575398906
3OAS11M12,2.376042057539896,2.376042057539891
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.376042057539896,2.3760420575398884
3OAS13M14,2.376042057539896,2.376042057539889
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,2.376042057539896,2.376042057539889
3OAS4M3O6,2.376042057539896,2.3760420575398884
3OAS4M5,0.0,0.0
3OAS4M6,2.376042057539896,2.3760420575398817
3OAS5M6,2.376042057539896,2.3760420575398826
