,minimum,maximum
12aHSDHe,-1000.0,1000.0
23DHMPO,-999.9999999999957,999.9999999999999
26DAPLLAT,-1000.0,-2.418679639979016
2AHBUTI,-1000.0000000000001,1000.0
2IMZS,0.0,-4.3711529056094623e-13
2INSD,0.0,0.0
2MBCOATA,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,-4.1024302556707503e-13
3HAD14M15,0.0,-3.2433707014092423e-13
3HAD14M16,0.0,-1.7239063242114923e-13
3HAD15M16,0.0,-2.0413025208491941e-13
3HAD160,0.0,-2.2837852179817907e-13
3HAD180,0.0,0.0
3HAD40,0.0,-3.0228998833376177e-13
3HAD4M5,0.0,2.8029316466457386e-13
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3HBCOAE,-966.8483019710415,1000.0
3MOBS,2.7022833940236322e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4HTHDR,-997.5813203600209,2.418679639979055
4HTHDS,-997.5813203600208,2.418679639978975
4HTHRS,0.0,0.0
56DFURADH,-1000.0,1000.0
5AIZCDC,0.0,-4.046911577799729e-12
5DGCLURI,0.0,0.0
5FURAt,-1000.0,1000.0
5MTHCYST,3.393395969085634e-13,0.0
6P3HXI,0.0,0.0
6PGALSZ2i,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,-6.451300955383766e-12
AB6PGH2,0.0,-1.3802859131424058e-11
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000002
ABUTR,-1000.0,-1.1368683772161603e-13
ACACCTr,-966.8483019710071,1000.0000000000002
ACACT1r,33.15169802898844,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,1.3634826609795489e-11,1000.0
ACALDt,1000.0000000000026,1000.0
ACCOACL,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMT,0.14170602415119937,0.14170602415119937
ACGApts,0.0,2.0333581963270207e-11
ACGK,7.539607896283912,7.539607896284044
ACGS,7.539607896283913,7.539607896284005
ACHBPL,8.657032768123935e-13,1.8736425414037087e-13
ACKr,-999.9999999999999,-1000.0000000000077
ACLS_a,0.0,-2.8099174993853483e-13
ACLS_b,7.691331746762849e-12,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,7.155807485359395e-14,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,7.774072468512565e-14,0.0
ACOAAGPATI15,5.756020345790356e-14,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOAD1i,0.0,966.8483019710114
ACOAD20,-1.2313616601510655e-15,0.0
ACOADH2,0.0,9.153232738895676e-30
ACOATA,0.0,2.0506562808064304e-14
ACOCT,0.0,0.0
ACODAr,7.539607896283912,7.539607896283986
ACOTA,-7.5396078962839015,-7.539607896283826
ACPS1,0.2042523117398257,0.20425231173982586
ACYP,0.0,-6.161691504021331e-13
ACYP_2,0.0,7.680019081918836e-14
ACtr,-975.7557836287295,-8.90748165773139
ADD,0.0,-3.312793557598501e-13
ADK1,-888.8869411890493,1000.0
ADK10,-0.5114912681247081,-0.30723895638688414
ADK11,0.3072389564024343,0.30723895638624454
ADK2,0.0,-1.6458283112791484e-12
ADK3,-11.553591881605538,-11.55359188161257
ADK5,-33.390751750050065,-32.98224712657315
ADK7,-894.6631224950133,994.2238186940349
ADK8,0.0,2.366032808943458e-12
ADK9,0.0,0.0
ADOCBLabc,0.0,1.4516623036914776e-13
ADPRDP,0.0,0.0
ADSL1r,5.777410575650327,5.77741057564653
ADSL2r,0.0,-1.105922747796309e-12
ADSS,5.777410575651336,5.777410575646416
AGDC,0.0,0.0
AGPAT120,0.0,-2.1195703616848347e-12
AGPAT140,0.0,-2.412523310148654e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-3.5768392546191368e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,-7.539607896283743,-7.539607896283913
AGTi,0.0,0.0
AHCYSNS_r,0.0,-5.669930302357669e-13
AHEXASE3,0.0,0.0
AHMMPS,0.0,-1.0336732762968779e-12
AHSERL2,0.0,-1.3603423532201673e-12
AHSERL3,4.107794336014246e-13,0.0
AICART,0.0,-4.986370514106323e-15
AIHPDCOATA,0.0,0.0
AIPDCOATA,2.7391128680244377e-12,0.0
AIRC4,0.0,1.9836582353230963e-12
AKP1,0.0,-3.869711272215462e-13
ALAALA,2.418679639979016,2.418679639978955
ALAASP1c,35.26625111893156,55.81942965063139
ALAASPabc,35.26625111894184,55.81942965062248
ALACI,-999.9999999999291,999.9999999999999
ALAGLN1c,0.0,-5.939096425304141e-12
ALAGLNabc,0.0,-3.167893298654054e-13
ALAGLU1c,0.0,-3.857893199386789e-13
ALAGLUabc,0.0,3.643077293452162e-12
ALAGLY1c,0.0,2.428718195634773e-12
ALAGLYabc,0.0,4.505611194725716e-12
ALAHIS1c,2.4225243770733336,2.422524377068395
ALAHISabc,2.4225243770736813,2.4225243770684073
ALALEU1c,0.0,2.17713099808755e-11
ALALEUabc,0.0,-2.534314638923244e-12
ALAPGPL,0.04723534138373312,0.04723534138373308
ALAR,6.962949642226021,6.962949642226415
ALATA_L,21.67929025585787,42.232468787552286
ALATHR1c,6.451050361201348,6.451050361182755
ALATHRabc,6.4510503612010845,6.451050361180274
ALCD19,8.109255349090867e-11,-1.526898227328569e-12
ALCD2x,-1000.0,-3.668417635492595e-11
ALCD4,0.0,0.0
ALDD2x,0.0,-1.5420339618221088e-12
ALPHNH,0.0,0.0
AMAA,0.0,0.0
AMALT1,0.0,0.0
AMALT2,0.0,0.0
AMALT3,0.0,0.0
AMALT4,0.0,0.0
AMANAPEr,0.0,0.0
AMPMS2,0.0,0.0
AMPMS3,0.0,0.0
AMPSO3OX,-9.037147539231281e-13,0.0
AMPTASECG,0.0,4.92935320321704e-12
