,minimum,maximum
2MBCOATA,5.257382467413201,5.257382467413219
2S6HCC,0.0,3.506986357000451e-14
3HAD100,5.257382467413202,5.257382467414604
3HAD10M12,5.2573824674131995,5.25738246741443
3HAD11M12,5.2573824674131995,5.257382467414936
3HAD120,5.257382467413202,5.257382467410687
3HAD12M14,5.2573824674131995,5.257382467415226
3HAD13M14,5.2573824674131995,5.257382467414788
3HAD140,5.2573824674132,5.257382467411086
3HAD14M16,5.257382467413199,5.257382467413209
3HAD15M16,5.257382467413199,5.257382467413195
3HAD160,5.2573824674131995,5.257382467413195
3HAD180,5.257382467413199,5.257382467413217
3HAD40,5.257382467413202,5.257382467413206
3HAD4M6,5.2573824674131995,5.257382467413208
3HAD5M6,5.2573824674131995,5.257382467413216
3HAD60,5.257382467413202,5.2573824674131915
3HAD6M8,5.2573824674131995,5.257382467413204
3HAD7M8,5.2573824674131995,5.257382467413204
3HAD80,5.257382467413202,5.257382467413185
3HAD8M10,5.2573824674131995,5.2573824674131835
3HAD9M10,5.2573824674131995,5.2573824674131835
3MOBS,0.0,0.0
3OAR100,5.257382467413201,5.257382467413184
3OAR10M11,0.0,0.0
3OAR10M12,5.2573824674131995,5.2573824674131835
3OAR11M12,5.2573824674131995,5.2573824674131835
3OAR120,5.257382467413201,5.257382467413184
3OAR12M13,0.0,0.0
3OAR12M14,5.2573824674131995,5.2573824674131835
3OAR13M14,5.2573824674131995,5.2573824674131835
3OAR140,5.2573824674132,5.2573824674131835
3OAR14M15,0.0,0.0
3OAR14M16,5.257382467413198,5.257382467413183
3OAR15M16,5.257382467413198,5.257382467413183
3OAR160,5.2573824674131995,5.2573824674131835
3OAR180,5.257382467413198,5.257382467413183
3OAR40,5.257382467413201,5.257382467413184
3OAR4M5,0.0,0.0
3OAR4M6,5.2573824674131995,5.2573824674131835
3OAR5M6,5.257382467413196,5.257382467413172
3OAR60,5.257382467413201,5.25738246741318
3OAR6M7,0.0,0.0
3OAR6M8,5.2573824674131995,5.257382467413198
3OAR7M8,5.2573824674131995,5.257382467413198
3OAR80,5.257382467413201,5.2573824674131995
3OAR8M10,5.2573824674131995,5.257382467413198
3OAR8M9,0.0,0.0
3OAR9M10,5.2573824674131995,5.257382467413198
3OAS100,5.257382467413203,5.2573824674132
3OAS10M11,0.0,0.0
3OAS10M12,5.2573824674132,5.2573824674131995
3OAS11M12,5.2573824674132,5.2573824674131995
3OAS120,5.257382467413203,5.2573824674132
3OAS12M13,0.0,0.0
3OAS12M14,5.2573824674131995,5.257382467413199
3OAS13M14,5.2573824674131995,5.257382467413199
3OAS140,5.257382467413201,5.2573824674131995
3OAS160,5.2573824674132,5.2573824674131995
3OAS180,5.2573824674131995,5.257382467413199
3OAS2M3,0.0,0.0
3OAS3M4,5.257382467413196,5.257382467413191
3OAS4M3O6,5.2573824674132,5.257382467413186
3OAS4M5,0.0,0.0
3OAS4M6,5.2573824674132,5.257382467413192
3OAS5M6,5.2573824674132,5.257382467413192
3OAS60,5.257382467413203,5.257382467413194
3OAS6M7,0.0,0.0
3OAS6M8,5.2573824674132,5.257382467413206
3OAS7M8,5.2573824674132,5.257382467413205
3OAS80,5.257382467413203,5.2573824674132075
3OAS8M10,5.2573824674132,5.257382467413206
3OAS8M9,0.0,0.0
3OAS9M10,5.2573824674132,5.257382467413205
4ABZt2,0.0,0.0
