,minimum,maximum
23DHMPO,0.0,0.0
2AHBUTI,0.0,0.0
2MBCOATA,6.538532454506926,6.538532454506965
2MEBCOADH,-6.53853245450692,-6.5385324545069246
3CARLPDH,0.0,0.0
3HAD10M12,6.538532454506926,6.538532454506923
3HAD11M12,6.538532454506928,6.538532454506977
3HAD12M14,6.538532454506928,6.538532454506977
3HAD13M14,6.538532454506928,6.538532454506977
3HAD14M16,6.538532454506928,6.538532454506977
3HAD15M16,6.538532454506928,6.538532454506977
3HAD4M6,6.538532454506928,6.538532454506977
3HAD5M6,6.538532454506928,6.538532454506977
3HAD6M8,6.538532454506928,6.538532454506977
3HAD7M8,6.538532454506928,6.538532454506977
3HAD8M10,6.538532454506928,6.538532454506977
3HAD9M10,6.538532454506928,6.538532454506977
3HBCOAHL,0.0,0.0
3HPCOAHL,0.0,0.0
3MEBCOADH,6.538532454506928,6.538532454506977
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.538532454506927,6.538532454506977
3OAR11M12,6.538532454506927,6.538532454506977
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.538532454506927,6.538532454506977
3OAR13M14,6.538532454506927,6.538532454506977
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.538532454506927,6.538532454506977
3OAR15M16,6.538532454506927,6.538532454506977
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.538532454506927,6.538532454506977
3OAR5M6,6.538532454506926,6.538532454506942
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.538532454506927,6.538532454506975
3OAR7M8,6.538532454506927,6.538532454506976
3OAR80,0.0,0.0
3OAR8M10,6.538532454506927,6.538532454506975
3OAR8M9,0.0,0.0
3OAR9M10,6.538532454506927,6.538532454506976
3OAS10M12,6.538532454506927,6.538532454506976
3OAS11M12,6.538532454506927,6.538532454506976
3OAS12M14,6.538532454506927,6.538532454506976
3OAS13M14,6.538532454506927,6.538532454506976
3OAS3M4,6.538532454506926,6.538532454506954
3OAS4M3O6,6.538532454506927,6.538532454506976
3OAS4M6,6.538532454506927,6.538532454506976
3OAS5M6,6.538532454506927,6.538532454506976
3OAS6M8,6.538532454506927,6.538532454506976
3OAS7M8,6.538532454506927,6.538532454506976
3OAS8M10,6.538532454506927,6.538532454506976
3OAS9M10,6.538532454506927,6.538532454506976
4C2HM6SADH,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,3.9224366381314845e-11
5CM2HMUDI,0.0,0.0
5DOAN,0.0,-1.4629720866354011e-12
5MTHCYST,7.119565814665723e-13,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
ABTAr,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,-1.6775476036521968e-12
ACBIPGT,0.23768038299892816,0.23768038299892771
ACCOACL,78.46238945408311,78.46238945408375
ACGAMT,0.41587350721401345,0.415873507214017
ACGApts,0.0,9.011974295862549
ACGK,19.173818114578324,19.17381811457848
ACGS,0.0,0.0
ACHBPL,0.0,0.0
ACKr,-913.0009970160523,-912.2879558669748
ACLDC,0.0,-1.2774663467072044e-11
ACLS_a,0.0,7.901436439729583e-13
ACLS_b,6.546735781024024e-12,0.0
ACOAAGPAT140,6.789956286208976e-13,0.0
ACOAAGPAT160,0.0,2.2706010949307887e-12
ACOAAGPAT180,0.0,3.2692662272534574
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.2692662272534614,3.2692662272534867
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.2692662272534623,3.2692662272534867
ACONTa,0.0,1.5043592804893966e-11
