,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
2AHBUTI,-1000.0,1000.0
2DHPL,0.0,0.0
2HBO,0.0,0.0
2MBCOATA,3.358526355091636,3.358526355091687
2MEBCOADH,3.358526355091638,3.358526355091641
34DHOXPEGOX,0.0,0.0
34DHPHEt2,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,3.3585263550916347,3.358526355091679
3HAD11M12,3.3585263550916347,3.358526355091679
3HAD12M14,3.3585263550916356,3.358526355091678
3HAD13M14,3.3585263550916356,3.358526355091678
3HAD14M16,3.358526355091636,3.358526355091679
3HAD15M16,3.358526355091636,3.358526355091679
3HAD4M6,3.358526355091634,3.3585263550916804
3HAD5M6,3.358526355091638,3.3585263550916795
3HAD6M8,3.358526355091634,3.3585263550916795
3HAD7M8,3.3585263550916373,3.358526355091679
3HAD8M10,3.358526355091634,3.358526355091679
3HAD9M10,3.358526355091634,3.3585263550916795
3HBCOAHL,0.0,0.0
3HPCOAHYD,0.0,0.0
3MEBCOADH,-3.3585263550917044,-3.358526355091647
3MOBS,-4.77281809879858e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.3585263550916347,3.358526355091701
3OAR11M12,3.3585263550916347,3.3585263550916875
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.3585263550916356,3.3585263550916875
3OAR13M14,3.3585263550916356,3.358526355091687
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.3585263550916364,3.3585263550916875
3OAR15M16,3.3585263550916364,3.3585263550916875
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.3585263550916338,3.358526355091689
3OAR5M6,3.358526355091638,3.358526355091694
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.3585263550916338,3.3585263550916884
3OAR7M8,3.3585263550916373,3.3585263550916937
3OAR80,0.0,0.0
3OAR8M10,3.3585263550916338,3.3585263550916884
3OAR8M9,0.0,0.0
3OAR9M10,3.3585263550916338,3.3585263550916884
3OAS10M12,3.3585263550916347,3.3585263550916884
3OAS11M12,3.3585263550916347,3.3585263550916884
3OAS12M14,3.3585263550916356,3.3585263550916875
3OAS13M14,3.3585263550916356,3.3585263550916875
3OAS3M4,3.358526355091638,3.358526355091694
3OAS4M3O6,3.3585263550916338,3.358526355091689
3OAS4M6,3.3585263550916338,3.358526355091689
3OAS5M6,3.358526355091638,3.3585263550916946
3OAS6M8,3.3585263550916338,3.358526355091689
3OAS7M8,3.3585263550916338,3.3585263550916884
3OAS8M10,3.358526355091634,3.3585263550916884
3OAS9M10,3.358526355091634,3.3585263550916884
4ABZt2,0.36625458507399655,0.36625458508198633
4HBZt2,0.12208486169399563,0.12208486169399665
4HTHDR,12.240066978124457,12.240066978124638
4HTHDS,12.240066978124458,12.240066978124638
4HTHRS,0.0,0.0
5AIZCDC,0.0,2.969753483696893e-11
5HLTDL,0.0,914.0784367145237
5HTRPt2,0.0,914.0784367145234
5HXKYNDCL,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,691.2083720290701
