,minimum,maximum
12DGR180tex,2.844867450491243,2.844867450491247
12DGR180tipp,2.8448674504912415,2.8448674504912517
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2DOHMC5DPT,0.0,0.0
2S6HCC,0.4074864587036595,0.4074864587036628
36DAHXI,0.0,0.0
3HAD120,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.709008202540612,0.7090082025406145
3HAD141,0.0,0.0
3HAD180,0.0,0.0
3HAD181,0.0,0.0
3HAD40,0.0,0.0
3HAD60,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD9M10,0.0,0.0
3MOBS,-9.838731181547216,-9.838731181547217
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,6.381187087485103,6.381187087485103
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS120,0.0,0.0
3OAS140,6.381187087485108,6.381187087485145
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS60,0.0,0.0
3OAS80,0.0,0.0
4ABUTtex,-1.077273731701172e-12,0.0
4NTPPH2,0.0,0.0
A5PISO,3.545097645012859,3.5450976450128677
AACOAT,0.0,3.486636060254731e-12
AACPS2,0.0,-1.008000624897526e-12
AACPS4,0.0,0.0
AACPS7,7.79923180872123,7.799231808719584
AACPS8,0.0,0.0
ACACCTr,-997.1639105575293,1000.0
ACBIPGT,0.2037432293518297,0.2037432293518299
ACCOAC,6.381187087485108,6.381187087485149
ACCOACL,0.0,0.0
ACCOAL2,0.0,8.640793714544366e-12
ACGAM2E,0.0,0.0
ACGAMT,0.0,-1.0401571102655873e-13
ACHBPL,0.0,0.0
ACHBS,0.0,0.0
ACKr,-999.9999999999999,-999.9999999999989
ACLS_a,0.0,0.0
ACMAMUT,0.0,-4.5667439221698e-13
ACNAMS,0.0,2.8992154986312304e-13
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOAD1f,0.0,0.0
ACOAD2f,0.0,0.0
ACOAD3f,0.0,0.0
ACOAD4f,0.0,0.0
ACOAD5f,0.0,0.0
ACOAD6f,0.0,0.0
ACOAD7f,0.0,0.0
ACOATA,0.0,1000.0
ACPS1,0.20374322935182979,0.2037432293592074
ACPpds,0.0,3.045391160226359e-12
ACTNDH,0.0,0.0
ACtex,-1000.0,-2.8360894424723853
ACtrpp,-1000.0,-2.8360894424655445
ADCL,0.611229688055489,0.6112296880556849
ADCPS1,0.0,0.0
ADCPS2,0.0,0.0
ADCS,0.6112296880554892,0.6112296880550077
