,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-2.630969617464235e-11,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,1.8416787322249618e-10
25K5O2AI,0.0,0.0
2AHBUTI,-4.159825699243487e-14,3.261173810080827e-11
2DDGLCNtex,0.0,1.0710974844558108e-10
2DH3DGLCA,-1.1261682034191765e-10,0.0
2DMMQ8abcpp,0.0,1.555690947983604e-11
2DMMQ8tex,0.0,1.4418005397518667e-11
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-2.4219998579576076e-10,0.0
2HYOXPLACtex,-2.1712485905702704e-10,0.0
2MBCOATA,3.3898355619109646,3.389835561917438
2MEBCOADH,-490.4472980474652,-490.447298046808
2MECOAOX,-1000.0,487.057462485503
2OMPHH,0.0,1.156080469058403e-12
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,-4.242207744258705e-12,0.0
3HAD10M12,3.389835561910964,3.389835561917204
3HAD11M12,3.3898355619109464,3.3898355619174922
3HAD12M14,3.389835561910965,3.3898355619171574
3HAD13M14,3.389835561910965,3.3898355619175766
3HAD14M16,3.389835561910965,3.3898355619110094
3HAD15M16,3.389835561910965,3.3898355619109886
3HAD4M6,3.389835561910964,3.3898355619109894
3HAD5M6,3.3898355619109464,3.389835561910994
3HAD6M8,3.389835561910964,3.3898355619109948
3HAD7M8,3.3898355619109464,3.389835561910996
3HAD8M10,3.389835561910964,3.3898355619109948
3HAD9M10,3.3898355619109464,3.389835561910997
3HAO,0.0,0.0
3HBBUTH,0.0,0.0
3HBCOAE,-1000.0,1000.0
3HBCOAHL,0.0,7.996671205297068e-11
3HBCOAOX,-1000.0,1000.0
3HPCOAHL,0.0,0.0
3MEBCOADH,-3.389835561983626,-3.3898355619109544
3MOBDC2,0.0,8.12242441936934e-11
3MOBS,-6.549311909477602e-11,0.0
3MOPDC2,493.8371336087323,493.8371336094222
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.389835561910964,3.38983556191101
