,minimum,maximum
23DHMPO,-6.064353998582146e-12,0.0
26DAPLLAT,-1000.0000000000001,0.0
2AHBUTI,0.0,-2.886405078201416e-12
2HMCOXT,0.0,0.0
33HPHACt2r,0.0,999.9999999999975
34DHPHAt2r,-1000.0,0.0
3HBCOAE,5.1129019384873624e-11,1000.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,1000.0
3MASPL,0.0,2.9505096878023595e-12
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4HP34DHPD,0.0,0.0
4HTHRS,0.0,2.8661289972489132e-11
4NTPPH2,0.0,-4.091861554045349e-11
5AIZCDC,0.0,2.3670267393126145e-11
5ASAp,0.0,1000.0000000000003
5C2O3EDDC,0.0,0.0
5DOAN,0.0,1.9362719826202952e-13
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0000000000001,0.0
AC5ASAc,0.0,1000.0
AC5ASAp,0.0,1000.0000000000003
ACACT1r,1000.0000000000127,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-888.8507492368782,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.28334209136619093,0.28334209136619204
ACCOACL,93.53610609761066,93.53610609761027
ACCOAL,0.0,0.0
ACGAMT,0.4957685939034467,0.49576859390344125
ACGK,22.57403324399783,22.57403324398572
ACGS,0.0,1.2547587300519259e-11
ACHBPL,0.0,9.363617507650997e-12
ACISNZDp,-1000.0000000000003,888.8507492369304
ACKr,-1000.0,-999.9999999999908
ACLS_a,0.0,1000.0
ACLS_b,-1000.0,-9.549694368615746e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,8.984846951898676e-13
ACOAAGPAT180,3.8973377540671104,3.897337754067714
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.8973377540671104,3.8973377540671
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,-2.273658814268615e-15,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.8973377540671104,3.8973377540670904
ACOAD1i,5.0724270797423485e-11,1000.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACODAr,8.95293605590717e-15,-1.7937107652878308e-11
ACOTA,-22.574033244003388,-22.57403324399782
ACPS1,0.28334209136619093,0.2833420913661912
ACS,0.0,2.7937756959344034e-12
ACtr,-1000.0,-1000.0000000000158
ADCL,0.8500262740986652,0.8500262740971275
ADCOBASr,-1.575716745839659e-12,-3.385926003697121e-13
ADCPS1,0.0,5.612607793676927e-12
ADCPS2,0.0,1.0358648327190315e-12
ADCS,0.8500262740986677,0.8500262740985648
ADCYRS,0.0,0.0
ADD,0.0,-8.541479834703912e-13
ADK1,114.40743317782345,282.4938138348891
ADK2,0.283342091366191,0.28334209136618804
ADMDC,0.0,0.0
ADNCYC,0.0,0.0
ADNUC,0.0,-5.029982569325666e-12
ADOCBIK,0.0,0.28334209136618616
ADOCBIK2,0.0,0.2833420913661896
ADOCBLS,0.28334209136619093,0.28334209136618954
ADOCBLabc,4.99399115589545e-17,0.0
ADPRDP,0.0,0.0
ADPT,1.1333683654538116,1.1333683654655056
ADSK,0.0,-3.274233936636479e-11
ADSL1r,13.325999932805844,13.325999932791142
ADSL2r,0.0,9.842335589594364e-12
ADSS,13.325999932805795,13.325999932790465
AGMT,0.0,3.690875846097819e-12
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,-22.57403324401863,-22.57403324399782
AGTi,0.0,1000.0
AHC,1.1333683654652853,1.1333683654652875
AHCYSNS_r,0.0,0.0
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
AHSERL2,0.0,-2.4959176309080236e-11
AHSERL3,-2.046014903133488e-11,0.0
AICART,-2.4602388133699748e-11,-2.9539284428351183e-12
AIHDUDPMG,0.0,5.972386201256233e-14
AIHDUPDG,0.0,-3.479186659362937e-14
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,-2.5527130261712277e-11,-3.4594552716603545e-11
AKP1,0.8500262740987172,0.8500262740986054
ALAALA,2.288606183484516,2.2886061834844966
ALAASP1c,0.0,-3.8721375250657984e-11
ALAASPabc,0.0,1.6522854251693206e-11
ALACI,-1000.0000000000002,1000.0000000000001
ALAD_R,-1000.0,1000.0
ALAGLN1c,0.0,66.65790837963587
ALAGLNabc,0.0,66.65790837964438
ALAGLU1c,0.0,66.65790837964445
ALAGLUabc,0.0,66.65790837962047
ALAGLY1c,0.0,-1.0690931432432534e-11
ALAGLYabc,0.0,1.613434934618037e-11
ALAHIS1c,7.252971913462339,7.252971913466764
ALAHISabc,7.25297191346256,7.2529719134667365
ALALEU1c,0.0,-6.548467873272825e-12
ALALEUabc,0.0,1.0649507140875492e-11
ALAPGPL,0.16525619796781557,0.16525619796781596
ALAR,-985.6976525409953,1000.0
ALATA_D,-997.7113938165155,987.9862587244791
ALATHR1c,19.313746237616275,19.313746237578364
ALATHRabc,19.31374623761628,19.313746237590646
