,minimum,maximum
23DHMPO,-1.3288797201228358e-12,0.0
26DAPLLAT,0.0,0.0
26DAP_Mtex,16.094946723299852,16.094946723299852
2AHBUTI,-2.053613193674825e-13,1.783731167950115e-12
2HMCOXT,0.0,0.0
2MBCOATA,3.396776085182996,3.3967760851835527
3HAD100,10.825233573470223,10.82523357347146
3HAD10M12,3.396776085182997,3.3967760851838342
3HAD11M12,3.396776085182997,3.396776085183973
3HAD120,10.82523357347039,10.825233573471715
3HAD12M14,3.3967760851829967,3.396776085184865
3HAD13M14,3.3967760851829967,3.396776085183081
3HAD140,4.634852333230883,4.63485233323201
3HAD14M16,3.396776085182997,3.3967760851830007
3HAD15M16,3.396776085182997,3.3967760851829993
3HAD160,3.3967760851829807,3.396776085183006
3HAD180,3.396776085182997,3.3967760851830042
3HAD40,10.82523357347039,10.825233573473627
3HAD4M6,3.396776085182997,3.396776085184424
3HAD5M6,3.396776085182997,3.39677608518395
3HAD60,10.82523357347039,10.825233573471158
3HAD6M8,3.396776085182997,3.396776085184424
3HAD7M8,3.396776085182997,3.39677608518395
3HAD80,10.82523357347039,10.825233573471158
3HAD8M10,3.396776085182997,3.396776085184424
3HAD9M10,3.396776085182997,3.39677608518395
3MOBS,0.0,0.0
3OAR100,10.82523357347039,10.825233573471156
3OAR10M11,0.0,0.0
3OAR10M12,3.3967760851829962,3.396776085184424
3OAR11M12,3.3967760851829962,3.3967760851839497
3OAR120,10.82523357347039,10.825233573471156
3OAR12M13,0.0,0.0
3OAR12M14,3.3967760851829962,3.396776085184423
3OAR13M14,3.3967760851829962,3.396776085183949
3OAR140,9.587157325422488,9.587157325423144
3OAR14M15,0.0,0.0
3OAR14M16,3.3967760851829962,3.3967760851830016
3OAR15M16,3.3967760851829962,3.396776085183005
3OAR160,3.3967760851829802,3.396776085182172
3OAR180,3.3967760851829962,3.396776085183004
3OAR40,10.82523357347039,10.825233573473625
3OAR4M5,0.0,0.0
3OAR4M6,3.3967760851829962,3.396776085184424
3OAR5M6,3.3967760851829962,3.3967760851839497
3OAR60,10.82523357347039,10.825233573471156
3OAR6M7,0.0,0.0
3OAR6M8,3.3967760851829962,3.396776085184424
3OAR7M8,3.3967760851829962,3.3967760851839497
3OAR80,10.82523357347039,10.825233573471156
3OAR8M10,3.3967760851829962,3.396776085184424
3OAR8M9,0.0,0.0
3OAR9M10,3.3967760851829962,3.3967760851839497
3OAS100,10.825233573470388,10.825233573471158
3OAS10M11,0.0,0.0
3OAS10M12,3.396776085182996,3.396776085184482
3OAS11M12,3.396776085182996,3.396776085183949
3OAS120,10.825233573470388,10.82523357347141
3OAS12M13,0.0,0.0
3OAS12M14,3.396776085182996,3.396776085183002
3OAS13M14,3.396776085182996,3.3967760851830024
3OAS140,9.587157325422487,9.587157325424636
3OAS160,3.3967760851829816,3.3967760851829953
3OAS180,3.396776085182996,3.396776085183002
3OAS2M3,0.0,0.0
3OAS3M4,3.396776085182996,3.396776085183002
3OAS4M3O6,3.396776085182996,3.396776085183002
3OAS4M5,0.0,0.0
3OAS4M6,3.396776085182996,3.396776085183004
3OAS5M6,3.396776085182996,3.396776085183001
3OAS60,10.825233573470388,10.825233573472435
3OAS6M7,0.0,0.0
3OAS6M8,3.396776085182996,3.3967760851830002
3OAS7M8,3.396776085182996,3.3967760851829976
3OAS80,10.825233573470388,10.82523357347125
3OAS8M10,3.396776085182996,3.3967760851830002
3OAS8M9,0.0,0.0
3OAS9M10,3.396776085182996,3.396776085183001
4HBZCL,-999.9999999999999,-999.999999999985
4HBZt2pp,-999.6074142742672,-999.6074142742555
4HBZtex,-999.6074142742672,-999.6074142742553
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,239.93087044296212
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-79.97695681434625,0.0
AACOAT,0.0,1.5844582073193572e-12
ACALD,571.9132930504945,571.9132930505222
ACALDtex,999.9999999999802,1000.0
ACALDtpp,999.9999999999709,1000.0
ACBIPGT,0.3925857257328936,0.39258572573289435
ACCOACL,111.26819038533651,111.26819038532656
ACCOAL,0.0,1000.0
ACGAMtex,0.0,0.0
ACGAptspp,0.0,0.0
ACGK,9.955425550504762,9.955425550504813
ACGS,0.0,239.9308704428388
ACHBPL,0.0,1.365573184385033e-11
ACKr,-1000.0,-757.5929770609602
ACLS_a,0.0,1.4765322674155794e-11
ACLS_b,-3.8381435406363684e-11,1.7950591041988393e-13
ACNAMS,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,1.6983880425914983
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.6983880425914986,1.6983880425914986
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.6983880425914986,1.6983880425914997
ACOATA,10.825233573470417,10.825233573469202
ACODAr,-1.4322904504615025e-15,239.93087044294427
ACOTA,-9.955425550504822,-9.955425550504813
ACPS1,0.39258572573289346,0.39258572573289424
ACS,0.0,121.20351146949862
