,minimum,maximum
12PPDt,-999.9999999999999,28.058821528516084
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2MBCOATA,6.002809457938638,6.002809457938233
3HAD10M12,6.002809457938637,6.00280945793822
3HAD11M12,6.002809457938636,6.00280945793822
3HAD12M14,6.002809457938636,6.002809457938223
3HAD13M14,6.002809457938636,6.0028094579382225
3HAD14M16,6.002809457938636,6.002809457938225
3HAD15M16,6.002809457938636,6.0028094579382225
3HAD4M6,6.002809457938637,6.002809457938221
3HAD5M6,6.0028094579386355,6.002809457938244
3HAD6M8,6.002809457938636,6.002809457938223
3HAD7M8,6.0028094579386355,6.002809457938235
3HAD8M10,6.002809457938636,6.002809457938225
3HAD9M10,6.002809457938636,6.002809457938223
3HPCOAHL,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.002809457938637,6.002809457938225
3OAR11M12,6.002809457938636,6.002809457938223
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.002809457938636,6.002809457938225
3OAR13M14,6.002809457938636,6.002809457938224
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.0028094579386355,6.002809457938226
3OAR15M16,6.0028094579386355,6.002809457938226
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.002809457938637,6.002809457938222
3OAR5M6,6.0028094579386355,6.002809457938234
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.002809457938636,6.002809457938223
3OAR7M8,6.0028094579386355,6.002809457938234
3OAR80,0.0,0.0
3OAR8M10,6.002809457938636,6.002809457938225
3OAR8M9,0.0,0.0
3OAR9M10,6.002809457938636,6.0028094579382225
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.002809457938636,6.002809457938235
3OAS11M12,6.002809457938636,6.002809457938234
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.002809457938636,6.002809457938229
3OAS13M14,6.002809457938636,6.0028094579382305
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.0028094579386355,6.002809457938236
3OAS4M3O6,6.002809457938637,6.002809457938215
3OAS4M5,0.0,0.0
3OAS4M6,6.002809457938636,6.002809457938215
3OAS5M6,6.002809457938635,6.00280945793824
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.002809457938636,6.002809457938216
3OAS7M8,6.002809457938636,6.002809457938226
3OAS80,0.0,0.0
3OAS8M10,6.002809457938637,6.0028094579382305
3OAS8M9,0.0,0.0
3OAS9M10,6.002809457938636,6.002809457938235
4HBZt2,0.21820646467067734,0.21820646467066832
4HTHRS,0.0,0.0
5APTLPO,0.0,0.0
5DOAN,0.0,0.0
5FURAt,4.634354886928527e-10,0.0
5MTHCYST,5.681232131949451e-11,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,643.2168289865555
AB6PGH2,0.0,643.2168289865448
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,0.0
ACACT1r,21.569495864746965,21.569495864745562
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,150.74279013797477,178.80161166625925
ACALDt,-873.6533479715309,1000.0
ACBIPGT,0.21820646467067742,0.21820646467066285
ACCOACL,72.03371349526365,72.03371349525911
ACGAMT,0.3817996530230036,0.381799653022979
ACGApts,0.0,-2.2143540199470871e-10
ACKr,-1000.0,-1000.0000000002362
ACLS_a,0.0,-7.783289616631776e-11
ACNML,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.00140472896912
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.0014047289693178,3.0014047289691326
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.0014047289693178,3.001404728969121
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,0.0
ACPS1,0.21820646467067742,0.21820646467066393
ACYP,0.0,-2.1728006625685943e-10
ACYP_2,0.0,-2.353650713989667e-10
ACtr,-1000.0,-1000.0000000002365
ADK1,55.22593157574924,55.2259315750746
ADK2,0.21820646467067745,0.21820646459435986
ADNCYC,0.0,-3.7211073210636275e-11
ADOCBIK,0.21820646467067742,0.21820646467066337
ADOCBLS,0.21820646467067742,0.21820646467066296
ADPRDP,0.0,0.0
ADPT,0.0,-2.31612933162086e-10
ADSL1r,10.427541870881008,10.427541870881258
ADSL2r,0.0,0.0
ADSS,10.427541870881008,10.427541870881141
AGDC,1.5203629051431843e-29,-2.330898405203508e-10
AGPAT120,0.0,-1.5527612994987108e-10
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,-1.1457571706729689e-10
AGPAT161,0.0,0.0
AGPAT180,0.0,3.0014047289691193
AGPAT181,0.0,0.0
AHCYSNS_r,0.4364129293409642,0.4364129292852988
AHEXASE3,0.0,0.0
AHSERL2,0.0,-1.600864158496318e-13
AHSERL3,0.0,0.0
AIHPDCOATA,6.0028094579386355,6.002809457938237
AIPDCOATA,0.0,0.0
ALAALA,1.7624937470945625,1.762493747094448
ALAASP1c,0.0,-2.288520567016392e-10
ALAASPabc,0.0,-2.3238215087256175e-10
ALAD_R,-26.296327781433366,-26.29632778212275
ALAGLN1c,0.0,-2.368345004720832e-10
ALAGLNabc,0.0,-2.3237419509434108e-10
ALAGLU1c,0.0,-1.5492257737977692e-10
ALAGLUabc,0.0,-1.5460988251095517e-10
ALAGLY1c,0.0,-1.546108440312903e-10
ALAGLYabc,0.0,-1.5527095887949663e-10
ALAHIS1c,0.0,-1.5526858998043126e-10
ALAHISabc,0.0,-1.5671364367858926e-10
ALALEU1c,0.0,-1.567177297642587e-10
ALALEUabc,0.0,-1.5530619273431095e-10
