,minimum,maximum
23DHMPO,-14.2371962863123,-14.23719628631338
26DAPLLAT,-934.9770450985553,0.0
2AHBUTI,14.237196286327428,14.23719628631336
2INSD,0.0,1.490630432510757e-11
2MBCOATA,3.7089928817805813,3.7089928817709965
3HAD10M12,3.7089928817719513,3.7089928817710502
3HAD11M12,3.7089928817719513,3.708992881771014
3HAD12M14,3.7089928817719513,3.708992881770886
3HAD13M14,3.7089928817719513,3.7089928817708127
3HAD14M16,3.7089928817719513,3.7089928817719287
3HAD15M16,3.7089928817719513,3.708992881771962
3HAD4M6,3.7089928817805795,3.708992881771961
3HAD5M6,3.7089928817719513,3.708992881771465
3HAD6M8,3.7089928817719513,3.708992881770832
3HAD7M8,3.7089928817719513,3.7089928817710827
3HAD8M10,3.7089928817719513,3.708992881770832
3HAD9M10,3.7089928817719513,3.7089928817710827
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.7089928817719517,3.7089928817709263
3OAR11M12,3.7089928817719517,3.708992881770963
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.7089928817719517,3.7089928817710636
3OAR13M14,3.7089928817719517,3.7089928817712368
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.7089928817719517,3.708992881771933
3OAR15M16,3.7089928817719517,3.7089928817719735
3OAR160,-1.1463419792915166e-14,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.708992881771953,3.7089928817719624
3OAR5M6,3.7089928817719517,3.7089928817718407
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.7089928817719517,3.7089928817708793
3OAR7M8,3.7089928817719517,3.708992881771146
3OAR80,0.0,0.0
3OAR8M10,3.7089928817719517,3.708992881770923
3OAR8M9,0.0,0.0
3OAR9M10,3.7089928817719517,3.7089928817710316
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.7089928817719517,3.7089928817708278
