,minimum,maximum
12PPDSDH,0.0,-2.678556656791679e-11
15DAPtex,3.296685116051291e-11,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0000000000002,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,0.0
2AHBUTI,-999.9999999999999,1000.0
2DDGLCNtex,4.689487650103575e-10,-3.97894485135365e-11
2DMMQ8abcpp,0.0,-6.494650660935039e-12
2DMMQ8tex,0.0,-6.286750959815006e-12
2IMZS,0.0,-7.655611037233781e-12
2INSD,0.0,0.0
2MBCOATA,6.947899008035284,6.947899008025909
2OMMBOX,0.8030102385328812,0.8030102385272696
2OMPHH,0.8030102385331942,0.8030102385271921
33HPHACt2rpp,0.0,-3.858536491592777e-10
34DHPHAt2rpp,198.7796041489726,198.77960414777004
34DHPHAtex,198.77960414872254,198.77960414767307
34DHPHEtex,0.0,0.0
3CARLPDH,0.0,-3.450301743617703e-11
3DGUR,0.0,1000.0000000000008
3HACPR1,0.0,-5.948346137149134e-12
3HACPR2,0.0,-6.544395348121744e-12
3HAD10M12,6.947899008029894,6.947899008025799
3HAD11M12,6.947899008029894,6.947899008025655
3HAD12M14,6.947899008029894,6.947899008025409
3HAD13M14,6.947899008029894,6.947899008025656
3HAD14M16,6.947899008029894,6.947899008029867
3HAD15M16,6.947899008029894,6.947899008029862
3HAD4M6,6.947899008035454,6.94789900802986
3HAD5M6,6.947899008029894,6.9478990080298715
3HAD6M8,6.947899008029894,6.947899008029878
3HAD7M8,6.947899008029894,6.9478990080298795
3HAD8M10,6.947899008029894,6.947899008029878
3HAD9M10,6.947899008029894,6.9478990080298795
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,-3.091622406307503e-10
3HPHACtex,0.0,-5.143428215893807e-10
3MOBS,4.0369324076624935e-11,0.0
3OAACPR1,0.0,-5.976829082155764e-12
3OAACPR2,0.0,-5.314909831569665e-12
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.947899008029895,6.947899008029874
3OAR11M12,6.947899008029895,6.94789900802987
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.947899008029895,6.947899008029874
3OAR13M14,6.947899008029895,6.947899008029875
3OAR140,20.25968222235267,20.25968222235261
3OAR14M15,0.0,0.0
3OAR14M16,6.947899008029895,6.947899008029874
3OAR15M16,6.947899008029895,6.947899008029875
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.94789900803484,6.947899008029888
3OAR5M6,6.947899008029895,6.947899008029875
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.947899008029895,6.947899008029872
3OAR7M8,6.947899008029895,6.947899008029875
3OAR80,0.0,0.0
3OAR8M10,6.947899008029895,6.947899008029878
3OAR8M9,0.0,0.0
3OAR9M10,6.947899008029895,6.947899008029881
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.947899008029895,6.947899008029881
3OAS11M12,6.947899008029895,6.947899008029881
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.947899008029895,6.947899008029881
3OAS13M14,6.947899008029895,6.947899008029881
3OAS140,20.259682222352666,20.25968222235262
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.947899008029895,6.947899008029881
3OAS4M3O6,6.947899008035143,6.947899008029901
3OAS4M5,0.0,0.0
