,minimum,maximum
15DAPt,0.0,3.289062041312217e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.11355234861910782,0.11355234861910792
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,5.227494688746407,5.22749468874643
2MEBCOADH,-5.227494688746414,-5.227494688746409
2OBUTt2r,-0.4991814308919354,-0.49918143089038836
2S6HCC,-1000.0,2.8832426680094575e-13
3HAD100,5.2274946887464075,5.227494688747873
3HAD10M12,5.2274946887464075,5.227494688746412
3HAD11M12,5.227494688746384,5.227494688746419
3HAD120,5.2274946887464075,5.227494688746427
3HAD12M14,5.2274946887464075,5.227494688746424
3HAD13M14,5.227494688746384,5.227494688746425
3HAD140,5.2274946887464075,5.227494688746425
3HAD14M16,5.2274946887464075,5.227494688746424
3HAD15M16,5.227494688746383,5.227494688746425
3HAD160,5.2274946887464075,5.227494688746425
3HAD180,5.2274946887464075,5.227494688746425
3HAD40,5.2274946887464075,5.227494688746425
3HAD4M6,5.2274946887464075,5.227494688746424
3HAD5M6,5.227494688746383,5.227494688746425
3HAD60,5.2274946887464075,5.227494688746425
3HAD6M8,5.2274946887464075,5.227494688746424
3HAD7M8,5.227494688746383,5.227494688746425
3HAD80,5.2274946887464075,5.227494688746425
3HAD8M10,5.2274946887464075,5.227494688746424
3HAD9M10,5.227494688746383,5.227494688746425
3HLYTCL,0.0,2.7830524964949522e-11
3MEBCOADH,-5.227494688746383,-5.227494688746397
3MOBDC2,0.0,0.0
3MOPDC2,10.454989377492808,10.454989377492817
3OAR100,5.227494688746407,5.227494688746442
3OAR10M11,0.0,0.0
3OAR10M12,5.227494688746407,5.227494688746441
3OAR11M12,5.22749468874638,5.227494688746432
3OAR120,5.227494688746407,5.227494688746442
3OAR12M13,0.0,0.0
3OAR12M14,5.227494688746407,5.227494688746441
3OAR13M14,5.22749468874638,5.227494688746432
3OAR140,5.227494688746407,5.227494688746441
3OAR14M15,0.0,0.0
3OAR14M16,5.227494688746407,5.227494688746442
3OAR15M16,5.22749468874638,5.227494688746432
3OAR160,5.227494688746407,5.22749468874644
3OAR180,5.227494688746407,5.22749468874644
3OAR40,5.227494688746407,5.227494688746442
3OAR4M5,0.0,0.0
3OAR4M6,5.227494688746407,5.227494688746441
3OAR5M6,5.22749468874638,5.227494688746432
3OAR60,5.227494688746407,5.227494688746442
3OAR6M7,0.0,0.0
3OAR6M8,5.227494688746407,5.227494688746441
3OAR7M8,5.22749468874638,5.227494688746432
3OAR80,5.227494688746407,5.227494688746442
3OAR8M10,5.227494688746407,5.227494688746441
3OAR8M9,0.0,0.0
3OAR9M10,5.22749468874638,5.227494688746432
3OAS100,5.227494688746407,5.227494688746441
3OAS10M11,0.0,0.0
3OAS10M12,5.227494688746407,5.227494688746432
3OAS11M12,5.22749468874638,5.2274946887464235
3OAS120,5.227494688746407,5.227494688746433
3OAS12M13,0.0,0.0
3OAS12M14,5.227494688746407,5.227494688746433
3OAS13M14,5.22749468874638,5.2274946887464235
3OAS140,5.227494688746407,5.227494688746433
3OAS160,5.227494688746407,5.227494688746432
3OAS180,5.227494688746407,5.227494688746432
3OAS2M3,0.0,0.0
3OAS3M4,5.22749468874638,5.2274946887464235
3OAS4M3O6,5.227494688746407,5.227494688746432
3OAS4M5,0.0,0.0
3OAS4M6,5.227494688746407,5.227494688746436
3OAS5M6,5.22749468874638,5.227494688746424
3OAS60,5.227494688746407,5.227494688746436
3OAS6M7,0.0,0.0
3OAS6M8,5.227494688746407,5.227494688746437
3OAS7M8,5.22749468874638,5.227494688746413
3OAS80,5.227494688746407,5.227494688746437
3OAS8M10,5.227494688746407,5.227494688746437
3OAS8M9,0.0,0.0
3OAS9M10,5.22749468874638,5.2274946887464555
4ABZt2,1.4975442926697258,1.4975442926912397
4HTHDR,0.1135523486191078,0.11355234861910797
4HTHDS,0.1135523486191078,0.11355234861910811
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
5AIZCDC,0.0,3.7107366619932746e-11
5DGCLURI,0.0,0.0
5DOAN,0.0,2.1148354157451694e-12
5FURAt,-1.4695983622216355e-11,0.0
6PHBG,0.0,848.3441900087399
6PHBG2,0.0,848.3441900087373
AACOAT,0.0,3.7654713370136e-13
AB6PGH,0.0,848.3441900087251
AB6PGH2,0.0,848.3441900086971
ABTOXy,0.0,0.0
ACALD,-876.2343088956089,60.193046275428436
ACALDt,-872.8547103420111,1000.0
ACBIPGT,0.49918143089038836,0.49918143089038863
ACCOAC,0.0,104.54989377492836
ACCOACL,0.0,104.54989377492835
ACEDIPIT,0.0,0.0
ACGAMK,0.0,1.7009522773099625e-11
ACGAMT,0.3406570458573235,0.34065704585732365
ACGAMt2,0.0,2.317781125125663e-11
ACGApts,0.0,9.023495008944502e-12
ACKr,-1000.0,-999.9999999999878
ACLDC,0.0,8.691679219221226e-12
ACLS_a,0.0,5.381246760715352e-13
ACOAAGPAT140,0.0,7.096705921156275e-13
ACOAAGPAT160,0.0,4.60305332976008e-13
ACOAAGPAT180,0.0,2.613747344373205
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.6137473443732047,2.6137473443732144
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.6137473443732038,2.6137473443732135
ACOATA,5.2274946887464075,5.227494688746429
ACPS1,0.49918143089038824,0.49918143089038997
ACS,0.0,1.9999424866587053e-11
ACTNDH,63.572644828994676,1000.0
ACTNdiff,63.57264482899631,999.9999999999999
ACtr,-1000.0,-999.9999999999862
ADA,0.0,267.0103860404852
ADCL,0.0,1.488708010799202e-12
ADCS,0.0,2.006795971911329e-12
ADD,0.0,267.01038604049455
ADEt2,0.0,1.6923788558214026e-11
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.9506105692919
ADK11,-1000.0,1000.0000000000002
ADK2,0.49918143089038813,0.4991814308990083
ADK3,-1000.0,995.3373309518739
ADK5,-1000.0,942.5972098675902
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3595901539235
ADK9,-1000.0,999.359590153918
ADMDC,0.0,6.40957981926359e-12
ADNCNT3tc,273.21764617928864,273.2176461797104
ADNCYC,0.0,0.0
ADNUC,0.0,5.910733137906682e-11
ADOCBIK,0.49918143089038813,0.4991814308903896
ADOCBLS,0.49918143089038824,0.49918143089039035
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,5.657052139313136,5.657052139374239
ADSL1r,1.4099572907894627e-14,3.2642733301912436e-11
ADSL2r,0.0,6.214473422932298e-12
ADSS,0.0,3.3714528636911483e-11
AGDC,0.0,4.474420864511267e-11
AGMD,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.6137473443732113
AGPAT181,0.0,0.0
AHCYSNS_r,0.49918143089038847,0.4991814308920215
AICART,0.0,5.861241178560232e-12
AIHDUDPMG,0.4542093944764311,0.45420939447643244
AIHDUPDG,0.45420939447643116,0.4542093944764327
AIHPDCOATA,5.2274946887464075,5.227494688746428
AIPDCOATA,0.0,0.0
AIRC4,0.0,4.272969489568009e-11
AKP1,1.4975442926711644,1.4975442926767377
ALAALA,0.1135523486191078,0.11355234861910815
ALAASP1c,0.0,22.31391356215875
ALAASPabc,0.0,22.313913562167027
ALAGLN1c,0.0,22.31391356216703
ALAGLNabc,0.0,22.3139135621604
ALAGLU1c,0.0,22.31391356216061
ALAGLUabc,0.0,22.313913562169194
ALAGLY1c,0.0,4.4361489536762736e-11
