,minimum,maximum
15DAPt,0.0,8.727531846636407e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.14569432321233913,0.14569432321276168
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HEDCCL,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.707182282312092,6.707182282312112
2MEBCOADH,-6.707182282312108,-6.7071822823120915
2OBUTt2r,-0.6404790532157472,-0.6404790532135596
2S6HCC,-1000.0,7.211239767870872e-13
34DHOXPEGOX,0.0,0.0
3CALACL,0.0,0.0
3HAD100,6.707182282312065,6.707182282321875
3HAD10M12,6.707182282312092,6.70718228232136
3HAD11M12,6.707182282312092,6.7071822823192395
3HAD120,6.707182282312067,6.707182282322317
3HAD12M14,6.707182282312092,6.707182282318131
3HAD13M14,6.707182282312092,6.707182282320166
3HAD140,6.707182282312067,6.70718228232099
3HAD14M16,6.707182282312092,6.707182282312111
3HAD15M16,6.707182282312092,6.7071822823121
3HAD160,6.707182282312067,6.707182282312104
3HAD180,6.7071822823120675,6.707182282312125
3HAD40,6.707182282312062,6.707182282312116
3HAD4M6,6.707182282312092,6.7071822823121
3HAD5M6,6.707182282312092,6.707182282312105
3HAD60,6.707182282312063,6.7071822823121074
3HAD6M8,6.707182282312092,6.707182282312079
3HAD7M8,6.707182282312092,6.707182282312082
3HAD80,6.707182282312065,6.7071822823120675
3HAD8M10,6.707182282312092,6.7071822823120835
3HAD9M10,6.707182282312092,6.707182282312086
3HLYTCL,0.0,-1.9781937190270358e-11
3HPCOAHL,0.0,0.0
3HXKYNDCL,0.0,0.0
3MEBCOADH,-6.707182282315917,-6.707182282312092
3MOBDC2,0.0,0.0
3MOPDC2,13.414364564624172,13.414364564624217
3OAR100,6.707182282312055,6.70718228231211
3OAR10M11,0.0,0.0
3OAR10M12,6.707182282312092,6.707182282312107
3OAR11M12,6.707182282312092,6.707182282312105
3OAR120,6.707182282312055,6.70718228231211
3OAR12M13,0.0,0.0
3OAR12M14,6.707182282312092,6.7071822823121074
3OAR13M14,6.707182282312092,6.707182282312107
3OAR140,6.707182282312057,6.707182282312112
3OAR14M15,0.0,0.0
3OAR14M16,6.707182282312092,6.707182282312109
3OAR15M16,6.707182282312092,6.7071822823121074
3OAR160,6.707182282312058,6.707182282312112
3OAR180,6.707182282312058,6.707182282312113
3OAR40,6.707182282312053,6.707182282312107
3OAR4M5,0.0,0.0
3OAR4M6,6.707182282312092,6.707182282312107
3OAR5M6,6.707182282312092,6.707182282312105
3OAR60,6.707182282312054,6.7071822823121074
3OAR6M7,0.0,0.0
3OAR6M8,6.707182282312092,6.707182282312107
3OAR7M8,6.707182282312092,6.707182282312105
3OAR80,6.707182282312055,6.707182282312109
3OAR8M10,6.707182282312092,6.707182282312107
3OAR8M9,0.0,0.0
