,minimum,maximum
15DAPt,0.0,-1.2414664113630424e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.12957983264074968,0.12957983264018544
2HMCOXT,0.0,0.0
2MBCOATA,5.965335769234642,5.965335769234626
2MEBCOADH,-5.96533576923462,-5.9653357692346765
2OBUTt2r,-0.5696389996223729,-0.569638999622258
2S6HCC,-1000.0,-7.240894077762208e-13
3HAD100,5.965335769234657,5.965335769229381
3HAD10M12,5.9653357692346605,5.965335769228732
3HAD11M12,5.965335769234657,5.965335769229619
3HAD120,5.965335769234656,5.965335769229212
3HAD12M14,5.965335769234659,5.965335769230402
3HAD13M14,5.965335769234656,5.965335769229618
3HAD140,5.965335769234656,5.965335769230542
3HAD14M16,5.965335769234656,5.965335769234633
3HAD15M16,5.965335769234656,5.9653357692346525
3HAD160,5.965335769234656,5.965335769234653
3HAD180,5.965335769234656,5.965335769234648
3HAD40,5.965335769234659,5.965335769234689
3HAD4M6,5.9653357692346605,5.965335769234652
3HAD5M6,5.965335769234659,5.965335769234654
3HAD60,5.965335769234658,5.9653357692346765
3HAD6M8,5.9653357692346605,5.9653357692346605
3HAD7M8,5.965335769234658,5.965335769234664
3HAD80,5.965335769234657,5.965335769234648
3HAD8M10,5.9653357692346605,5.965335769234641
3HAD9M10,5.965335769234657,5.965335769234648
3HLYTCL,0.0,-1.7447636051588748e-11
3MEBCOADH,-5.9653357692346365,-5.965335769234659
3MOBDC2,0.0,0.0
3MOPDC2,11.930671538469323,11.930671538469264
3OAR100,5.965335769234657,5.965335769234658
3OAR10M11,0.0,0.0
3OAR10M12,5.965335769234638,5.965335769234654
3OAR11M12,5.965335769234657,5.965335769234657
3OAR120,5.965335769234656,5.965335769234658
3OAR12M13,0.0,0.0
3OAR12M14,5.965335769234638,5.965335769234654
3OAR13M14,5.965335769234656,5.965335769234657
3OAR140,5.965335769234656,5.965335769234657
3OAR14M15,0.0,0.0
