,minimum,maximum
15DAPt,0.0,6.486752376305151e-12
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.14544450829313257,0.14544450829313443
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HEDCCL,0.0,0.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.695681805402517,6.695681805402515
2MEBCOADH,-6.695681805402525,-6.695681805402515
2OBUTt2r,-0.6393808551546594,-0.6393808551547453
2S6HCC,-999.9999999999998,-1.0066059837458841e-13
34DHOXPEGOX,0.0,0.0
3CALACL,0.0,0.0
3HAD100,6.695681805402522,6.695681805404108
3HAD10M12,6.6956818054025184,6.695681805403439
3HAD11M12,6.6956818054025184,6.695681805402272
3HAD120,6.695681805402522,6.695681805403448
3HAD12M14,6.6956818054025184,6.695681805403132
3HAD13M14,6.6956818054025184,6.695681805403815
3HAD140,6.695681805402522,6.695681805403268
3HAD14M16,6.6956818054025184,6.695681805402522
3HAD15M16,6.6956818054025184,6.6956818054025184
3HAD160,6.695681805402523,6.695681805402397
3HAD180,6.695681805402525,6.695681805402447
3HAD40,6.6956818054025184,6.695681805402518
3HAD4M6,6.6956818054025184,6.695681805402513
3HAD5M6,6.6956818054025184,6.695681805402511
3HAD60,6.6956818054025184,6.695681805402447
3HAD6M8,6.6956818054025184,6.695681805402503
3HAD7M8,6.6956818054025184,6.695681805402509
3HAD80,6.69568180540252,6.695681805402446
3HAD8M10,6.6956818054025184,6.695681805402509
3HAD9M10,6.6956818054025184,6.695681805402509
3HLYTCL,0.0,-6.386956185900438e-11
3HPCOAHL,0.0,0.0
3HXKYNDCL,0.0,0.0
3MEBCOADH,-6.695681805402517,-6.695681805402517
3MOBDC2,0.0,0.0
3MOPDC2,13.391363610805035,13.391363610805048
3OAR100,6.695681805402606,6.695681805402472
3OAR10M11,0.0,0.0
3OAR10M12,6.695681805402519,6.695681805402508
3OAR11M12,6.695681805402519,6.695681805402508
3OAR120,6.695681805402608,6.695681805402474
3OAR12M13,0.0,0.0
3OAR12M14,6.695681805402519,6.695681805402508
3OAR13M14,6.695681805402519,6.695681805402509
3OAR140,6.69568180540261,6.695681805402476
3OAR14M15,0.0,0.0
3OAR14M16,6.695681805402519,6.695681805402508
3OAR15M16,6.695681805402519,6.695681805402509
3OAR160,6.695681805402611,6.695681805402475
3OAR180,6.695681805402613,6.695681805402476
3OAR40,6.695681805402606,6.695681805402471
