,minimum,maximum
15DAPt,0.0,-1.546548746253887e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.12423572282772531,0.1242357228056787
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,5.719314386862209,5.71931438686225
2MEBCOADH,-5.719314386862603,-5.719314386862211
2OBUTt2r,-0.546146043063787,-0.5461460430542313
2S6HCC,-1000.0,2.8164039464980153e-14
3HAD100,5.719314386862213,5.719314386862214
3HAD10M12,5.7193143868622105,5.719314386862202
3HAD11M12,5.719314386862181,5.719314386862186
3HAD120,5.719314386862211,5.7193143868622025
3HAD12M14,5.7193143868622105,5.719314386862224
3HAD13M14,5.7193143868622105,5.719314386862225
3HAD140,5.7193143868622105,5.719314386862214
3HAD14M16,5.71931438686221,5.719314386862214
3HAD15M16,5.71931438686221,5.719314386862215
3HAD160,5.7193143868622105,5.719314386862214
3HAD180,5.71931438686221,5.719314386862214
3HAD40,5.719314386862215,5.719314386862214
3HAD4M6,5.7193143868622105,5.719314386862216
3HAD5M6,5.719314386862183,5.719314386862223
3HAD60,5.719314386862214,5.7193143868621705
3HAD6M8,5.7193143868622105,5.7193143868621785
3HAD7M8,5.719314386862183,5.7193143868621625
3HAD80,5.719314386862213,5.719314386862178
3HAD8M10,5.7193143868622105,5.7193143868621785
3HAD9M10,5.719314386862182,5.7193143868621625
3HLYTCL,0.0,-5.974338992378005e-11
3MEBCOADH,-5.719314386861769,-5.7193143868621865
3MOBDC2,0.0,0.0
3MOPDC2,11.438628773724405,11.438628773724394
3OAR100,5.719314386862213,5.7193143868621785
3OAR10M11,0.0,0.0
3OAR10M12,5.71931438686221,5.7193143868621785
3OAR11M12,5.719314386862199,5.719314386862146
3OAR120,5.719314386862211,5.719314386862178
3OAR12M13,0.0,0.0
3OAR12M14,5.71931438686221,5.7193143868621785
3OAR13M14,5.71931438686221,5.7193143868621785
3OAR140,5.7193143868622105,5.719314386862178
3OAR14M15,0.0,0.0
3OAR14M16,5.71931438686221,5.7193143868621785
3OAR15M16,5.71931438686221,5.719314386862178
3OAR160,5.71931438686221,5.719314386862178
3OAR180,5.71931438686221,5.719314386862178
3OAR40,5.719314386862215,5.71931438686218
3OAR4M5,0.0,0.0
3OAR4M6,5.71931438686221,5.7193143868621785
3OAR5M6,5.7193143868622,5.719314386862147
3OAR60,5.719314386862214,5.71931438686218
3OAR6M7,0.0,0.0
3OAR6M8,5.71931438686221,5.7193143868621785
3OAR7M8,5.7193143868622,5.7193143868621465
3OAR80,5.719314386862214,5.71931438686218
3OAR8M10,5.71931438686221,5.7193143868621785
3OAR8M9,0.0,0.0
3OAR9M10,5.7193143868622,5.719314386862146
3OAS100,5.719314386862212,5.7193143868621785
3OAS10M11,0.0,0.0
3OAS10M12,5.7193143868622105,5.719314386862214
3OAS11M12,5.7193143868622105,5.719314386862213
3OAS120,5.719314386862211,5.719314386862213
3OAS12M13,0.0,0.0
3OAS12M14,5.71931438686221,5.719314386862214
3OAS13M14,5.71931438686221,5.719314386862213
3OAS140,5.7193143868622105,5.719314386862213
3OAS160,5.7193143868622105,5.719314386862213
3OAS180,5.71931438686221,5.719314386862212
3OAS2M3,0.0,0.0
3OAS3M4,5.719314386862185,5.71931438686223
3OAS4M3O6,5.7193143868622105,5.719314386862214
3OAS4M5,0.0,0.0
3OAS4M6,5.7193143868622105,5.719314386862188
3OAS5M6,5.719314386862199,5.7193143868621705
3OAS60,5.719314386862214,5.719314386862188
3OAS6M7,0.0,0.0
3OAS6M8,5.7193143868622105,5.719314386862203
3OAS7M8,5.719314386862199,5.719314386862182
3OAS80,5.719314386862213,5.719314386862203
3OAS8M10,5.7193143868622105,5.719314386862203
3OAS8M9,0.0,0.0
3OAS9M10,5.719314386862198,5.719314386862191
4ABZt2,1.6384381291622907,1.6384381291609478
4HTHDR,0.12423572280567867,0.12423572280567877
4HTHDS,0.12423572280567867,0.12423572280567852
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-1.0931769220095928e-11
5DGCLURI,0.0,0.0
5DOAN,0.0,1.0795331438046936e-13
5FURAt,-4.189292245071272e-12,0.0
6PHBG,0.0,-2.384459004035627e-11
6PHBG2,0.0,6.324376445018695e-12
AACOAT,0.0,0.0
AB6PGH,0.0,1.123372568882375e-12
AB6PGH2,0.0,9.1894964428804e-12
ABTOXy,0.0,0.0
ACALD,-864.5900302381017,176.11855081502512
ACALDt,-860.8924680633941,1000.0
ACBIPGT,0.5461460430542313,0.546146043054231
ACCOAC,0.0,114.3862877372449
ACCOACL,0.0,114.3862877372449
ACEDIPIT,2.7663839235370816e-11,0.0
ACGAMK,0.0,3.489084736791875e-11
ACGAMT,0.37270716841703605,0.37270716841703605
ACGAMt2,0.0,2.796499102815281e-11
ACGApts,0.0,2.5911216570823274e-12
ACKr,-1000.0,-1000.000000000022
ACLDC,0.0,-1.4018837450356887e-12
ACLS_a,0.0,0.0
ACOAAGPAT140,0.0,-1.338078831629488e-13
ACOAAGPAT160,0.0,2.4405578823077637e-13
ACOAAGPAT180,0.0,2.8596571934311057
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.8596571934311057,2.859657193431087
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.8596571934311052,2.8596571934311092
ACOATA,5.719314386862214,5.71931438686221
ACPS1,0.5461460430542312,0.5461460430542302
ACS,0.0,-9.660633264270807e-12
ACTNDH,69.55376596829353,1000.0
ACTNdiff,69.553765968283,999.9999999999999
ACtr,-1000.0,-1000.0000000000083
ADA,0.0,993.2032377045144
ADCL,0.0,-1.0764934179815687e-12
ADCS,0.0,1.3647011899378236e-12
ADD,0.0,993.2032377045427
ADEt2,0.0,-8.622413252082951e-12
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.8463776606094
ADK11,-1000.0,1000.0
ADK2,0.5461460430542318,0.5461460430484956
ADK3,-1000.0,994.8986518866199
ADK5,-1000.0,937.1965687200955
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3048412520029
ADK9,-1000.0,999.3048412520498
ADMDC,0.0,-1.880712556888717e-12
ADNCNT3tc,1000.0000000001326,1000.0
ADNCYC,0.0,0.0
ADNUC,0.0,-1.2756447003081626e-11
