,minimum,maximum
12DGR180ti,2.4735561037277027,2.4735561037277054
15DAPt,0.0,4.464454108988747e-12
26DAPLLATi,0.10746184233344129,0.10746184233302158
2HMCOXT,0.0,0.0
2MBCOATA,4.947112207455408,4.947112207455416
2OBUTt2r,2.1132246920741857e-13,0.0
2S6HCC,0.0,1.339336232696623e-12
3HAD10M12,4.947112207455406,4.947112207454732
3HAD11M12,4.947112207455412,4.947112207454383
3HAD12M14,4.947112207455406,4.947112207456952
3HAD13M14,4.947112207455406,4.947112207454857
3HAD14M16,4.9471122074554055,4.947112207455406
3HAD15M16,4.9471122074554055,4.94711220745541
3HAD4M6,4.947112207455409,4.947112207455413
3HAD5M6,4.947112207455414,4.9471122074554215
3HAD6M8,4.947112207455408,4.947112207455419
3HAD7M8,4.947112207455413,4.9471122074554215
3HAD8M10,4.947112207455407,4.947112207455418
3HAD9M10,4.947112207455413,4.947112207455419
3HLYTCL,0.0,4.910899519887619e-12
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.947112207455407,4.947112207455403
3OAR11M12,4.947112207455412,4.947112207455414
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.947112207455406,4.947112207455413
3OAR13M14,4.947112207455412,4.947112207455414
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.9471122074554055,4.947112207455412
3OAR15M16,4.9471122074554055,4.947112207455415
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.947112207455409,4.947112207455416
3OAR5M6,4.947112207455414,4.947112207455415
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.947112207455408,4.947112207455413
3OAR7M8,4.9471122074554135,4.947112207455407
3OAR80,0.0,0.0
3OAR8M10,4.947112207455407,4.947112207455412
3OAR8M9,0.0,0.0
3OAR9M10,4.947112207455413,4.947112207455408
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.9471122074554055,4.947112207455411
3OAS11M12,4.947112207455411,4.947112207455429
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.9471122074554055,4.947112207455413
3OAS13M14,4.9471122074554055,4.947112207455412
3OAS140,0.0,0.0
3OAS160,0.0,0.0
