,minimum,maximum
12DGR180ti,2.495118038720236,2.4951180387202343
15DAPt,0.0,-8.796424301461625e-12
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,0.10839858488575205
2CLDHOFAL,0.0,0.0
2DHPL,2.4653458218576287e-12,-1.4142846474158295e-11
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,4.990236077440478,4.990236077439524
2OBUTt2r,4.467967409074836e-14,0.0
2RCDHOFAL,0.0,0.0
2S6HCC,0.0,-3.1746701197424274e-12
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3HAD10M12,4.990236077440476,4.990236077439919
3HAD11M12,4.990236077440476,4.990236077440345
3HAD12M14,4.990236077440475,4.990236077439906
3HAD13M14,4.990236077440475,4.9902360774392465
3HAD14M16,4.990236077440474,4.990236077440472
3HAD15M16,4.990236077440474,4.990236077440475
3HAD4M6,4.990236077440479,4.990236077440481
3HAD5M6,4.990236077440479,4.990236077440477
3HAD6M8,4.9902360774404775,4.990236077440479
3HAD7M8,4.9902360774404775,4.990236077440477
3HAD8M10,4.990236077440477,4.990236077440478
3HAD9M10,4.990236077440477,4.990236077440477
3HLYTCL,0.0,2.6002008941427424e-12
3HPCOAHL,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.990236077440476,4.99023607744047
3OAR11M12,4.990236077440476,4.990236077440469
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.990236077440475,4.9902360774404695
3OAR13M14,4.990236077440475,4.990236077440469
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.990236077440474,4.990236077440469
3OAR15M16,4.990236077440474,4.990236077440469
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.990236077440479,4.990236077440473
3OAR5M6,4.990236077440486,4.9902360774404615
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.9902360774404775,4.990236077440475
3OAR7M8,4.9902360774404775,4.990236077440474
3OAR80,0.0,0.0
3OAR8M10,4.990236077440477,4.990236077440474
3OAR8M9,0.0,0.0
3OAR9M10,4.990236077440477,4.990236077440473
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.990236077440475,4.990236077440475
3OAS11M12,4.990236077440475,4.990236077440475
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.990236077440474,4.990236077440476
3OAS13M14,4.990236077440474,4.990236077440475
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.990236077440484,4.99023607744045
3OAS4M3O6,4.990236077440479,4.990236077440484
3OAS4M5,0.0,0.0
3OAS4M6,4.990236077440478,4.990236077440478
3OAS5M6,4.990236077440478,4.990236077440477
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.990236077440476,4.990236077440474
3OAS7M8,4.990236077440476,4.990236077440473
3OAS80,0.0,0.0
3OAS8M10,4.990236077440475,4.990236077440469
3OAS8M9,0.0,0.0
3OAS9M10,4.990236077440475,4.9902360774404695
4HTHDR,0.10839858488561317,0.10839858488561305
4HTHDS,0.10839858488561316,0.10839858488561303
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-8.243190068665305e-12
5DGLCNR,-1000.0000000000003,1000.0
5DOAN,0.0,-3.142557463184487e-12
5HISAH,0.0,0.0
5MTHCYST,4.050324757968161e-12,0.0
5MTHFGLUNFT,0.0,0.0
6P3HXI,0.0,0.0
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0000000000001,1000.0
6PHBG,0.0,999.8916014151009
6PHBG2,0.0,999.8916014151035
A5PISO,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,999.8916014151043
AB6PGH2,0.0,999.8916014150991
ABGAFT,0.0,0.0
ABNTHL,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACAH,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.47652524467986423,0.4765252446798635
ACCOACL,68.89370762074489,68.89370762071356
ACCOALYS2,0.0,0.0
ACEDIPIT,-0.10839858488561317,0.0
ACGAMK,0.0,-4.576371605629554e-12
ACGAMPM,-129.63513464553318,-9.343909559745664e-12
ACGAMT,0.32519575465683964,0.3251957546568392
ACGAMt2,0.0,-1.69289675235677e-11
ACGApts,0.0,-4.637073824040923e-12
ACHBS,0.0,0.0
ACKr,-1000.0,-1000.0000000000093
ACLDC,0.0,-3.559022582185303e-12
ACLS,0.0,-4.087431139423906e-12
ACLS_a,0.0,0.0
ACNAM9PL,0.0,0.0
ACNAMS,0.0,2.0934716735619925e-27
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.4951180387202365,2.4951180387202334
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.495118038720236,2.4951180387202356
ACOASL,0.0,0.0
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACPS1,0.4765252446798643,0.4765252446798641
ACS,0.0,-1.2586078796116458e-12
ACTNDH,-1000.0,1000.0
ACTNR,0.0,0.0
ACTNdiff,-999.9999999999966,999.9999999999999
ACtr,-1000.0,-1000.0000000000113
ADAPH,0.0,0.0
ADCOBASr,0.0,0.0
ADD,0.0,964.4125738307055
ADDGAL,0.0,0.0
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.9966783990186
ADK11,-1000.0,1000.0
ADK2,0.4765252446798642,0.4765252446696736
ADK3,-1000.0,996.9785297384866
ADK5,-1000.0,1000.0
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADNCNT3tc,5.927093699208885,970.3396675298867
ADNCYC,0.0,-1.9088901899697958e-12
ADNK1,4.9237720982450215,5.927093699182252
ADNUC,0.0,-6.931684628925367e-12
ADOCBIK,0.0,0.4765252446798638
ADOCBIK2,0.0,0.47652524467986396
ADOCBLS,0.4765252446798643,0.47652524467986385
ADP1P,-1000.0,1000.0
ADPRDP,0.0,-8.409160338504196e-12
ADPT,0.0,-1.2187149895690006e-11
ADSL1r,0.0,-7.048667307901917e-12
ADSL2r,0.0,-3.857272830858545e-12
ADSS,0.0,-4.019777803963259e-12
AEPPT,0.0,0.0
AFFH,0.0,0.0
AGAGGCERH,0.0,0.0
AGDC,0.0,129.63513464554106
AGLPET,0.0,0.0
AGMD,0.0,0.0
AGPAT120,0.0,-2.3538092784092298e-12
AGPAT140,0.0,-2.5547773303204227e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,-1.4460880390423488e-12
AGPAT181,0.0,0.0
AHC,1.81460828357195e-11,-4.419662561155132e-12
AHCYSNS_r,-2.769479641782316e-13,-1.462817732429724e-11
AHPPM,0.0,0.0
AICART,0.0,-5.32254404053837e-12
AIHDUDPMG,0.4335943395424526,0.433594339542452
AIHDUPDG,0.43359433954245274,0.4335943395424523
AIHPDCOATA,4.990236077440473,4.9902360774404695
AIPDCOATA,0.0,0.0
AIRC4,0.0,-7.523985566030038e-12
AKP1,0.0,0.0
ALAAH,0.0,0.0
ALAALA,0.10839858488561316,0.10839858488561302
ALAASP1c,0.0,-2.0027079227227155e-11
ALAASPabc,0.0,-1.3628719096106944e-11
ALAGLN1c,0.0,31.914341530844762
ALAGLNabc,0.0,31.914341530846514
ALAGLU1c,0.0,12.618439134341257
ALAGLUabc,0.0,12.61843913433317
ALAGLY1c,0.0,-1.1622641783031428e-11
ALAGLYabc,0.0,-8.963740661151206e-12
ALAHIS1c,0.0,-1.3430209375470552e-11
ALAHISabc,0.0,-1.1858752023787554e-11
ALALEU1c,0.0,-1.1875004310709136e-11
ALALEUabc,0.0,-1.1358767734655463e-11
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.10839858488561319,0.10839858488561294
ALAR,-987.1005683986123,1000.0
ALATA_L,-1000.0,991.9860009719056
ALATHR1c,0.0,-1.56942908421206e-11
ALATHRabc,0.0,-1.2294170925141668e-11
ALCD19,-827.0532799501929,1000.0
ALCD2x,-1000.0,1000.0
ALGD,0.0,0.0
ALKP,0.0,-2.0929495367968457e-11
ALTRH,0.0,0.0
AMAGLL,0.0,0.0
AMANAPEr,0.0,0.0
AMANK,0.0,0.0
AMDH,0.0,0.0
AMMQLT8,0.0,999.9999999999943
AMMQT72,0.0,0.0
AMMQT8r,-999.9999999999967,-5.746819972446943e-13
AMPTASECG,0.0,4.847843273807704
AMPTASEGC,0.0,4.847843273807713
AMTH3A3CPT,0.0,0.0
AMZMT,0.0,0.0
ANANBGANANT,0.0,0.0
ANANGAANT,0.0,0.0
ANH,0.0,-5.276564662691979e-29
ANMNLH,0.0,0.0
APAT,0.0,0.10839858488561281
APOR,0.0,0.0
ARABASE3e,0.0,-2.5438193826383707e-11
ARABPT,0.0,0.0
ARAI,0.0,1000.0000000000008
ARBTpts,0.0,999.891601415108
ARBabc,0.0,-4.105879825537002e-12
ARBt2r,2.409940934618222e-12,1000.0000000000001
ARGAMDTR,0.0,0.0
ARGDA,0.0,-1.3058208568843734e-11
ARGSL,0.0,0.0
ARGt2,21.27219447485306,21.748719719519393
ARSENBabc,0.0,0.0
ASAD,-0.10839858488561299,-0.10839858488561312
ASAL,0.0,0.0
ASCBPL,0.0,0.0
ASNS1,0.0,-2.2718846566702507e-11
ASP1DC,0.0,-4.429111199608086e-12
ASPCT,0.0,-4.0274332265116905e-12
ASPK,0.10839858488561314,0.108398584885613
ASPTA,-9.010874691431644,-9.010874691477595
ATPS4,1000.0000000000039,1000.0
BAAH,0.0,0.0
BCDO,0.0,0.0
BFAPT,0.0,0.0
BGBGCGH,0.0,0.0
BGLA,0.0,0.0
BGLA1,0.0,946.5717452330325
BGSLGCGH,0.0,0.0
BHBtp,0.0,0.0
BPNT,0.4765252446798643,0.47652524467986407
BTNCLi,68.89370762074974,68.89370762072757
BTND1,0.0,0.0
BTNabc,0.0,-7.68428491531783e-12
BUAMDH,0.0,0.0
BURTADH,0.0,0.0
CAP_NR,-1000.0,1000.0
CARTNLMT,0.0,0.0
CAt4i,0.4765252446798643,0.47652524467986335
CBIAT,0.4765252446798643,0.47652524467986446
CBMKr,1.2676080913216077e-11,2.6555243174223584e-12
CBPS,0.0,-1.3634656933284307e-11
CBZALDDH,0.0,0.0
CCOAOAAL,0.0,0.0
CD2abc1,0.0,-1.477495447404955e-11
CD2t6r,9.294335110978318e-12,2.365453072985173e-13
CDHOFAL,0.0,0.0
CDPEAS,0.0,0.0
CDPGLYCGPT,0.32519575465683964,0.3251957546568397
CDPMEK,5.004586391180658,5.004586391181225
CEBALAOR,0.0,0.0
CELBpts,0.0,946.5717452330422
CELYSOR,0.0,0.0
CGLYabc,0.0,4.84784327380819
CHLabc,0.0,1.2684662992312714e-11
CHLt2r,6.796621208762343e-12,0.0
CHOLD,0.0,999.9999999999999
CHOLDH,-1000.0,1.1368683772161603e-13
CHOLK,0.0,0.0
CHOLabc,0.0,0.0
CHORM,0.0,-2.6926951826995426e-12
CHORS,0.0,-1.1529982236436676e-12
CITRHi,0.0,-4.035493782752836e-12
CLMCI,0.0,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.5153809247944461,0.5153809247944461
CLPNSAI15,0.0,0.0
CLPNSAI17,0.5153809247944461,0.5153809247944456
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.5153809247944461,0.5153809247944456
CLPOR,0.0,0.0
CMLDC,0.0,0.0
CMMBMM,0.0,0.0
CMZNH,0.0,0.0
CNNH,0.0,0.0
CO2t,-1000.0,-9.677080954727508
COBALTt5,-0.4765252446798629,-0.4765252446798643
CPALDH,0.0,0.0
CPAMLNH,0.0,0.0
CPPPGO,0.0,0.0
CPPPGO2,0.0,-7.849755336288443e-13
CRNabc,0.0,-1.1303591568775079e-11
CSPRNAH,0.0,0.0
CTBTabc,0.0,0.0
CTPF6PT,-1000.0,1000.0
CTPS1,0.0,2.1776346023847206
CTPS2,0.0,2.177634602387527
CYSDS,0.0,984.1073546310533
CYSS,0.0,1000.0
