,minimum,maximum
12PPDt,-5.844927067732037e-10,0.0
15DAPt,0.0,6.711131212615817e-11
23DHMPO,-0.5418182318246381,-0.5418182317567879
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,0.5418182317567883,0.5418182318210932
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,7.452647223311837,7.452647223321884
3HAD10M12,7.452647223311838,7.45264722332191
3HAD11M12,7.45264722331183,7.452647223321493
3HAD12M14,7.452647223311838,7.452647223321921
3HAD13M14,7.45264722331183,7.4526472233218
3HAD14M16,7.452647223311838,7.45264722331203
3HAD15M16,7.452647223311828,7.452647223312057
3HAD4M6,7.452647223311838,7.452647223312052
3HAD5M6,7.452647223311835,7.452647223312052
3HAD6M8,7.452647223311838,7.452647223312016
3HAD7M8,7.452647223311833,7.45264722331213
3HAD8M10,7.452647223311838,7.452647223312054
3HAD9M10,7.452647223311831,7.452647223312044
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.452647223311838,7.452647223312044
3OAR11M12,7.45264722331183,7.452647223312026
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.452647223311838,7.4526472233120495
3OAR13M14,7.45264722331183,7.452647223312044
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,7.452647223311838,7.4526472233120495
3OAR15M16,7.452647223311828,7.452647223312042
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.452647223311838,7.452647223312041
3OAR5M6,7.452647223311835,7.452647223312035
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.452647223311838,7.45264722331205
3OAR7M8,7.452647223311833,7.452647223312027
3OAR80,0.0,0.0
3OAR8M10,7.452647223311838,7.452647223312047
3OAR8M9,0.0,0.0
3OAR9M10,7.452647223311831,7.452647223312037
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.452647223311837,7.452647223312049
3OAS11M12,7.45264722331183,7.4526472233120336
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.452647223311837,7.452647223312048
3OAS13M14,7.452647223311828,7.452647223312033
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.452647223311834,7.452647223312037
3OAS4M3O6,7.452647223311837,7.452647223312051
3OAS4M5,0.0,0.0
3OAS4M6,7.452647223311837,7.4526472233120495
3OAS5M6,7.452647223311832,7.452647223312036
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.452647223311837,7.4526472233120495
3OAS7M8,7.452647223311831,7.452647223312036
3OAS80,0.0,0.0
3OAS8M10,7.452647223311837,7.452647223312049
3OAS8M9,0.0,0.0
3OAS9M10,7.45264722331183,7.452647223312034
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,0.0
5MTHCYST,-2.978450936133257e-11,0.0
6PGALSZ2i,0.0,1.6370492985234873e-10
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,0.0,0.0
AACOAT,0.0,9.199718770818333e-12
AB6PGH,0.0,1.5326846985711152e-10
AB6PGH2,0.0,1.500924177913603e-10
ABTOXy,0.0,0.0
ACALD,-193.05654533296035,-193.056545330091
ACALDt,-999.9999999999999,-999.9999999971467
ACBIPGT,0.27090911587839384,0.27090911587840083
ACCOAC,0.0,0.0
ACCOACL,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMT,0.4740144000739992,0.4740144000740135
ACGApts,-1.3208958572125038e-10,5.4014330774184186e-11
ACGK,21.583490678895462,21.583490680020024
ACGS,3.063446341077401e-15,-6.126892682154802e-15
ACHBPL,0.5418182317567878,0.5418182318166981
ACKr,-1000.0000000000001,-999.9999999998906
ACLDC,0.0,0.0
ACLS_a,130.88978464552017,130.88978464656495
ACLS_b,-130.34796641479298,-130.3479664137673
ACOAAGPAT140,0.0,2.25522813187283e-11
ACOAAGPAT160,0.0,3.55875987495862e-11
ACOAAGPAT180,0.0,3.7263236116560106
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.7263236116559195,3.7263236116560168
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.7263236116559195,3.726323611656023
ACOATA,0.0,0.0
ACONTa,392.4969175281002,392.49691752879573
ACONTb,392.4969175281002,392.4969175288151
ACOTA,-21.583490680032867,-21.583490678895462
ACPS1,0.2709091158783939,0.2709091158784008
ACtr,-1000.0,-999.9999999998752
ADA,0.0,5.532628029209055e-11
ADCS,0.0,2.6241995714800196e-11
ADK1,162.1256981923159,162.66751642429628
ADK2,0.27090911587839395,0.2709091159166723
ADNCYC,0.0,0.0
ADOCBIK,0.2709091158783939,0.27090911587840083
ADOCBLS,0.2709091158783939,0.27090911587840133
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,1.1992033698705674e-10
ADSL1r,12.890776990719134,12.89077699077293
ADSL2r,-9.715449447301089e-27,0.0
ADSS,12.89077699071886,12.890776990773071
AGDC,0.0,5.363978288982669e-11
AGPAT120,0.0,2.887795724584295e-11
AGPAT140,0.0,2.3632045827201836e-11
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.7263236116560163
AGPAT181,0.0,0.0
AGPR,-21.583490680050765,-21.583490678895455
AGTi,0.0,0.0
AHCYSNS_r,0.2709091158783939,0.270909115907932
AHEXASE3,0.0,0.0
AHSERL2,0.0,1.1363947881988568e-10
AHSERL3,-1.1943998362991706e-10,0.0
AICART,-8.172801889565926e-27,3.635331955939633e-11
AIHPDCOATA,7.452647223311837,7.4526472233120264
AIPDCOATA,0.0,0.0
AIRC4,0.0,0.0
ALAALA,2.1881827538299725,2.18818275383003
ALAASP1c,0.0,7.349871438488159e-11
ALAASPabc,0.0,7.374285796929329e-11
ALACI,-869.652033586174,1000.0
ALAD_R,-1000.0,371.5658712656468
ALAGLN1c,0.0,6.720117764449112e-11
ALAGLNabc,0.0,6.477308689589267e-11
ALAGLU1c,0.0,8.140107732386514e-11
ALAGLUabc,0.0,8.57957460382294e-11
ALAGLY1c,0.0,8.522377439797441e-11
ALAGLYabc,0.0,8.272158258555944e-11
ALAHIS1c,6.934713438037493,6.934713438070583
ALAHISabc,6.934713438038605,6.934713438070622
ALALEU1c,0.0,1.0195477446113428e-10
ALALEUabc,0.0,8.899138036637976e-11
ALAPGPL,0.15800480002466638,0.15800480002467063
ALAR,-385.7921650184951,985.7737062475637
ALATA_D,-397.2787465272514,974.2871247387452
ALATHR1c,18.466264197581484,18.466264197855338
ALATHRabc,18.466264197585964,18.466264197854642
ALCD19,-1.3602344758097155e-09,1.7380384916614186e-10
ALCD2x,808.8384186572713,808.8384186600389
ALCD4,0.0,0.0
AMANAPEr,0.0,3.9408282268731626e-11
AMANK,0.0,3.9104241761763174e-11
AMETDNAMT,0.0,0.0
AMMQLT8,0.2709091158783939,0.27090911587840116
AMPTASECG,0.0,1.2381493552734635e-10
AMPTASEGC,0.0,1.1219362340425811e-10
ANPRT,4.129647049149669,4.129647049149776
ANS,0.0,4.129647049149795
ANS2,0.0,4.129647049149795
APAT,0.0,0.0
APRAUR,0.0,0.0
ARABASE3e,0.0,333.33333333336253
ARAI,0.0,9.362314468149304e-11
ARBTpts,0.0,1.5585000821602045e-10
ARBabc,0.0,9.11897830609812e-11
ARGDA,820.5506859013128,820.5506859017163
ARGSL,0.0,5.082706663524063e-11
ARGSS,0.0,5.299938713089319e-11
ARSENBabc,0.0,0.0
