,minimum,maximum
12DGR180ti,1.0568900147679106,1.0568900147678872
23DHMPO,-6.68062033250629e-12,0.0
2AHBUTI,5.124270470229614e-15,-1.92384068081819e-11
2MBCOATA,2.11378002953582,2.11378002953479
3HAD10M12,2.1137800295358193,2.113780029535425
3HAD11M12,2.1137800295358193,2.1137800295354254
3HAD12M14,2.1137800295358193,2.1137800295346816
3HAD13M14,2.1137800295358193,2.1137800295354254
3HAD14M16,2.1137800295358193,2.1137800295358056
3HAD15M16,2.1137800295358193,2.113780029535809
3HAD4M6,2.1137800295358193,2.113780029535809
3HAD5M6,2.1137800295358184,2.1137800295358278
3HAD6M8,2.1137800295358193,2.1137800295357816
3HAD7M8,2.1137800295358184,2.1137800295357776
3HAD8M10,2.1137800295358193,2.113780029535778
3HAD9M10,2.1137800295358193,2.113780029535821
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.1137800295358193,2.113780029535821
3OAR11M12,2.1137800295358193,2.113780029535821
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.1137800295358193,2.113780029535821
3OAR13M14,2.1137800295358193,2.113780029535821
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,2.1137800295358193,2.113780029535821
3OAR15M16,2.1137800295358193,2.113780029535821
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.1137800295358193,2.113780029535821
3OAR5M6,2.1137800295358184,2.1137800295358202
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.1137800295358193,2.113780029535778
3OAR7M8,2.1137800295358184,2.1137800295358202
3OAR80,0.0,0.0
3OAR8M10,2.1137800295358193,2.113780029535778
3OAR8M9,0.0,0.0
3OAR9M10,2.113780029535819,2.1137800295358202
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.113780029535819,2.113780029535778
3OAS11M12,2.113780029535819,2.113780029535821
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.113780029535819,2.113780029535821
3OAS13M14,2.113780029535819,2.113780029535821
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,2.1137800295358184,2.1137800295358202
3OAS4M3O6,2.113780029535819,2.113780029535778
3OAS4M5,0.0,0.0
3OAS4M6,2.113780029535819,2.113780029535821
3OAS5M6,2.1137800295358184,2.1137800295358202
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,2.113780029535819,2.113780029535778
3OAS7M8,2.1137800295358184,2.1137800295358202
3OAS80,0.0,0.0
3OAS8M10,2.113780029535819,2.113780029535778
3OAS8M9,0.0,0.0
3OAS9M10,2.113780029535819,2.113780029535821
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.4635184068983914e-12
5DOAN,0.0,-3.310179462237282e-12
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,5.327610331465022e-26
ACALD,-0.5673538057854124,45.97103072127209
ACALDt,-1000.0,-953.4616154728966
ACBIPGT,0.07683743263356574,0.07683743263356814
ACCOACL,25.365360354429825,25.365360354428976
ACGAMT,0.1344437946096106,0.13444379460960706
ACGApts,0.0,0.0
ACGK,6.1216840402714885,6.121684040271282
ACGS,-7.10825282229563e-16,0.0
ACHBPL,0.0,-3.1026590226246116e-11
ACKr,0.0,-2.7483846645171996e-11
ACLS_a,0.0,137.97281295049945
ACLS_b,-137.97281295050942,-9.17178464084039e-12
ACOAAGPAT140,0.0,-1.2099075267111155e-11
ACOAAGPAT160,0.0,-4.145013970463031e-12
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,-5.615206578722718e-13
ACOAAGPATAI17,1.0568900147679094,1.0568900147678995
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.0568900147679094,1.0568900147678926
ACOATA,0.0,0.0
ACONTa,17.692274826367058,17.69227482630688
ACONTb,17.69227482636721,17.692274826310786
ACOTA,-6.121684040271439,-6.1216840402714885
ACPS1,0.07683743263356554,0.07683743263356582
ACYP,0.0,2.927036813796776e-11
