,minimum,maximum
15DAPtex,-446.85908194933864,1.3452270178776717e-11
15DAPtpp,0.0,945.5492527993609
1HIBUPGLU_St2pp,0.0,1000.0000000000001
1HIBUPGLU_Stex,0.0,999.9999999999999
1HIBUP_S_GLCAASE,0.0,999.9999999999999
1HIBUP_Stepp,0.0,1000.0
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASE,0.0,1000.0000000000008
1HMDGLUCt2pp,0.0,999.9999999999999
1HMDGLUCtex,0.0,999.9999999999999
1OHMDZtepp,0.0,1000.0
1OHMDZtex,-1000.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDGLCNtex,-1000.0000000000001,2.9569209579034193e-11
2DDPENGAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DH3DGLCA,-8.496770200318734e-12,0.0
2DHPL,-1.1985677170820543e-11,1000.0000000000001
2DMMQ8abcpp,0.0,7.891761318508843e-12
2DMMQ8tex,0.0,1.1062928722497315e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,1000.0
2HATVACIDGLUCt2pp,0.0,999.9999999999999
2HATVACIDGLUCtex,0.0,999.9999999999999
2HATVACIDtepp,0.0,1000.0
2HATVACIDtex,-1000.0,0.0
2HATVLACGLUC_GLCAASE,0.0,1000.0
2HATVLACGLUCt2pp,0.0,999.9999999999999
2HATVLACGLUCtex,0.0,999.9999999999999
2HATVLACtepp,0.0,1000.0
2HATVLACtex,-1000.0,0.0
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,999.9999999999998
2HIBUPGLU_Stex,0.0,999.9999999999999
2HIBUP_S_GLCAASE,0.0,999.9999999999999
2HIBUP_Stepp,0.0,1000.0
2HIBUP_Stex,-1000.0,0.0
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,11.555737072268107,11.555737072288208
2OBUTt2rpp,-399.00893607620367,1000.0
2OBUTtex,-399.0089360761609,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0
2OH_CBZ_GLCt2pp,0.0,999.9999999999999
2OH_CBZ_GLCtex,0.0,999.9999999999999
2OH_CBZtepp,0.0,1000.0
2OH_CBZtex,-1000.0,0.0
2OH_MTZ_GLC_GLCAASE,0.0,1000.0
2OH_MTZ_GLCt2pp,0.0,999.9999999999999
2OH_MTZ_GLCtex,0.0,999.9999999999999
2OH_MTZtepp,0.0,1000.0
2OH_MTZtex,-1000.0,-1.8800883259067197e-13
2OMMBOX,1.3355656396287192,1.335565639632226
2OMPHH,1.3355656396288003,1.3355656396322286
2S6HCC,-1000.0000000000001,1.308707004860281e-12
34DHOXPEGOX,0.0,0.0
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,999.9999999999999
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,57.8874859275581,57.88748592759269
3HAD10M12,11.555737072268096,11.555737072284865
3HAD11M12,11.555737072268096,11.555737072288203
3HAD120,57.8874859275594,57.88748592759066
3HAD12M14,11.55573707226809,11.555737072284707
3HAD13M14,11.55573707226809,11.555737072286872
3HAD140,15.76763778018473,15.76763778021758
3HAD14M16,11.555737072268093,11.55573707226811
3HAD15M16,11.555737072268093,11.555737072268109
3HAD160,11.555737072254724,11.555737072268107
3HAD180,11.555737072254175,11.555737072268117
3HAD40,57.887485927560185,57.88748592759983
3HAD4M6,11.555737072268107,11.555737072285623
3HAD5M6,11.555737072268107,11.555737072285423
3HAD60,57.88748592756063,57.88748592758928
3HAD6M8,11.555737072268103,11.55573707228408
3HAD7M8,11.555737072268103,11.555737072283605
3HAD80,57.88748592756062,57.88748592759064
3HAD8M10,11.5557370722681,11.555737072285616
3HAD9M10,11.5557370722681,11.5557370722836
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HIBUPGLU_St2pp,0.0,999.9999999999998
3HIBUPGLU_Stex,0.0,999.9999999999999
3HIBUP_S_GLCAASE,0.0,999.9999999999999
3HIBUP_Stepp,0.0,1000.0
3HIBUP_Stex,-1000.0,0.0
3HPCOAHL,0.0,0.0
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MEACMPtepp,0.0,999.9999999999999
3MEACMPtex,-1000.0000000000002,0.0
3MOBS,-446.859081949353,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,57.88748592756033,57.88748592759015
3OAR10M11,0.0,0.0
3OAR10M12,11.555737072268096,11.555737072285124
3OAR11M12,11.555737072268096,11.555737072281627
3OAR120,57.88748592756031,57.887485927585956
3OAR12M13,0.0,0.0
3OAR12M14,11.555737072268093,11.55573707227868
3OAR13M14,11.555737072268093,11.555737072290249
3OAR140,49.463516298085345,49.463516298113404
3OAR14M15,0.0,0.0
3OAR14M16,11.555737072268093,11.555737072268105
3OAR15M16,11.555737072268093,11.555737072268109
3OAR160,11.555737072255416,11.555737072268107
3OAR180,11.555737072253203,11.555737072268107
3OAR40,57.88748592755986,57.88748592758741
3OAR4M5,0.0,0.0
3OAR4M6,11.555737072268109,11.555737072278696
3OAR5M6,11.555737072268109,11.555737072290265
3OAR60,57.88748592756013,57.88748592758829
3OAR6M7,0.0,0.0
3OAR6M8,11.555737072268105,11.555737072281909
3OAR7M8,11.555737072268105,11.555737072285762
3OAR80,57.88748592756011,57.887485927588486
3OAR8M10,11.555737072268101,11.555737072284785
3OAR8M9,0.0,0.0
3OAR9M10,11.555737072268101,11.555737072285392
3OAS100,57.88748592756009,57.88748592758624
3OAS10M11,0.0,0.0
3OAS10M12,11.555737072268093,11.55573707228823
3OAS11M12,11.555737072268093,11.555737072285385
3OAS120,57.88748592756008,57.887485927586226
3OAS12M13,0.0,0.0
3OAS12M14,11.555737072268093,11.555737072268112
3OAS13M14,11.555737072268093,11.555737072268103
3OAS140,49.46351629808487,49.463516298111
3OAS160,11.555737072254553,11.555737072268105
3OAS180,11.555737072254553,11.555737072268101
3OAS2M3,0.0,0.0
3OAS3M4,11.555737072268109,11.555737072268114
3OAS4M3O6,11.555737072268109,11.555737072268123
3OAS4M5,0.0,0.0
3OAS4M6,11.555737072268103,11.555737072268117
3OAS5M6,11.555737072268103,11.555737072268116
3OAS60,57.88748592756095,57.8874859275795
3OAS6M7,0.0,0.0
3OAS6M8,11.555737072268101,11.555737072268114
3OAS7M8,11.555737072268101,11.555737072268116
3OAS80,57.887485927560924,57.887485927579355
3OAS8M10,11.555737072268096,11.55573707226811
3OAS8M9,0.0,0.0
3OAS9M10,11.555737072268096,11.555737072268114
3OH_CBZ_GLC_GLCAASE,0.0,1000.0
3OH_CBZ_GLCt2pp,0.0,999.9999999999999
3OH_CBZ_GLCtex,0.0,999.9999999999999
3OH_CBZtepp,0.0,1000.0
3OH_CBZtex,-1000.0,0.0
3OH_DLOR_GLC_GLCAASE,0.0,1000.0
3OH_DLOR_GLCt2pp,0.0,999.9999999999999
3OH_DLOR_GLCtex,0.0,999.9999999999999
3OH_DLORtepp,0.0,1000.0
3OH_DLORtex,-1000.0,0.0
3OH_MDEA_GLC_GLCAASE,0.0,1000.0
3OH_MDEA_GLCt2pp,0.0,999.9999999999999
3OH_MDEA_GLCtex,0.0,999.9999999999999
3OH_MDEAtepp,0.0,1000.0
3OH_MDEAtex,-1000.0,0.0
3OH_MXN_GLC_GLCAASE,0.0,1000.0
3OH_MXN_GLCt2pp,0.0,999.9999999999999
3OH_MXN_GLCtex,0.0,999.9999999999999
3OH_MXNtepp,0.0,1000.0
3OH_MXNtex,-1000.0,0.0
3OXCOAT,0.0,995.9933030811087
3SCITMCOAHL,0.0,0.0
4ABUTtex,-1000.0,1000.0000000000011
4ABZt2pp,4.006696918894202,4.006696918900945
4ABZtex,4.006696918893619,4.006696918901012
4DH_TPNO_1GLC_GLCAASE,0.0,999.9999999999999
4DH_TPNO_1GLCt2pp,0.0,999.9999999999999
4DH_TPNO_1GLCtex,0.0,999.9999999999999
4DH_TPNOtepp,0.0,1000.0
4DH_TPNOtex,-1000.0,0.0
4FCHDCOR,0.0,0.0
4GBTAH,-446.8590819493502,446.8590819493242
4HBZCL,0.0,0.0
4HMDGLUC_GLCAASE,0.0,999.9999999999999
4HMDGLUCt2pp,0.0,999.9999999999999
4HMDGLUCtex,0.0,999.9999999999999
4HOXPACDt2rpp,0.0,0.0
4HOXPACDtex,0.0,0.0
4HTHDR,0.3038106101917906,0.3038106101977141
4HTHDS,0.3038106101917907,0.30381061019799227
4HTHRS,0.0,0.0
