,minimum,maximum
15DAPtex,-340.78128373007877,3.234665096960279e-11
15DAPtpp,0.0,951.2558797754085
1HIBUPGLU_St2pp,0.0,1000.0
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0000000000001
1HIBUP_Stepp,0.0,1000.0
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASE,0.0,999.9999999999999
1HMDGLUCt2pp,0.0,1000.0
1HMDGLUCtex,0.0,1000.0000000000001
1OHMDZtepp,0.0,1000.0000000000001
1OHMDZtex,-1000.0,-2.728847212994719e-12
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0000000000001,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0000000000001
2DDGLCNtex,-1000.0,3.249946464713415e-11
2DDPENGAL,0.0,0.0
2DH3DGLCA,-1.6497502200716323e-11,0.0
2DHPL,-2.038815974117226e-11,999.9999999999999
2DMMQ8abcpp,0.0,1.3094253483769433e-11
2DMMQ8tex,0.0,1.512987491520881e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,999.9999999999995
2HATVACIDGLUCt2pp,0.0,1000.0
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0
2HATVACIDtex,-1000.0,-1.1368683772161603e-13
2HATVLACGLUC_GLCAASE,0.0,999.9999999999999
2HATVLACGLUCt2pp,0.0,1000.0
2HATVLACGLUCtex,0.0,1000.0000000000001
2HATVLACtepp,0.0,1000.0000000000001
2HATVLACtex,-1000.0,0.0
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000002
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0000000000001
2HIBUP_Stepp,0.0,1000.0
2HIBUP_Stex,-1000.0,-2.367328656251301e-14
2HYOXPLACt2rpp,-340.78128372992643,0.0
2HYOXPLACtex,-340.7812837299445,0.0
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.54673184281184,14.546731842811866
2OBUTt2rpp,-283.441794337422,999.9999999999999
2OBUTtex,-283.4417943373976,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,999.9999999999999
2OH_CBZ_GLCt2pp,0.0,1000.0
2OH_CBZ_GLCtex,0.0,1000.0000000000001
2OH_CBZtepp,0.0,1000.0000000000001
2OH_CBZtex,-1000.0,0.0
2OH_MTZ_GLC_GLCAASE,0.0,999.9999999999999
2OH_MTZ_GLCt2pp,0.0,1000.0
2OH_MTZ_GLCtex,0.0,1000.0000000000001
2OH_MTZtepp,0.0,1000.0000000000001
2OH_MTZtex,-1000.0,0.0
2OMMBOX,0.5287842218132264,0.5287842218170903
2OMPHH,0.5287842218131178,0.5287842218170896
2S6HCC,-1000.0,2.1784209311145858e-12
34DHOXPEGOX,0.0,0.0
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,5.613167551036334e-12
3HACPR2,0.0,5.715421020873989e-12
3HAD100,61.55345478892978,61.5534547889937
3HAD10M12,14.546731842811841,14.54673184281189
3HAD11M12,14.546731842811841,14.5467318428119
3HAD120,61.55345478893404,61.55345478899849
3HAD12M14,14.546731842811841,14.546731842811889
3HAD13M14,14.546731842811841,14.546731842811896
3HAD140,18.81781925499719,965.8114915728503
3HAD14M16,14.546731842811841,14.546731842811896
3HAD15M16,14.546731842811841,14.546731842811896
3HAD160,14.546731842797431,14.546731842811901
3HAD180,14.546731842796884,14.546731842811901
3HAD40,61.55345478893045,61.553454788973006
3HAD4M6,14.546731842811841,14.5467318428119
3HAD5M6,14.546731842811841,14.546731842811866
3HAD60,61.55345478893101,61.553454788964004
3HAD6M8,14.546731842811841,14.5467318428119
3HAD7M8,14.546731842811841,14.54673184281187
3HAD80,61.55345478893103,61.55345478896401
3HAD8M10,14.546731842811841,14.5467318428119
3HAD9M10,14.546731842811841,14.546731842811871
