,minimum,maximum
15DAPtex,-344.6127772894231,3.1440259674912454e-11
15DAPtpp,0.0,951.5002856076321
1H2NPTH,0.0,0.0
1HIBUPGLU_St2pp,0.0,1000.0
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0
1HIBUP_Stepp,0.0,1000.0
1HIBUP_Stex,-1000.0,-1.1368683772161603e-13
1HMDGLUC_GLCAASE,0.0,999.9999999999993
1HMDGLUCt2pp,0.0,1000.0000000000002
1HMDGLUCtex,0.0,1000.0000000000002
1OHMDZtepp,0.0,1000.0000000000001
1OHMDZtex,-1000.0,-1.204321317540519e-13
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,999.9999999999999
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0
2DDGLCNtex,-1000.0,4.5361048250924796e-11
2DDPENTHL,0.0,0.0
2DH3DGLCA,-2.1390738466230985e-11,0.0
2DHPL,-2.795977301608102e-11,999.9999999999994
2DMMQ8abcpp,0.0,2.6218360099350205e-11
2DMMQ8tex,0.0,2.2825302132001624e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,1000.0
2HATVACIDGLUCt2pp,0.0,1000.0
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0
2HATVACIDtex,-1000.0,-6.718668460033469e-14
2HATVLACGLUC_GLCAASE,0.0,1000.0000000000002
2HATVLACGLUCt2pp,0.0,1000.0000000000002
2HATVLACGLUCtex,0.0,1000.0000000000002
2HATVLACtepp,0.0,1000.0000000000001
2HATVLACtex,-1000.0,0.0
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0
2HIBUP_Stepp,0.0,1000.0
2HIBUP_Stex,-1000.0,-1.9356905343561375e-13
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.473793689744028,14.473793689794311
2OBUTt2rpp,-309.8016926986733,1000.0
2OBUTtex,-309.8016926986811,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0000000000002
2OH_CBZ_GLCt2pp,0.0,1000.0000000000002
2OH_CBZ_GLCtex,0.0,1000.0000000000002
2OH_CBZtepp,0.0,1000.0000000000001
2OH_CBZtex,-1000.0,-1.3411152145434444e-13
2OH_MTZ_GLC_GLCAASE,0.0,1000.0000000000002
2OH_MTZ_GLCt2pp,0.0,1000.0000000000002
2OH_MTZ_GLCtex,0.0,1000.0000000000002
2OH_MTZtepp,0.0,1000.0000000000001
2OH_MTZtex,-1000.0,-1.6093382574521332e-12
2OMMBOX,0.5261328672023199,0.5261328672085431
2OMPHH,0.526132867203288,0.526132867208543
2S6HCC,-1000.0,1.5294553644438918e-12
34DHOXPEGOX,0.0,0.0
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,-1.6039584406726764e-13,-1.6039584406726764e-13
3HACPR2,-1.6039584406726764e-13,-1.6039584406726764e-13
3HAD100,61.24482221386771,61.2448222139422
3HAD10M12,14.47379368974403,14.473793689792322
3HAD11M12,14.47379368974403,14.473793689796775
3HAD120,61.24482221386821,61.24482221394242
3HAD12M14,14.47379368974403,14.473793689793203
3HAD13M14,14.47379368974403,14.473793689788979
3HAD140,18.723465623113015,965.9829147273958
3HAD14M16,14.47379368974403,14.473793689744065
3HAD15M16,14.47379368974403,14.473793689744095
3HAD160,14.473793689718283,14.473793689744095
3HAD180,14.473793689721774,14.473793689744095
3HAD40,61.24482221386657,61.244822213955
3HAD4M6,14.47379368974403,14.473793689768273
3HAD5M6,14.47379368974403,14.473793689798129
3HAD60,61.24482221386821,61.24482221394882
3HAD6M8,14.47379368974403,14.473793689768273
3HAD7M8,14.47379368974403,14.473793689798129
3HAD80,61.244822213868225,61.24482221394882
3HAD8M10,14.47379368974403,14.473793689768273
3HAD9M10,14.47379368974403,14.473793689798129
