,minimum,maximum
15DAPtex,-344.517640513111,4.092521363780883e-12
15DAPtpp,0.0,951.4932453323327
1HIBUPGLU_St2pp,0.0,1000.0000000000001
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0000000000001
1HIBUP_Stepp,0.0,1000.0000000000001
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASE,0.0,1000.0000000000001
1HMDGLUCt2pp,0.0,1000.0000000000005
1HMDGLUCtex,0.0,1000.0000000000005
1OHMDZtepp,0.0,1000.0000000000002
1OHMDZtex,-1000.0,1.7387389021991252e-12
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0000000000001,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0000000000005
2DDGLCNtex,-1000.0,-8.191311909196655e-12
2DDPENGAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DH3DGLCA,-3.2326347386257307e-12,0.0
2DHPL,-5.370322856930402e-12,1000.0000000000027
2DMMQ8abcpp,0.0,7.334930229958537e-13
2DMMQ8tex,0.0,-4.267778291646711e-12
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,999.9999999999994
2HATVACIDGLUCt2pp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0000000000001
2HATVACIDtex,-1000.0,-7.958078640513122e-12
2HATVLACGLUC_GLCAASE,0.0,1000.0
2HATVLACGLUCt2pp,0.0,1000.0000000000005
2HATVLACGLUCtex,0.0,1000.0000000000005
2HATVLACtepp,0.0,1000.0000000000002
2HATVLACtex,-1000.0,-2.301095599454503e-13
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000001
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0000000000001
2HIBUP_Stepp,0.0,1000.0000000000001
2HIBUP_Stex,-1000.0,-5.649649611343996e-13
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.475894722570487,14.475894722568373
2OBUTt2rpp,-309.7015027046402,1000.0
2OBUTtex,-309.701502704606,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0
2OH_CBZ_GLCt2pp,0.0,1000.0000000000005
2OH_CBZ_GLCtex,0.0,1000.0000000000005
2OH_CBZtepp,0.0,1000.0000000000002
2OH_CBZtex,-1000.0,-2.4669107062690683e-13
2OH_MTZ_GLC_GLCAASE,0.0,1000.0
2OH_MTZ_GLCt2pp,0.0,1000.0000000000005
2OH_MTZ_GLCtex,0.0,1000.0000000000005
2OH_MTZtepp,0.0,1000.0000000000002
2OH_MTZtex,-1000.0,0.0
2OMMBOX,0.5262092412710911,0.5262092412711251
2OMPHH,0.5262092412711555,0.5262092412711252
2S6HCC,-1000.0,-9.426781104271383e-14
34DHOXPEGOX,0.0,0.0
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,61.2537125839463,61.25371258394178
3HAD10M12,14.475894722570464,14.475894722566984
3HAD11M12,14.475894722570509,14.475894722564774
3HAD120,61.25371258394246,61.25371258394024
3HAD12M14,14.475894722570509,14.475894722567029
3HAD13M14,14.475894722570509,14.475894722564774
3HAD140,18.726183543314153,965.9779767674971
3HAD14M16,14.475894722570509,14.475894722570503
3HAD15M16,14.475894722570509,14.475894722570514
3HAD160,14.475894722572246,14.475894722570514
3HAD180,14.475894722572248,14.47589472257051
3HAD40,61.25371258394124,61.25371258393903
3HAD4M6,14.47589472257047,14.475894722575257
3HAD5M6,14.475894722570509,14.475894722562115
3HAD60,61.2537125839422,61.253712583941585
3HAD6M8,14.475894722570466,14.475894722575253
3HAD7M8,14.475894722570509,14.475894722562115
3HAD80,61.2537125839422,61.25371258394159
3HAD8M10,14.475894722570466,14.475894722575251
3HAD9M10,14.475894722570509,14.475894722562115
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HIBUPGLU_St2pp,0.0,1000.0000000000001
3HIBUPGLU_Stex,0.0,1000.0000000000001
3HIBUP_S_GLCAASE,0.0,1000.0000000000001
3HIBUP_Stepp,0.0,1000.0000000000001
3HIBUP_Stex,-1000.0,1.0102497588384275e-13
3HPCOAHL,0.0,0.0
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MEACMPtepp,0.0,1000.0
3MEACMPtex,-1000.0,0.0
3MOBS,-344.51764051315376,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,61.25371258394091,61.25371258394038
3OAR10M11,0.0,0.0
3OAR10M12,14.47589472257035,14.475894722570631
3OAR11M12,14.475894722570507,14.475894722566814
3OAR120,61.25371258393998,61.253712583940825
3OAR12M13,0.0,0.0
3OAR12M14,14.475894722570507,14.47589472256971
