,minimum,maximum
3HBCOAE,-938.9481389964099,1000.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
4HTHDR,-1000.0,0.0
4HTHDS,-1000.0000000000001,0.0
4HTHRS,0.0,-8.473600922076884e-10
5AIZCDC,5.12747917496734e-10,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,-3.1076363711293104e-09
AB6PGH2,0.0,-3.1066556139972525e-09
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000002
ABUTR,-1000.0,-1.1368683772161603e-13
ACACCTr,0.0,0.0
ACACT1r,61.05186100363325,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACGAMT,0.2736917998951559,0.2736917998950751
ACKr,-1000.0000000000002,-1000.0000000015281
ACOAD1i,0.0,938.948138996383
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACONTa,-522.2004663986465,30.536286131606325
ACONTb,-522.2004663986428,30.536286131608303
ACPS1,0.39449404616117206,0.394494046161056
ACS,0.0,-7.699053064031397e-10
ACtr,-949.3176736884539,-10.369534693650166
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.4065969779683
ADK11,-1000.0,1000.0
ADK2,0.0,-3.4150141481460283e-10
ADK3,-1000.0,989.4372544558736
ADK5,-1000.0,936.8913082466888
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADNCYC,0.0,0.0
ADPRDP,0.0,0.0
ADPT,10.369534692116977,10.369534691570793
AEPPT,0.0,0.0
AGDC,0.0,0.0
AHCYSNS_r,0.0,0.0
AHEXASE3,0.0,0.0
AICART,0.0,-1.8717364604300722e-10
AIRC4,0.0,-7.792346713259478e-10
ALAALA,4.67145125269554,4.671451252694155
ALAASP1c,0.0,-1.5349460835312928e-09
ALAASPabc,0.0,-1.5536314665371679e-09
ALAD_R,-18.303485144572367,534.4332673846455
ALAGLN1c,0.0,368.4911683545363
ALAGLNabc,0.0,368.4911683545313
ALAGLU1c,0.0,552.7367525317978
ALAGLUabc,0.0,552.7367525318078
ALAGLY1c,0.0,-1.0300122458105495e-09
ALAGLYabc,0.0,-1.033697066724598e-09
ALAHIS1c,4.678876999394976,4.6788769992029415
ALAHISabc,4.6788769993948245,4.678876999202952
ALALEU1c,0.0,-1.5394364182466666e-09
ALALEUabc,0.0,-1.5330527582823724e-09
ALAPGPL,0.09123059996505196,0.09123059996502533
ALAR,13.448279503818414,13.448279503814476
ALATHR1c,12.459594397998291,12.459594396450687
ALATHRabc,12.459594397998536,12.459594396444677
ALCD19,0.0,0.0
ALCD2x,0.0,0.0
ALCD4,0.0,0.0
ALDD2x,10.369534692105223,10.369534691326228
AMALT1,0.0,0.0
AMALT2,0.0,-3.8373293115787326e-10
AMALT3,0.0,-3.8809539458059864e-10
AMALT4,0.0,-2.587302630537324e-10
AMANAPEr,0.0,0.0
AMPTASECG,0.0,4.4948498252119755
AMPTASEGC,0.0,4.494849825211499
AMY1e,0.0,124.99999999961385
AOBUTDs,0.0,0.0
ARBTpts,0.0,-3.090530857920147e-09
ARGabc,14.56204044957117,14.562040449566855
ASAD,6.206995256368406e-10,0.0
ASNS1,0.0,-1.0188070543055165e-09
ASNS2,0.0,-1.0364914250916368e-09
ASPCT,0.0,-3.1135341996194576e-10
ASPKi,0.0,-6.17450417533651e-10
ASPTA,-2.733887080975923,988.1450735312358
ATPPRT,0.0,-1.8965052563366737e-10
ATPS4,444.3173488678262,997.0541013980798
BAICDH1,-1000.0000000000001,1000.0000000000003
BAICDH2,-1000.0000000000008,1000.0
BAICDH3,-999.9999999999999,1000.0
BAICDH4,-1000.0,1000.0
BAICDH5,-1000.0,1000.0
BAICDH6,-1000.0,1000.0
BGLA,0.0,0.0
BGLA1,0.0,-1.5518108830625817e-09
BPNT,0.3944940461611721,0.3944940461610553
BTCOAACCOAT,61.05186100360954,1000.0
BTCOADH,61.05186100365208,61.051860997443086
BUTt2r,-999.9999999999999,-61.05186100361468
CA2abc,0.394494046161172,0.3944940461610552
CAP_NR,-999.9999999999999,999.9999999999999
CBPS,0.0,0.0
CD2abc1,0.0,0.0
CDPGLYCGPT,0.2736917998951559,0.27369179989507775
CDPMEK,51.38596377965094,51.38596377963574
CELBpts,0.0,-1.5570235625484612e-09
CGLYabc,0.0,4.494849825211047
CHORM,0.0,0.0
CHORS,0.0,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.0,0.0
CLPNSAI15,0.0,0.0
CLPNSAI17,0.0,0.0
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.0,0.0
CMPSAS,0.0,0.0
CO2t,-1000.0,-1000.0000000030284
CPPPGO,0.0,0.0
CRO4t3,0.0,0.0
CTPS2,7.1543278965950705,7.1543278962067856
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYSTL,0.0,-1.5561005656536211e-09
CYSTS,0.0,-1.5544371802479245e-09
CYTD,0.0,-3.8860899666817435e-10
CYTDK1,0.0,-7.77906226118276e-10
CYTDK2,0.0,-7.791700540788351e-10
CYTDK3,0.0,-7.812529030035531e-10
CYTDK4,0.0,-7.777724347196501e-10
CYTK1,63.70209477532102,63.702094774665156
CYTK2,3.326475195496251e-10,0.0
CZP_NR,-1000.0,1000.0
Coabc,0.394494046161172,0.39449404616105466
Cuabc,0.394494046161172,0.3944940457663966
Cut1,0.0,-3.904926429979785e-10
DADNt2r,10.369534692105267,10.369534691914131
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DAPDC,16.849372435405915,16.84937243540092
DAPE,0.0,0.0
DAPMDH,0.0,-7.835634078290047e-10
DAPabc,21.520823688101455,21.5208236873202
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,0.0,0.0
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DCMPDAi,0.0,-3.348226727158076e-10
DCYTD,0.0,-3.3493771592397045e-10
DDPA,0.0,-4.0775109809659915e-10
DDPGA,0.0,0.0
DFDCYTDD,0.0,-1.034793234333889e-09
DFDCYTDabc,0.0,-1.0388687377138028e-09
DFDURIte,0.0,-1.038868737713803e-09
DGK1,4.249100626724675e-10,0.0
DHAK,0.0,-2.0775552815232896e-09
DHAPT,0.0,-2.080186779990402e-09
DHDPRy,0.0,1000.0
DHDPS,0.0,1000.0
DHFS,0.0,-4.453002412085419e-10
DHORDfum,0.0,0.0
DHORDi,0.0,-3.089922760463185e-10
DHORTS,0.0,-2.3660150024434155e-16
DHQS,0.0,0.0
DMATT,4.671451252695545,4.671451252694184
DMPPS,0.0,1000.0
DMPPS2r,-995.3285487473045,4.671451252694274
DM_HQN,0.0,-3.078872836493323e-09
DM_NA1,1000.0000000030934,1000.0
DM_atp_c_,0.0,-7.725375855416852e-10
DM_dhptd(c),0.0,0.0
DPCOAK,0.788988092322388,0.788988092322083
DPCOAti,0.7889880924741518,0.7889880923220698
DRBK,0.0,0.0
DRPAr,10.369534692104851,10.36953469153727
DTMPK,0.5934030220318193,0.5934030218587136
DURIK1,0.0,-7.750321356551659e-10
DURIPP,0.0,-5.846741487920754e-10
DUTPDP,0.0,-5.177575388271733e-10
DXPRIr,51.385963779650865,51.38596377963579
DXPS,51.38596377965087,51.385963779636256
E4PD,0.0,0.0
ECOAH1,-938.9481389963624,1000.0
ECOAH1R,-938.9481389963759,1000.0
EDA_R,0.0,0.0
EHGLAT,0.0,0.0
ENO,1000.0000000020683,1000.0000000000001
EX_26dap_M(e),-21.520823687326857,-21.520823688101455
EX_7a_czp(e),-999.9999999999998,999.9999999999998
EX_ac(e),10.369534693643876,949.3176736884548
EX_alaasp(e),1.5380389224357127e-09,0.0
EX_alagln(e),-368.49116835453356,0.0
EX_alaglu(e),-552.7367525318,0.0
EX_alagly(e),1.0437918283808068e-09,0.0
EX_alahis(e),-4.678876999202951,-4.678876999395309
EX_alaleu(e),1.5439267529620162e-09,0.0
EX_alathr(e),-12.459594396448102,-12.45959439800002
EX_anzp(e),-999.9999999999995,999.9999999999998
