,minimum,maximum
15DAPtex,2.1996023293296313e-09,0.0
15DAPtpp,0.0,-2.0490136851847813e-09
26DAP_Mtex,5.450596913107059,5.450596913106552
2HYDOGCOAD,0.0,-1.1079921787814608e-09
2HYDOGCOAT,0.0,-1.1445149590321434e-09
2HYDOGDH,0.0,-1.144516379927618e-09
2MBCOATA,0.0,-2.8609594233693933e-10
35DACAPDH,0.0,-3.3049788333861775e-10
36DAHXI,0.0,-3.443572801050891e-10
3ABUTCOAL,0.0,-3.4435728010508897e-10
3BTCOAI,0.0,0.0
3HACPR1,0.0,-1.7263357776867513e-11
3HACPR2,0.0,-1.547500204836205e-11
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,-2.3121973867237346e-11
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,-2.401988014550851e-11
3HAD180,0.0,-2.369348593547061e-11
3HAD40,0.0,-2.6265369757839405e-11
3HAD4M5,-1.5975079917453525e-15,3.309902729003739e-31
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3HBCD,0.0,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,11.806758199380969,11.806758199349087
3OAR14M15,0.0,-2.5540885904341542e-11
3OAR14M16,0.0,-2.5247524262191076e-11
3OAR15M16,0.0,-2.687155280940189e-11
3OAR160,0.0,-2.0893944773970598e-11
3OAR180,0.0,-2.1940613151405048e-11
3OAR40,1.7735901544583847e-31,-2.4643260411805654e-11
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,-2.6719610401108474e-11
3OAS12M14,0.0,-2.6764527495558524e-11
3OAS13M14,0.0,-2.741132697003181e-11
3OAS140,11.806758199380967,11.806758199346747
3OAS160,0.0,-2.165047257868692e-11
3OAS180,0.0,-2.1875254552809088e-11
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4HTHRS,0.0,0.0
5A3OHEXCLE,0.0,-2.9100375105367216e-10
5AIZCDC,0.0,-2.884407963769931e-10
7A_CZPtex,-1000.0,841.8140202680456
A5PISO,7.379194404280729,7.379194404261341
AACPS7,14.758447749226212,14.758447749100549
ABTA,0.0,0.0
ACACCTr,1000.0000000022775,1000.0
ACACT1r,499.94988570099497,499.9498856986321
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACACt2pp,-1000.0000000000001,-1000.0000000021657
ACACtex,-1000.0,-1000.0000000023159
ACBIPGT,0.0,-5.751656907987237e-10
ACCOAC,0.0,11.806758199336835
ACCOACL,0.0,11.806758199336345
ACCOAT,0.0,0.0
ACGAMtex,0.0,-5.826561625691298e-10
ACGAptspp,0.0,-5.809018791533723e-10
ACKr,-1000.0000000000001,-1000.0000000007525
ACNML,0.0,0.0
ACOAAGPAT140,0.0,-6.123223086881078e-11
ACOAAGPAT160,0.0,-1.2267886644786804e-10
ACOAAGPAT180,0.0,-6.131977448646727e-11
ACOAAGPATAI15,0.0,-1.4792857784950348e-10
ACOAAGPATAI17,0.0,-6.006436011438678e-11
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,-6.10947280382002e-11
ACOAAGPATI17,0.0,0.0
ACOAD1i,0.0,253.30060301384862
ACOAD20,0.0,-1.4788059249509353e-11
ACOADH2,0.0,0.0
ACOATA,0.0,-2.6640636331709022e-11
ACODAr,0.0,0.0
ACONT,0.9205824552245516,0.9205824533744956
ACPS1,0.4602912272721386,0.46029122727209915
ACS,0.0,-1.887942834163232e-10
ACtex,76.02385609114617,76.02385608644948
ACtrpp,76.02385609116585,76.02385608654554
ADCL,0.0,-2.8584984016846563e-10
ADCPS1,0.0,-5.176351575486579e-11
ADCPS2,0.0,-5.126186842390683e-11
ADCS,0.0,-1.3095041231941456e-10
ADCYRS,0.0,-5.14627232642035e-11
ADK1,-802.3892089308091,1000.0
ADK10,-4.104356765895434,-3.6440655386236123
ADK11,1.548416707054551e-10,2.168250234033162
ADK2,0.0,-1.0184351817785982e-10
ADK3,-32.720898245657224,-13.245075453059421
ADK5,-78.7721826630337,-74.99097398574742
ADK7,-816.3266603731012,986.0625485581622
ADK8,-0.6923759887783052,2.1682502340331626
ADK9,-0.6923759886914467,0.0
ADNCNT3tcpp,49.3648460725954,1000.0000000000002
ADNtex,49.364846072584506,1000.0
ADOCBIK,0.0,-1.5911830894209866e-10
ADOCBIK2,0.0,-1.6114581066630086e-10
ADOCBLS,0.0,-1.2759896602740247e-10
ADOCBLabcpp,1.0903378438495683e-10,0.0
ADOCBLtex,1.1013474123883507e-10,0.0
ADPRDP,0.0,0.0
ADPT,13.019639198842247,13.019639198530744
ADSL1r,5.728541517966397e-14,-2.734538558948804e-10
ADSL2r,0.0,-1.4703234779341895e-10
