,minimum,maximum
23DHMPO,1.3727772080965415e-11,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,1.8410483692450972,1.8410483695039894
26DAPt2rpp,1.8410483692450972,1.8410483696019413
2AHBUTI,0.0,2.7443165517298233e-11
2MBCOATA,6.270355614960409,6.270355614965437
3CARLPDH,0.0,0.0
3HAD10M12,6.270355614960394,6.270355614965234
3HAD11M12,6.270355614960394,6.2703556149651485
3HAD12M14,6.270355614960392,6.2703556149652675
3HAD13M14,6.270355614960392,6.2703556149655135
3HAD14M16,6.270355614960391,6.2703556149604385
3HAD15M16,6.270355614960391,6.270355614960414
3HAD4M6,6.270355614960394,6.270355614960421
3HAD5M6,6.270355614960394,6.270355614960422
3HAD6M8,6.270355614960394,6.270355614960413
3HAD7M8,6.270355614960394,6.270355614960424
3HAD8M10,6.270355614960394,6.270355614960416
3HAD9M10,6.270355614960394,6.270355614960416
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.270355614960393,6.270355614960416
3OAR11M12,6.270355614960393,6.270355614960418
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.270355614960392,6.270355614960414
3OAR13M14,6.270355614960392,6.2703556149604145
3OAR140,14.736925661362813,14.736925661362866
3OAR14M15,0.0,0.0
3OAR14M16,6.2703556149603905,6.270355614960413
3OAR15M16,6.2703556149603905,6.270355614960414
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.270355614960408,6.270355614960405
3OAR5M6,6.270355614960393,6.270355614960419
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.270355614960393,6.270355614960421
3OAR7M8,6.270355614960393,6.27035561496042
3OAR80,0.0,0.0
3OAR8M10,6.270355614960393,6.270355614960415
3OAR8M9,0.0,0.0
3OAR9M10,6.270355614960393,6.270355614960418
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.270355614960392,6.270355614960418
3OAS11M12,6.270355614960392,6.270355614960416
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.2703556149603905,6.270355614960416
3OAS13M14,6.2703556149603905,6.270355614960415
3OAS140,14.736925661362815,14.736925661362278
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.270355614960393,6.270355614960421
3OAS4M3O6,6.2703556149604,6.270355614959886
3OAS4M5,0.0,0.0
3OAS4M6,6.270355614960394,6.270355614960421
3OAS5M6,6.270355614960394,6.270355614960421
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.270355614960394,6.270355614960419
3OAS7M8,6.270355614960394,6.270355614960419
3OAS80,0.0,0.0
3OAS8M10,6.270355614960394,6.270355614960419
3OAS8M9,0.0,0.0
3OAS9M10,6.270355614960394,6.270355614960418
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.3660786526444473e-11
5DOAN,0.0,6.203130487452658e-12
5MTHCYST,-6.29264676485926e-12,0.0
A5PISO,9.209511199926503,9.20951119992658
AACOAT,0.0,0.0
ABTOXy,0.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,76.60972446811533,1000.0
ACALDtex,-397.0855508199405,1000.0
ACALDtpp,-397.0855508199913,1000.0
ACBIPGT,0.2279319609518789,0.2279319609518805
ACCOACL,71.56003596415917,71.56003596418417
ACGAMT,0.0,0.0
ACGAMtex,0.0,8.347594740142585e-12
ACGAptspp,0.0,2.062356418476224e-11
ACGK,0.0,2.0623564184762223e-11
ACGS,0.0,2.3255487899315106e-11
