,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.366907748154594,3.366907748154594
34DHOXPEGOX,0.0,0.0
3HAD100,14.24682919118984,14.246829191189775
3HAD10M12,3.3669077481545946,3.3669077481546257
3HAD11M12,3.366907748154573,3.3669077481545813
3HAD120,14.246829191189844,14.24682919119019
3HAD12M14,3.3669077481545986,3.366907748154677
3HAD13M14,3.366907748154573,3.366907748154654
3HAD140,4.355470502769219,4.355470502769325
3HAD14M16,3.3669077481545995,3.3669077481546776
3HAD15M16,3.3669077481545737,3.366907748154655
3HAD160,3.366907748154573,3.366907748154655
3HAD180,3.3669077481545737,3.3669077481546554
3HAD40,14.246829191189834,14.24682919119018
3HAD4M6,3.366907748154596,3.366907748154674
3HAD5M6,3.366907748154573,3.366907748154652
3HAD60,14.246829191189835,14.246829191190184
3HAD6M8,3.3669077481545964,3.366907748154675
3HAD7M8,3.366907748154573,3.3669077481546528
3HAD80,14.246829191189839,14.246829191190185
3HAD8M10,3.3669077481545973,3.3669077481546754
3HAD9M10,3.366907748154573,3.366907748154653
3HPCOAHL,0.0,0.0
3OAR100,14.24682919118984,14.246829191190189
3OAR10M11,0.0,0.0
3OAR10M12,3.3669077481545977,3.3669077481546363
3OAR11M12,3.366907748154573,3.36690774815457
3OAR120,14.246829191189844,14.246829191189835
3OAR12M13,0.0,0.0
3OAR12M14,3.366907748154595,3.3669077481546412
3OAR13M14,3.366907748154573,3.3669077481545973
3OAR140,12.268557453505716,12.268557453505808
3OAR14M15,0.0,0.0
3OAR14M16,3.366907748154596,3.3669077481546523
3OAR15M16,3.3669077481545737,3.366907748154586
3OAR160,3.366907748154573,3.366907748154586
3OAR180,3.3669077481545737,3.3669077481545866
3OAR40,14.246829191189834,14.246829191189889
3OAR4M5,0.0,0.0
3OAR4M6,3.3669077481545924,3.366907748154686
3OAR5M6,3.366907748154573,3.36690774815462
3OAR60,14.246829191189835,14.246829191190049
3OAR6M7,0.0,0.0
3OAR6M8,3.366907748154593,3.3669077481546315
3OAR7M8,3.366907748154573,3.3669077481545653
3OAR80,14.246829191189839,14.246829191189818
3OAR8M10,3.3669077481545937,3.3669077481546323
3OAR8M9,0.0,0.0
3OAR9M10,3.366907748154573,3.3669077481545697
3OAS100,14.24682919118984,14.24682919118983
3OAS10M11,0.0,0.0
3OAS10M12,3.3669077481545946,3.366907748154637
3OAS11M12,3.366907748154573,3.366907748154571
3OAS120,14.246829191189844,14.246829191189834
3OAS12M13,0.0,0.0
3OAS12M14,3.3669077481545955,3.366907748154625
3OAS13M14,3.3669077481545737,3.3669077481545715
3OAS140,12.268557453505718,12.268557453505712
3OAS160,3.366907748154573,3.366907748154571
3OAS180,3.3669077481545737,3.366907748154571
3OAS2M3,0.0,0.0
3OAS3M4,3.366907748154573,3.3669077481545875
3OAS4M3O6,3.366907748154592,3.3669077481546537
3OAS4M5,0.0,0.0
3OAS4M6,3.366907748154593,3.3669077481546874
