,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-999.9999999999999,999.9999999999999
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0000000000002
2CLDHOFAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.366889982408351,3.3668899824114047
2RCDHOFAL,0.0,0.0
34DHOXPEGOX,0.0,0.0
3HAD100,14.246754016706145,14.246754020312904
3HAD10M12,3.366889982408353,3.3668899824113945
3HAD11M12,3.366889982408353,3.3668899824113816
3HAD120,14.246754016706147,14.24675402032858
3HAD12M14,3.366889982408354,3.366889982411398
3HAD13M14,3.366889982408354,3.3668899824114127
3HAD140,4.355447520796084,4.355447520800002
3HAD14M16,3.3668899824083542,3.3668899824113945
3HAD15M16,3.3668899824083542,3.366889982411394
3HAD160,3.366889982408413,3.3668899824114273
3HAD180,3.366889982408354,3.3668899824113954
3HAD40,14.246754016706136,14.246754017910252
3HAD4M6,3.366889982408351,3.3668899824113905
3HAD5M6,3.366889982408351,3.3668899824113905
3HAD60,14.246754016706136,14.246754017910252
3HAD6M8,3.3668899824083516,3.3668899824113914
3HAD7M8,3.3668899824083516,3.3668899824113914
3HAD80,14.246754016706141,14.246754017910254
3HAD8M10,3.3668899824083525,3.366889982411392
3HAD9M10,3.3668899824083525,3.366889982411392
3HPCOAHL,0.0,0.0
3OAR100,14.246754016706147,14.246754017910256
3OAR10M11,0.0,0.0
3OAR10M12,3.3668899824083534,3.3668899824113927
3OAR11M12,3.3668899824083534,3.3668899824113927
3OAR120,14.246754016706149,14.246754017910257
3OAR12M13,0.0,0.0
3OAR12M14,3.3668899824083542,3.366889982411393
3OAR13M14,3.3668899824083542,3.366889982411393
3OAR140,12.268492717524135,12.268492718040166
3OAR14M15,0.0,0.0
3OAR14M16,3.366889982408355,3.36688998241141
3OAR15M16,3.366889982408355,3.366889982411394
3OAR160,3.366889982408413,3.366889982411428
3OAR180,3.3668899824084133,3.366889982411428
3OAR40,14.246754016706138,14.246754017910252
3OAR4M5,0.0,0.0
