,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-999.9999999999999,1000.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,1.6867891011848042,1.686789101184816
34DHOXPEGOX,0.0,0.0
3HAD100,1.017113912110379e-15,134.3615071580975
3HAD10M12,1.6867891011848064,1.6867891011848422
3HAD11M12,1.686789101184801,1.686789101184811
3HAD120,0.0,134.36150715809697
3HAD12M14,1.6867891011848064,1.6867891011848104
3HAD13M14,1.6867891011848009,1.6867891011848124
3HAD140,0.4952606382562717,0.4952606382622741
3HAD14M16,1.686789101184806,1.6867891011848333
3HAD15M16,1.6867891011848006,1.6867891011848108
3HAD40,0.0,134.36150715809714
3HAD4M6,1.6867891011848064,1.686789101184832
3HAD5M6,1.6867891011848017,1.6867891011848135
3HAD60,0.0,134.3615071580971
3HAD6M8,1.6867891011848064,1.686789101184832
3HAD7M8,1.6867891011848015,1.6867891011848135
3HAD80,0.0,134.3615071580971
3HAD8M10,1.6867891011848064,1.686789101184832
3HAD9M10,1.6867891011848013,1.6867891011848135
3HPCOAHL,0.0,0.0
3OAR100,0.0,134.3615071580971
3OAR10M11,0.0,0.0
3OAR10M12,1.6867891011848064,1.6867891011848322
3OAR11M12,1.6867891011848013,1.6867891011848137
3OAR120,0.0,134.3615071580971
3OAR12M13,0.0,0.0
3OAR12M14,1.6867891011848064,1.6867891011848324
3OAR13M14,1.686789101184801,1.6867891011848135
3OAR140,4.4596427430356105,4.45964274304435
3OAR14M15,0.0,0.0
3OAR14M16,1.686789101184806,1.6867891011848113
3OAR15M16,1.6867891011848009,1.686789101184811
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,134.36150715809714
3OAR4M5,0.0,0.0
3OAR4M6,1.6867891011848064,1.6867891011848322
3OAR5M6,1.686789101184802,1.6867891011848137
3OAR60,0.0,134.3615071580971
3OAR6M7,0.0,0.0
3OAR6M8,1.6867891011848064,1.686789101184832
3OAR7M8,1.6867891011848017,1.6867891011848137
3OAR80,0.0,134.3615071580971
3OAR8M10,1.6867891011848064,1.686789101184832
3OAR8M9,0.0,0.0
3OAR9M10,1.6867891011848015,1.6867891011848137
3OAS100,0.0,134.3615071580971
3OAS10M11,0.0,0.0
3OAS10M12,1.6867891011848062,1.6867891011848322
3OAS11M12,1.686789101184801,1.6867891011848135
3OAS120,0.0,134.3615071580971
3OAS12M13,0.0,0.0
3OAS12M14,1.686789101184806,1.6867891011848317
3OAS13M14,1.6867891011848009,1.686789101184813
3OAS140,4.4596427430356105,4.45964274304435
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,1.686789101184802,1.6867891011848175
3OAS4M3O6,1.6867891011848062,1.686789101184835
3OAS4M5,0.0,0.0
3OAS4M6,1.6867891011848062,1.6867891011848384
3OAS5M6,1.6867891011848017,1.6867891011848117
3OAS60,0.0,134.36150715809714
3OAS6M7,0.0,0.0
3OAS6M8,1.6867891011848062,1.6867891011848317
