,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-999.9999999999999,1000.0
2CLDHOFAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.3668835947742433,3.3668835947743014
2RCDHOFAL,0.0,0.0
34DHOXPEGOX,0.0,0.0
3HAD100,0.0,75.32665983074283
3HAD10M12,3.3668835947742437,3.3668835947743285
3HAD11M12,3.3668835947742437,3.3668835947742766
3HAD120,0.0,75.32665983074183
3HAD12M14,3.3668835947742433,3.3668835947743276
3HAD13M14,3.3668835947742433,3.366883594774299
3HAD140,0.9885556628829854,0.9885556629050055
3HAD14M16,3.3668835947742424,3.3668835947742837
3HAD15M16,3.3668835947742424,3.366883594774284
3HAD40,0.0,75.32665983074119
3HAD4M6,3.3668835947742455,3.3668835947743236
3HAD5M6,3.366883594774246,3.3668835947742863
3HAD60,0.0,75.32665983074119
3HAD6M8,3.366883594774245,3.3668835947743254
3HAD7M8,3.366883594774245,3.3668835947742863
3HAD80,0.0,75.32665983074124
3HAD8M10,3.366883594774244,3.3668835947743454
3HAD9M10,3.366883594774244,3.3668835947742863
3HPCOAHL,0.0,0.0
3OAR100,0.0,75.32665983074125
3OAR10M11,0.0,0.0
3OAR10M12,3.366883594774244,3.3668835947743454
3OAR11M12,3.366883594774244,3.3668835947742863
3OAR120,0.0,75.32665983074124
3OAR12M13,0.0,0.0
3OAR12M14,3.3668835947742437,3.366883594774345
3OAR13M14,3.3668835947742437,3.3668835947742863
3OAR140,8.901585847051571,8.901585847073282
3OAR14M15,0.0,0.0
3OAR14M16,3.366883594774243,3.3668835947742792
3OAR15M16,3.366883594774243,3.3668835947742783
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,-2.6345238650935453e-14,75.32665983074094
3OAR4M5,0.0,0.0
3OAR4M6,3.366883594774246,3.3668835947743263
3OAR5M6,3.366883594774246,3.3668835947742863
3OAR60,0.0,75.32665983074119
3OAR6M7,0.0,0.0
3OAR6M8,3.3668835947742455,3.366883594774326
3OAR7M8,3.3668835947742455,3.3668835947742863
3OAR80,0.0,75.32665983074125
3OAR8M10,3.3668835947742446,3.366883594774346
3OAR8M9,0.0,0.0
3OAR9M10,3.3668835947742446,3.3668835947742863
3OAS100,0.0,75.32665983074125
3OAS10M11,0.0,0.0
3OAS10M12,3.3668835947742437,3.3668835947743316
3OAS11M12,3.3668835947742437,3.366883594774296
3OAS120,0.0,75.3266598307416
3OAS12M13,0.0,0.0
3OAS12M14,3.366883594774243,3.3668835947743307
3OAS13M14,3.366883594774243,3.3668835947742957
3OAS140,8.901585847059406,8.901585847073308
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.366883594774246,3.3668835947742934
3OAS4M3O6,3.366883594774246,3.3668835947742926
3OAS4M5,0.0,0.0
3OAS4M6,3.3668835947742455,3.3668835947742717
3OAS5M6,3.3668835947742455,3.3668835947742726
3OAS60,0.0,75.32665983074048
3OAS6M7,0.0,0.0
