,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-999.9999999999999,999.9999999999999
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0000000000002
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,1.6773014821426857,1.6773014821427055
34DHOXPEGOX,0.0,0.0
3HAD100,7.097381189405659,7.097381189405668
3HAD10M12,1.6773014821426881,1.6773014821426993
3HAD11M12,1.6773014821426881,1.6773014821426988
3HAD120,7.09738118940566,7.097381189405688
3HAD12M14,1.6773014821426881,1.6773014821426933
3HAD13M14,1.6773014821426881,1.6773014821426933
3HAD140,2.16977644657111,2.1697764465711185
3HAD14M16,1.6773014821426881,1.6773014821426937
3HAD15M16,1.6773014821426881,1.6773014821426937
3HAD160,1.6773014821426875,1.6773014821426937
3HAD180,1.6773014821426877,1.677301482142694
3HAD40,7.097381189405654,7.097381189405683
3HAD4M6,1.6773014821426881,1.677301482142692
3HAD5M6,1.6773014821426881,1.677301482142692
3HAD60,7.097381189405656,7.0973811894056835
3HAD6M8,1.6773014821426881,1.6773014821426921
3HAD7M8,1.6773014821426881,1.6773014821426921
3HAD80,7.097381189405657,7.097381189405685
3HAD8M10,1.6773014821426881,1.6773014821426926
3HAD9M10,1.6773014821426881,1.6773014821426926
3HPCOAHL,0.0,0.0
3OAR100,7.0973811894056595,7.097381189405687
3OAR10M11,0.0,0.0
3OAR10M12,1.6773014821426881,1.677301482142698
3OAR11M12,1.6773014821426881,1.677301482142698
3OAR120,7.09738118940566,7.0973811894057075
3OAR12M13,0.0,0.0
3OAR12M14,1.6773014821426881,1.677301482142697
3OAR13M14,1.6773014821426881,1.677301482142697
3OAR140,6.111860240838751,6.111860240838788
3OAR14M15,0.0,0.0
3OAR14M16,1.6773014821426881,1.6773014821426964
3OAR15M16,1.6773014821426881,1.6773014821426964
3OAR160,1.6773014821426875,1.6773014821426961
3OAR180,1.677301482142688,1.6773014821426964
3OAR40,7.097381189405678,7.097381189405721
3OAR4M5,0.0,0.0
3OAR4M6,1.6773014821426881,1.677301482142683
