,minimum,maximum
12PPD_Stex,-1.8517632727302214e-13,999.9999999999999
12PPDtpp,-2.3756602935849564e-12,1000.0
15DAPtex,-932.5129984418114,0.0
15DAPtpp,0.0,1000.0
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-988.9430976011271,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,2.1482497156704388,934.6612481574699
26DAPt2rpp,2.1482497156746496,934.6612481574698
2AHBUTI,4.675517292465261e-13,988.9430976011099
2DDGLCNtex,-1000.0000000000001,-7.0267442157368745e-12
2DH3DGLCA,-1000.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-932.5129984417977,0.0
2HYOXPLACtex,-932.5129984418039,0.0
2INSD,0.0,-6.203028549082499e-12
2MBCOATA,7.316640829220437,7.316640829221033
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
33HPHACt2rpp,0.0,999.7340348148995
34DCCBR,0.0,0.0
34DHPHAt2rpp,-999.7340348148939,0.0
34DHPHAtex,-999.7340348148979,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD100,0.0,-7.655681993588571e-13
3HAD10M12,7.316640829220442,7.3166408292204155
3HAD11M12,7.316640829220437,7.3166408292202885
3HAD120,0.0,6.9656645502797565e-15
3HAD12M14,7.316640829220444,7.3166408292208445
3HAD13M14,7.316640829220437,7.316640829220334
3HAD140,0.0,978.5050484748708
3HAD14M16,7.316640829220444,7.316640829220444
3HAD15M16,7.316640829220438,7.31664082922003
3HAD160,0.0,9.556292006584818e-13
3HAD180,0.0,2.2224689210165367e-13
3HAD40,0.0,-5.931552412931741e-13
3HAD4M6,7.316640829220438,7.316640829220367
3HAD5M6,7.316640829220437,7.316640829220258
3HAD60,0.0,-2.1001478619093548e-13
3HAD6M8,7.3166408292204395,7.316640829220368
3HAD7M8,7.316640829220437,7.316640829220258
3HAD80,0.0,-2.1001478619093548e-13
3HAD8M10,7.31664082922044,7.316640829220369
3HAD9M10,7.316640829220437,7.316640829220258
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,999.7340348148965
3HPHACtex,0.0,999.7340348148969
3MOBS,-932.5129984418021,0.0
3OAR100,0.0,-7.682964827063792e-13
3OAR10M11,0.0,0.0
3OAR10M12,7.316640829220442,7.316640829219639
3OAR11M12,7.316640829220445,7.316640829220039
3OAR120,0.0,-1.3541251885743847e-12
3OAR12M13,0.0,0.0
3OAR12M14,7.316640829220443,7.316640829220301
3OAR13M14,7.316640829220445,7.31664082921981
3OAR140,17.195961220102944,995.7010096949726
3OAR14M15,0.0,0.0
3OAR14M16,7.316640829220443,7.316640829220442
3OAR15M16,7.316640829220445,7.31664082922043
3OAR160,0.0,-1.2916048827293594e-11
3OAR180,0.0,-1.090899674159072e-12
3OAR40,0.0,-1.063915036187662e-14
3OAR4M5,0.0,0.0
3OAR4M6,7.316640829220438,7.316640829220296
3OAR5M6,7.316640829220445,7.31664082921981
