,minimum,maximum
12PPD_Stex,-4.234054735469469e-12,1000.0
12PPDtpp,-4.676540941332637e-12,999.9999999999999
15DAPtex,-932.5130651027325,0.0
15DAPtpp,0.0,1000.0
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-988.9431085226943,-4.3956007182358523e-16
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,2.1482475937067673,934.661312696433
26DAPt2rpp,2.1482475937106464,934.6613126964405
2AHBUTI,1.7263841134884448e-14,988.9431085226826
2DDGLCNtex,-999.9999999999999,3.0476172921079335e-12
2DH3DGLCA,-1000.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-932.5130651027351,0.0
2HYOXPLACtex,-932.5130651027381,0.0
2INSD,0.0,-6.08130823969575e-12
2MBCOATA,7.316633602140564,7.316633602140997
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
33HPHACt2rpp,0.0,999.7340350776108
34DCCBR,0.0,0.0
34DHPHAt2rpp,-999.7340350776152,0.0
34DHPHAtex,-999.7340350776119,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD100,0.0,1.9282055060014903e-12
3HAD10M12,7.316633602140569,7.316633602141098
3HAD11M12,7.316633602140569,7.316633602141158
3HAD120,0.0,7.48493980956291e-14
3HAD12M14,7.31663360214057,7.316633602140647
3HAD13M14,7.31663360214057,7.316633602140722
3HAD140,0.0,978.5050697067101
3HAD14M16,7.31663360214057,7.316633602140576
3HAD15M16,7.31663360214057,7.316633602140555
3HAD160,0.0,-4.850162347351293e-12
3HAD180,0.0,4.267392917567e-12
3HAD40,0.0,2.0957387779635157e-12
3HAD4M6,7.3166336021405645,7.3166336021405325
3HAD5M6,7.3166336021405645,7.316633602140007
3HAD60,0.0,-1.0639502646562818e-12
3HAD6M8,7.316633602140566,7.316633602140705
3HAD7M8,7.316633602140566,7.316633602140265
3HAD80,0.0,-1.882776567149648e-13
3HAD8M10,7.316633602140567,7.316633602139852
3HAD9M10,7.316633602140567,7.316633602140288
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,999.7340350776093
