,minimum,maximum
10DMMCNFDOR,0.0,0.0
12PPDSDH,0.0,0.0
12PPD_Stex,-1000.0,1000.0000000000002
12PPDtpp,-1000.0,1000.0
13PPDH,0.0,1000.0
13PPDtex,-999.9999999999999,3.0192993027728767e-13
13PPDtpp,-1000.0,0.0
15DAPtex,-539.1430877060167,-1.7188986613722187e-11
15DAPtpp,0.0,964.9530439874761
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000001
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0000000000001
2DDPENGAL,0.0,0.0
2DH3DGLCA,-998.8594145954203,0.0
2DHPL,1.753909381190019e-11,1000.0
2DMMQ8abcpp,0.0,-6.032960088115181e-12
2DMMQ8tex,0.0,-6.103016651419049e-12
2DOHMC5DPT,0.0,0.0
2FBZOR,0.0,0.0
2FBZTOR,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-539.1430877060162,0.0
2HYOXPLACtex,-539.1430877060087,0.0
2IMZS,0.0,0.0
2INSD,0.0,-5.451795893902198e-11
2IPDPIPT,0.0,0.0
2MBCOATA,10.459080370549744,10.459080370514858
2OMMBOX,0.38019513485880047,0.3801951348540474
2OMPHH,0.38019513485845274,0.3801951348540479
2OXOADOX,0.0,0.0
33HPHACt2rpp,0.0,999.9999999999999
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-999.9999999999999,539.1430877059985
34DHPHAtex,-1000.0,539.1430877059993
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
34HPPORdc,0.0,269.5715438530175
3CARLPDH,8.362556632157872e-12,0.0
3FBZOR,0.0,0.0
3FBZTOR,0.0,0.0
3FCHDCOR,0.0,0.0
3FCHLOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,-2.4059376610090157e-13,-4.9570982122173195e-14
3HACPR2,-2.4059376610090157e-13,-2.0656937241907776e-13
3HAD100,44.256850107662004,44.25685010755475
3HAD10M12,10.459080370549751,10.459080370513638
3HAD11M12,10.459080370549751,10.459080370514203
3HAD120,44.25685010760902,44.25685010755205
3HAD12M14,10.459080370549753,10.459080370518963
3HAD13M14,10.459080370549753,10.459080370512146
3HAD140,13.529986399255886,975.4185090333217
3HAD14M16,10.459080370549755,10.459080370549717
3HAD15M16,10.459080370549755,10.459080370549714
3HAD180,10.459080370568705,10.459080370549716
3HAD40,44.25685010761766,44.25685010754889
3HAD4M6,10.459080370549747,10.45908037051332
3HAD5M6,10.459080370549747,10.4590803705124
3HAD60,44.25685010760493,44.25685010754804
3HAD6M8,10.459080370549747,10.45908037051332
3HAD7M8,10.459080370549747,10.4590803705124
3HAD80,44.25685010760172,44.25685010754805
3HAD8M10,10.45908037054975,10.459080370513322
3HAD9M10,10.45908037054975,10.459080370512401
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,1000.0
3HPHACtex,0.0,1000.0
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MOBS,-539.1430877060158,0.0
3OAACPR1,-8.318726618353775e-14,8.01979220336339e-13
3OAACPR2,-8.318726618353775e-14,7.217812983027046e-13
3OAR100,44.256850107607214,44.25685010754977
3OAR10M11,0.0,0.0
3OAR10M12,10.45908037054975,10.459080370519894
3OAR11M12,10.45908037054975,10.459080370513364
3OAR120,44.25685010760724,44.25685010755068
3OAR12M13,0.0,0.0
3OAR12M14,10.459080370549751,10.459080370526436
3OAR13M14,10.459080370549751,10.459080370514286
3OAR140,38.11147736593718,999.9999999999999
3OAR14M15,0.0,0.0
3OAR14M16,10.459080370549753,10.459080370549717
3OAR15M16,10.459080370549753,10.459080370549712
3OAR160,0.0,0.0
3OAR180,10.459080370569966,10.459080370549708
3OAR40,44.256850107607114,44.25685010754774
3OAR4M5,0.0,0.0
3OAR4M6,10.459080370549746,10.45908037050474
3OAR5M6,10.459080370549746,10.459080370512636
3OAR60,44.25685010760693,44.25685010755178
3OAR6M7,0.0,0.0
3OAR6M8,10.459080370549747,10.459080370508453
3OAR7M8,10.459080370549747,10.459080370513682
3OAR80,44.25685010760731,44.25685010755228
3OAR8M10,10.45908037054975,10.459080370508454
3OAR8M9,0.0,0.0
3OAR9M10,10.45908037054975,10.459080370512494
3OAS100,44.256850107608635,44.256850107549724
3OAS10M11,0.0,0.0
3OAS10M12,10.45908037054975,10.459080370515954
3OAS11M12,10.45908037054975,10.459080370512256
3OAS120,44.256850107608635,44.256850107549724
3OAS12M13,0.0,1.142820388979282e-12
3OAS12M14,10.459080370549751,10.459080370549717
3OAS13M14,10.459080370549751,10.459080370549719
3OAS140,38.111477365937155,1000.0
3OAS160,0.0,0.0
3OAS180,10.459080370570103,10.459080370549712
3OAS2M3,0.0,0.0
3OAS3M4,10.459080370549744,10.459080370549719
3OAS4M3O6,10.459080370549744,10.459080370549708
3OAS4M5,0.0,0.0
3OAS4M6,10.459080370549746,10.459080370549717
3OAS5M6,10.459080370549746,10.459080370549712
3OAS60,44.25685010760637,44.2568501075489
3OAS6M7,0.0,0.0
3OAS6M8,10.459080370549747,10.459080370549716
3OAS7M8,10.459080370549747,10.45908037054972
3OAS80,44.25685010760864,44.25685010754812
3OAS8M10,10.45908037054975,10.459080370549716
3OAS8M9,0.0,0.0
3OAS9M10,10.45908037054975,10.459080370549717
3OPCPOOR,0.0,0.0
3SCITMCOAHL,0.0,0.0
4ABUTtex,-539.1430877059807,999.9999999999998
4C2HM6SADH,0.0,539.1430877060553
4FBZOR,0.0,0.0
4FCHDCOR,0.0,0.0
4FCHLOR,0.0,0.0
4GBTAH,-1000.0000000000002,969.7096270729813
4HBZCL,0.0,0.0
4HOXPACDt2rpp,-1000.0,0.0
4HOXPACDtex,-999.9999999999999,0.0
4HP34DHPD,0.0,539.1430877060172
4HPROI,0.0,0.0
4HTHDR,3.0709060286887175,3.0709060286798784
4HTHDS,3.070906028688718,3.0709060286803376
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
