,minimum,maximum
10DMMCNFDOR,0.0,0.0
12PPDSDH,0.0,0.0
12PPD_Stex,-1000.0,1000.0
12PPDtpp,-1000.0,1000.0
13PPDH,0.0,1000.0
13PPDtex,-1000.0000000000002,-5.78200541469508e-27
13PPDtpp,-1000.0,0.0
15DAPtex,-1000.0,7.26835923515162e-12
15DAPtpp,0.0,1000.0
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-958.2107730852148,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,3.0564115326002415,1000.0
26DAPt2rpp,3.0564115326021355,1000.0
2AHBUTI,-2.1145755228640407e-13,958.2107730852082
2DDPENGAL,0.0,0.0
2DH3DGLCA,-998.864798091568,0.0
2DHPL,-6.249270071135327e-12,1000.0
2DOHMC5DPT,0.0,0.0
2FBZOR,0.0,0.0
2FBZTOR,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-981.1172400136454,0.0
2HYOXPLACtex,-981.117240013642,0.0
2INSD,0.0,1.7210006025801157e-11
2IPDPIPT,0.0,0.0
2MBCOATA,10.409714125539514,10.409714125556583
2OMPHH,0.0,0.0
33HPHACt2rpp,0.0,999.9999999999995
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-1000.000000000001,0.0
34DHPHAtex,-1000.0,0.0
34HPPOR,0.0,9.188815350302933e-12
34HPPORdc,0.0,4.336898076338197e-12
3CARLPDH,0.0,0.0
3FBZOR,0.0,0.0
3FBZTOR,0.0,0.0
3FCHDCOR,0.0,0.0
3FCHLOR,0.0,0.0
3HACOAOR,0.0,0.0
3HAD100,44.04796037460599,44.047960374624196
3HAD10M12,10.40971412553952,10.409714125558216
3HAD11M12,10.409714125539523,10.409714125539582
3HAD120,44.047960374599754,44.04796037462827
3HAD12M14,10.409714125539521,10.409714125557478
3HAD13M14,10.409714125539521,10.40971412553956
3HAD140,13.466125658140173,975.5345322268322
3HAD14M16,10.409714125539523,10.409714125539542
3HAD15M16,10.409714125539546,10.409714125539525
3HAD180,10.409714125528389,10.40971412553954
3HAD40,44.04796037459996,44.04796037462031
3HAD4M6,10.409714125539516,10.409714125545536
3HAD5M6,10.409714125539526,10.409714125539596
3HAD60,44.04796037459975,44.04796037462031
3HAD6M8,10.409714125539516,10.409714125545536
3HAD7M8,10.409714125539525,10.409714125539596
3HAD80,44.047960374599754,44.0479603746203
3HAD8M10,10.409714125539518,10.409714125545538
3HAD9M10,10.409714125539523,10.409714125539596
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,1000.0
3HPHACtex,0.0,1000.0
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MOBS,-1000.0,0.0
3OAR100,44.047960374603164,44.04796037461824
3OAR10M11,0.0,0.0
3OAR10M12,10.40971412553952,10.409714125548069
3OAR11M12,10.409714125539487,10.409714125539598
3OAR120,44.047960374598695,44.04796037461995
3OAR12M13,0.0,0.0
3OAR12M14,10.409714125539521,10.409714125554434
3OAR13M14,10.40971412553949,10.409714125539603
3OAR140,37.931593431310176,999.9999999999999
3OAR14M15,0.0,0.0
3OAR14M16,10.409714125539521,10.409714125539557
3OAR15M16,10.409714125539482,10.409714125539539
3OAR160,0.0,0.0
3OAR180,10.409714125533396,10.409714125539557
3OAR40,44.04796037460047,44.04796037462491
3OAR4M5,0.0,0.0
3OAR4M6,10.409714125539514,10.409714125554428
3OAR5M6,10.409714125539498,10.409714125539603
3OAR60,44.04796037460049,44.04796037462491
3OAR6M7,0.0,0.0
3OAR6M8,10.409714125539516,10.409714125551078
3OAR7M8,10.409714125539496,10.4097141255396
3OAR80,44.04796037460202,44.047960374619265
3OAR8M10,10.409714125539518,10.409714125551488
3OAR8M9,0.0,0.0
3OAR9M10,10.409714125539498,10.409714125539603
3OAS100,44.047960374601594,44.04796037462197
3OAS10M11,0.0,0.0
3OAS10M12,10.40971412553952,10.409714125551808
3OAS11M12,10.409714125539498,10.409714125539601
3OAS120,44.047960374601594,44.047960374621965
3OAS12M13,0.0,0.0
3OAS12M14,10.40971412553952,10.409714125539532
3OAS13M14,10.409714125539494,10.409714125539375
3OAS140,37.93159343130995,1000.0
3OAS160,0.0,0.0
3OAS180,10.409714125532068,10.40971412553955
3OAS2M3,0.0,0.0
3OAS3M4,10.409714125539494,10.40971412553937
3OAS4M3O6,10.409714125539514,10.409714125539551
3OAS4M5,0.0,0.0
3OAS4M6,10.409714125539514,10.409714125539526
3OAS5M6,10.409714125539498,10.409714125539635
3OAS60,44.047960374602546,44.0479603746122
3OAS6M7,0.0,0.0
3OAS6M8,10.409714125539516,10.40971412553953
3OAS7M8,10.409714125539498,10.409714125539637
3OAS80,44.047960374601594,44.04796037461221
3OAS8M10,10.409714125539518,10.409714125539532
3OAS8M9,0.0,0.0
3OAS9M10,10.409714125539498,10.409714125539633
3OPCPOOR,0.0,0.0
3SCITMCOAHL,0.0,0.0
4ABUTtex,-999.9999999999984,1000.0000000000016
4FBZOR,0.0,0.0
4FCHDCOR,0.0,0.0
4FCHLOR,0.0,0.0
4GBTAH,-1000.0,969.8525958540414
4HBZCL,0.0,0.0
4HOXPACDt2rpp,-1000.0,0.0
4HOXPACDtex,-1000.0000000000001,0.0
4HP34DHPD,0.0,6.779930020887207e-12
4HPROI,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,6.567342169431164e-12
5AIZCDC,-1.8394115008669994e-12,5.0363621461370825e-12
5ASAabcpp,0.0,2.66721996119148e-12
5ASAtex,0.0,7.378412671149382e-12
5C2O3EDDC,0.0,0.0
5CM2HMUDI,0.0,0.0
5DGCLURI,0.0,1.0185002773349908e-11
5DOAN,0.0,2.9064756320147237e-12
5FCHDCOR,0.0,0.0
5FURAtex,-1000.0000000000001,0.0
5FURAtpp,-1000.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5HISAH,0.0,0.0
5MTHCYST,-3.422807123256421e-12,0.0
