,minimum,maximum
12PPD_Stex,1.2399570102868954e-11,622.6596673804439
12PPDtpp,1.742668980496606e-11,622.6596673804481
23DHMPO,-983.9895302633281,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,0.15476616030492749,373.82940390758506
26DAPt2rpp,0.15476616030492749,373.82940390758966
2AHBUTI,-8.885370229114828e-13,983.9895302633412
2DDGLCNtex,-1000.0,-1.7962520360015333e-11
2DH3DGLCA,-995.749603322718,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-310.149446964161,0.0
2HYOXPLACtex,-310.14944696415336,0.0
2MBCOATA,5.886683993847715,5.886683993814879
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
33HPHACt2rpp,0.0,456.57136175171513
34DCCBR,0.0,0.0
34DHPHAt2rpp,-43.63763448176569,944.0234851585386
34DHPHAtex,-43.63763448175819,944.0234851585474
34HPPOR,0.0,0.0
3CARLPDH,7.430677462616852e-12,0.0
3HAD10M12,5.886683993818475,5.886683993814094
3HAD11M12,5.886683993818475,5.886683993812323
3HAD12M14,5.886683993818475,5.886683993814452
3HAD13M14,5.886683993818475,5.88668399381155
3HAD14M16,5.886683993818475,5.886683993818446
3HAD15M16,5.886683993818475,5.886683993818456
3HAD4M6,5.8866839938331115,5.886683993818464
3HAD5M6,5.886683993818475,5.886683993818464
3HAD6M8,5.886683993818475,5.88668399381846
3HAD7M8,5.886683993818475,5.886683993818444
3HAD8M10,5.886683993818475,5.8866839938184485
3HAD9M10,5.886683993818475,5.8866839938184485
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,456.5713617517171
3HPHACtex,0.0,456.5713617517208
3HPPPNH,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.886683993818475,5.886683993818442
3OAR11M12,5.886683993818475,5.8866839938184485
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.886683993818475,5.886683993818451
3OAR13M14,5.886683993818475,5.8866839938184485
3OAR140,17.165239005393868,17.1652390053938
3OAR14M15,0.0,0.0
3OAR14M16,5.886683993818475,5.886683993818451
3OAR15M16,5.886683993818475,5.886683993818449
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.886683993818488,5.886683993818472
3OAR5M6,5.886683993818475,5.8866839938184485
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.886683993818475,5.886683993818451
3OAR7M8,5.886683993818475,5.8866839938184485
3OAR80,0.0,0.0
3OAR8M10,5.886683993818475,5.886683993818451
3OAR8M9,0.0,0.0
3OAR9M10,5.886683993818475,5.8866839938184485
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.886683993818474,5.88668399381845
3OAS11M12,5.886683993818474,5.8866839938184485
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.886683993818474,5.88668399381845
3OAS13M14,5.886683993818474,5.886683993818448
3OAS140,17.165239005393868,17.1652390053938
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.886683993818474,5.886683993818467
3OAS4M3O6,5.886683993818487,5.886683993818197
3OAS4M5,0.0,0.0
3OAS4M6,5.886683993818474,5.886683993818468
3OAS5M6,5.886683993818474,5.886683993818467
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.886683993818474,5.886683993818467
3OAS7M8,5.886683993818474,5.886683993818467
3OAS80,0.0,0.0
3OAS8M10,5.886683993818474,5.886683993818467
3OAS8M9,0.0,0.0
3OAS9M10,5.886683993818474,5.886683993818467
4C2HM6SADH,383.5115285376611,944.0234851585136
4HP34DHPD,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-2.4079332228317835e-11
5C2O3EDDC,383.5115285376365,944.0234851585394
5CM2HMUDI,383.5115285376365,944.023485158544
5DGLCNR,0.0,0.0
5DOAN,0.0,-7.348728888105605e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,4.316709935630183e-12,0.0
6PHBG,0.0,395.19590591158794
6PHBG2,0.0,395.19590591157174
A5PISO,10.72823153296939,10.728231532969314
AACGLYDH,0.0,-2.108411275694867e-11
AACOAT,0.0,-1.1616005881051826e-11
AACPS7,21.45654875674233,21.45654875672864
AACTOOR,0.0,0.0
AB6PGH,0.0,395.19590591157976
AB6PGH2,0.0,395.1959059115707
ABTAr,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDtex,-999.9999999999994,1000.0
ACALDtpp,-1000.0,1000.0
ACBIPGT,0.6803592730042815,0.680359273004278
ACCOACL,87.8054469312156,87.80544693121556
ACCOAL,0.0,999.9999999999999
ACGAMT,0.0,0.0
ACGAMtex,0.0,-2.1989862604306817e-11
ACGAptspp,0.0,-1.6500097568866663e-11
ACGK,0.0,-8.250048784433309e-12
ACGS,0.0,-7.774544086153133e-12
ACHBPL,0.0,983.98953026332
ACKr,-991.4173804972903,-991.4173804973541
ACLS_a,0.0,373.67463774727054
ACLS_b,-1000.0,-1.732049881722788e-12
ACNML,0.0,0.0
ACOAAGPAT140,0.0,-2.9152222369436038e-12
ACOAAGPAT160,0.0,-4.787761211280949e-12
ACOAAGPAT180,0.0,2.9433419969092225
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.9433419969092367,2.9433419969092207
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.9433419969092367,2.9433419969092234
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,-1.17626390604755e-11
ACONMT,0.0,0.0
ACONTa,3.9043021445488814e-14,1000.0
ACONTb,0.0,1000.0000000000001
ACOTA,6.199785051434474e-12,0.0
ACPS1,0.6803592730042815,0.680359273000148
ACPpds,0.0,-6.3388603911810056e-12
ACS,0.0,-1.9008656418775055e-11
ACYP,0.0,-2.1855801584278265e-11
ACYP_2,0.0,-1.7431963242612688e-11
ACtex,-1000.0,-1000.0000000000202
ACtrpp,-1000.0,-1000.000000000024
ADA,0.0,488.40010897525957
ADCL,2.041077819012842,2.0410778190091627
ADCPS1,0.0,-2.462273780908725e-12
ADCPS2,2.4147431200092944e-11,0.0
ADCS,2.041077819012842,2.0410778190128314
ADCYRS,0.0,0.0
ADD,0.0,488.40010897527077
ADK1,42.35438490521047,54.53956575656386
ADK2,0.6803592730042813,0.6803592730042781
ADNCNT3tcpp,-999.9999999999962,999.9999999999998
ADNCYC,0.0,0.0
ADNUC,0.0,-1.573938946763035e-11
ADNtex,-1000.0,1000.0
ADOCBIK,0.0,0.680359273004278
ADOCBIK2,0.0,0.6803592730042791
ADOCBLS,0.6803592730042816,0.6803592730042788
ADOCBLabcpp,0.0,0.0
ADOCBLtex,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,10.824462305355954
ADSK,0.0,-5.449448182945449e-12
ADSL1r,1.1626171117090758e-14,10.824462305353554
ADSL2r,0.0,-3.8858980575759294e-12
ADSS,0.0,10.824462305356677
AEPPT,0.0,0.0
AGDC,0.0,-2.3315388345455672e-11
AGMHE,8.582448121089818,8.582448121089776
AGMT,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.943341996909224
AGPAT181,0.0,0.0
AGPR,8.045294124416523e-12,0.0
AHCYSNS_r,2.7214370920171254,2.7214370920131383
AHMMPS,2.4141012964225046e-11,-3.847326566504778e-12
AICART,-2.6598307819206273e-14,-4.093793528186728e-12
AIHPDCOATA,5.886683993818474,5.8866839938184485
AIPDCOATA,0.0,0.0
AIRC4,0.0,-1.3232666219155453e-11
AKGS,0.0,-2.250064507938087e-11
AKGt2rpp,-999.9999999999995,830.880033417407
AKGtex,-1000.0,830.8800334174509
AKP1,2.0410778190128434,2.041077819012847
ALAALA,0.1547661603049275,0.15476616030492701
ALAASP1c,0.0,-3.642373717717752e-12
ALAASPabcpp,0.0,-2.146964670005325e-11
ALAASPtex,0.0,-2.146964670005325e-11
ALACI,-1000.0,1000.0
ALAGLN1c,0.0,-1.1050429221041456e-11
ALAGLNabcpp,0.0,-2.288715945328718e-11
ALAGLNtex,0.0,-2.2887159453287185e-11
ALAGLU1c,0.0,-2.278434316727316e-11
ALAGLUabcpp,0.0,-2.335451850916883e-11
ALAGLUtex,0.0,-2.3354518509168835e-11
ALAGLY1c,0.0,-2.3526807503905153e-11
ALAGLYabcpp,0.0,-3.444220769009608e-11
ALAGLYtex,0.0,-3.444220769009608e-11
ALAHIS1c,1.6674147479616695e-15,7.02218996991755
ALAHISabcpp,0.0,7.022189969917583
